Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0014;486.056;0.00489642;2.38E-05
0.0015;485.261;0.00489639;0.000559969
0.0016;484.418;0.00489631;0.00113286
0.0017;483.548;0.00489617;0.00169425
0.0018;482.659;0.00489597;0.00224492
0.0019;481.755;0.00489572;0.0027844
0.002;480.841;0.00489541;0.00331232
0.0021;479.916;0.00489506;0.00382949
0.0022;478.984;0.00489465;0.00433557
0.0023;478.047;0.00489419;0.00483025
0.0024;477.104;0.00489368;0.00531438
0.0025;476.156;0.00489313;0.00578767
0.0026;475.207;0.00489253;0.00624988
0.0027;474.254;0.00489188;0.00670184
0.0028;473.299;0.00489119;0.00714332
0.0029;472.343;0.00489045;0.00757445
0.003;471.386;0.00488967;0.00799506
0.0031;470.429;0.00488885;0.00840594
0.0032;469.471;0.00488799;0.00880691
0.0033;468.515;0.00488709;0.00919783
0.0034;467.559;0.00488615;0.00957947
0.0035;466.603;0.00488517;0.00995168
0.0036;465.65;0.00488416;0.0103143
0.0037;464.697;0.00488311;0.0106682
0.0038;463.747;0.00488203;0.0110131
0.0039;462.798;0.00488091;0.011349
0.004;461.852;0.00487976;0.0116766
0.0041;460.907;0.00487857;0.0119957
0.0042;459.966;0.00487736;0.0123064
0.0043;459.027;0.00487611;0.0126092
0.0044;458.091;0.00487484;0.0129041
0.0045;457.157;0.00487353;0.0131912
0.0046;456.227;0.0048722;0.0134705
0.0047;455.3;0.00487084;0.0137427
0.0048;454.376;0.00486945;0.0140075
0.0049;453.456;0.00486804;0.0142651
0.005;452.539;0.0048666;0.014516
0.0051;451.625;0.00486513;0.01476
0.0052;450.716;0.00486365;0.0149973
0.0053;449.81;0.00486214;0.0152283
0.0054;448.907;0.0048606;0.015453
0.0055;448.009;0.00485905;0.0156714
0.0056;447.115;0.00485747;0.0158839
0.0057;446.224;0.00485587;0.0160905
0.0058;445.337;0.00485425;0.0162915
0.0059;444.455;0.00485261;0.0164867
0.006;443.576;0.00485095;0.0166766
0.0061;442.701;0.00484927;0.0168612
0.0062;441.831;0.00484758;0.0170405
0.0063;440.965;0.00484587;0.0172149
0.0064;440.103;0.00484414;0.0173844
0.0065;439.245;0.00484239;0.017549
0.0066;438.392;0.00484063;0.0177091
0.0067;437.542;0.00483885;0.0178646
0.0068;436.698;0.00483706;0.0180155
0.0069;435.857;0.00483525;0.0181623
0.007;435.021;0.00483342;0.0183049
0.0071;434.189;0.00483158;0.0184435
0.0072;433.361;0.00482973;0.0185779
0.0073;432.538;0.00482787;0.0187086
0.0074;431.719;0.00482599;0.0188355
0.0075;430.905;0.0048241;0.0189587
0.0076;430.095;0.0048222;0.0190784
0.0077;429.289;0.00482029;0.0191947
0.0078;428.488;0.00481836;0.0193075
0.0079;427.691;0.00481643;0.0194171
0.008;426.898;0.00481448;0.0195235
0.0081;426.11;0.00481252;0.0196267
0.0082;425.326;0.00481055;0.0197271
0.0083;424.546;0.00480858;0.0198245
0.0084;423.772;0.00480659;0.0199189
0.0085;423.001;0.00480459;0.0200107
0.0086;422.234;0.00480259;0.0200998
0.0087;421.472;0.00480057;0.0201863
0.0088;420.715;0.00479855;0.0202702
0.0089;419.961;0.00479652;0.0203517
0.009;419.212;0.00479448;0.0204307
0.0091;418.468;0.00479243;0.0205074
0.0092;417.727;0.00479038;0.0205819
0.0093;416.991;0.00478831;0.0206542
0.0094;416.26;0.00478625;0.0207243
0.0095;415.532;0.00478417;0.0207924
0.0096;414.808;0.00478209;0.0208584
0.0097;414.09;0.00478;0.0209225
0.0098;413.375;0.0047779;0.0209847
0.0099;412.664;0.0047758;0.0210451
0.01;411.957;0.00477369;0.0211036
0.0101;411.255;0.00477158;0.0211604
0.0102;410.557;0.00476946;0.0212156
0.0103;409.863;0.00476734;0.0212691
0.0104;409.174;0.00476521;0.0213209
0.0105;408.488;0.00476307;0.0213713
0.0106;407.806;0.00476093;0.0214202
0.0107;407.129;0.00475879;0.0214675
