Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0014;475.136;0.00489642;2.40E-05
0.0015;473.942;0.0048964;0.000559786
0.0016;472.627;0.00489631;0.00113267
0.0017;471.242;0.00489617;0.00169406
0.0018;469.804;0.00489597;0.00224472
0.0019;468.324;0.00489572;0.00278421
0.002;466.813;0.00489542;0.00331212
0.0021;465.272;0.00489506;0.00382929
0.0022;463.708;0.00489465;0.00433537
0.0023;462.127;0.00489419;0.00483005
0.0024;460.528;0.00489368;0.00531418
0.0025;458.917;0.00489313;0.00578747
0.0026;457.297;0.00489253;0.00624968
0.0027;455.667;0.00489188;0.00670164
0.0028;454.031;0.00489119;0.00714312
0.0029;452.39;0.00489045;0.00757425
0.003;450.748;0.00488967;0.00799486
0.0031;449.104;0.00488885;0.00840574
0.0032;447.459;0.00488799;0.00880671
0.0033;445.817;0.00488709;0.00919764
0.0034;444.177;0.00488615;0.00957928
0.0035;442.539;0.00488518;0.00995149
0.0036;440.907;0.00488416;0.0103142
0.0037;439.279;0.00488311;0.010668
0.0038;437.657;0.00488203;0.0110129
0.0039;436.044;0.00488091;0.0113488
0.004;434.436;0.00487976;0.0116764
0.0041;432.836;0.00487858;0.0119955
0.0042;431.247;0.00487736;0.0123062
0.0043;429.665;0.00487612;0.012609
0.0044;428.093;0.00487484;0.0129039
0.0045;426.531;0.00487353;0.013191
0.0046;424.981;0.0048722;0.0134704
0.0047;423.441;0.00487084;0.0137425
0.0048;421.912;0.00486945;0.0140074
0.0049;420.396;0.00486804;0.0142649
0.005;418.891;0.0048666;0.0145158
0.0051;417.398;0.00486514;0.0147599
0.0052;415.918;0.00486365;0.0149971
0.0053;414.45;0.00486214;0.0152281
0.0054;412.995;0.0048606;0.0154528
0.0055;411.554;0.00485905;0.0156712
0.0056;410.125;0.00485747;0.0158837
0.0057;408.71;0.00485587;0.0160904
0.0058;407.307;0.00485425;0.0162913
0.0059;405.92;0.00485261;0.0164865
0.006;404.545;0.00485095;0.0166764
0.0061;403.184;0.00484928;0.0168611
0.0062;401.838;0.00484758;0.0170404
0.0063;400.504;0.00484587;0.0172148
0.0064;399.185;0.00484414;0.0173843
0.0065;397.88;0.00484239;0.0175488
0.0066;396.588;0.00484063;0.0177089
0.0067;395.311;0.00483885;0.0178644
0.0068;394.048;0.00483706;0.0180154
0.0069;392.798;0.00483525;0.0181622
0.007;391.562;0.00483342;0.0183048
0.0071;390.34;0.00483159;0.0184433
0.0072;389.132;0.00482974;0.0185778
0.0073;387.938;0.00482787;0.0187084
0.0074;386.757;0.00482599;0.0188354
0.0075;385.591;0.00482411;0.0189585
0.0076;384.438;0.0048222;0.0190783
0.0077;383.298;0.00482029;0.0191945
0.0078;382.173;0.00481836;0.0193073
0.0079;381.06;0.00481643;0.0194169
0.008;379.961;0.00481448;0.0195234
0.0081;378.875;0.00481252;0.0196266
0.0082;377.802;0.00481056;0.0197269
