date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0105;315.606;0.0071069;0.000189547
0.0106;315.467;0.00710686;0.000712436
0.0107;315.325;0.00710676;0.00123106
0.0108;315.182;0.00710661;0.00173968
0.0109;315.036;0.00710641;0.00223745
0.011;314.889;0.00710617;0.00272432
0.0111;314.74;0.00710587;0.00319998
0.0112;314.591;0.00710553;0.00366523
0.0113;314.44;0.00710514;0.00411983
0.0114;314.289;0.0071047;0.00456389
0.0115;314.138;0.00710423;0.00499722
0.0116;313.986;0.0071037;0.00542061
0.0117;313.834;0.00710314;0.00583388
0.0118;313.682;0.00710254;0.00623718
0.0119;313.53;0.00710189;0.00663066
0.012;313.379;0.00710121;0.0070142
0.0121;313.227;0.00710049;0.00738853
0.0122;313.076;0.00709973;0.00775354
0.0123;312.926;0.00709894;0.00810939
0.0124;312.776;0.00709811;0.00845598
0.0125;312.626;0.00709725;0.00879401
0.0126;312.478;0.00709635;0.00912339
0.0127;312.329;0.00709543;0.00944429
0.0128;312.182;0.00709447;0.00975663
0.0129;312.036;0.00709348;0.0100611
0.013;311.89;0.00709245;0.0103575
0.0131;311.746;0.0070914;0.0106462
0.0132;311.602;0.00709033;0.010927
0.0133;311.46;0.00708922;0.0112006
0.0134;311.318;0.00708809;0.0114668
0.0135;311.177;0.00708693;0.0117259
0.0136;311.038;0.00708574;0.0119779
0.0137;310.9;0.00708453;0.0122232
0.0138;310.762;0.0070833;0.0124618
0.0139;310.626;0.00708204;0.0126939
0.014;310.492;0.00708076;0.0129196
0.0141;310.358;0.00707945;0.0131392
0.0142;310.226;0.00707813;0.0133527
0.0143;310.094;0.00707678;0.0135603
0.0144;309.965;0.00707542;0.0137621
0.0145;309.836;0.00707403;0.0139583
0.0146;309.708;0.00707263;0.0141491
0.0147;309.582;0.0070712;0.0143346
0.0148;309.457;0.00706976;0.0145147
0.0149;309.334;0.0070683;0.0146899
0.015;309.211;0.00706682;0.0148601
0.0151;309.09;0.00706533;0.0150255
0.0152;308.971;0.00706382;0.0151861
0.0153;308.852;0.00706229;0.0153423
0.0154;308.735;0.00706075;0.015494
0.0155;308.619;0.00705919;0.0156414
0.0156;308.504;0.00705762;0.0157846
0.0157;308.391;0.00705604;0.0159236
0.0158;308.279;0.00705444;0.0160587
0.0159;308.168;0.00705282;0.0161899
0.016;308.059;0.0070512;0.0163173
0.0161;307.951;0.00704956;0.0164409
0.0162;307.844;0.00704791;0.0165611
0.0163;307.738;0.00704625;0.0166778
0.0164;307.633;0.00704457;0.0167911
0.0165;307.53;0.00704289;0.016901
0.0166;307.428;0.00704119;0.0170078
0.0167;307.327;0.00703949;0.0171115
0.0168;307.228;0.00703777;0.0172122
0.0169;307.13;0.00703605;0.0173098
0.017;307.033;0.00703431;0.0174047
0.0171;306.937;0.00703257;0.0174968
0.0172;306.842;0.00703081;0.0175862
0.0173;306.748;0.00702905;0.0176728
0.0174;306.656;0.00702728;0.0177571
0.0175;306.565;0.0070255;0.0178388
0.0176;306.475;0.00702371;0.0179181
0.0177;306.386;0.00702191;0.017995
0.0178;306.298;0.00702011;0.0180697
0.0179;306.211;0.0070183;0.0181422
0.018;306.126;0.00701648;0.0182126
0.0181;306.041;0.00701466;0.0182808
0.0182;305.958;0.00701283;0.0183471
0.0183;305.876;0.00701099;0.0184113
0.0184;305.794;0.00700914;0.0184737
0.0185;305.714;0.00700729;0.0185342
0.0186;305.635;0.00700544;0.0185929
0.0187;305.557;0.00700358;0.0186499
0.0188;305.48;0.00700171;0.0187051
0.0189;305.404;0.00699983;0.0187647
0.019;305.331;0.00699795;0.018884
0.0191;305.259;0.00699606;0.0189998
0.0192;305.188;0.00699415;0.0191122
0.0193;305.118;0.00699224;0.0192213
0.0194;305.049;0.00699031;0.0193272
0.0195;304.98;0.00698837;0.0194301
0.0196;304.912;0.00698642;0.01953
0.0197;304.846;0.00698446;0.019627
0.0198;304.78;0.0069825;0.019721
0.0199;304.714;0.00698052;0.0198124
0.02;304.65;0.00697853;0.019901
0.0201;304.586;0.00697654;0.0199871
0.0202;304.523;0.00697454;0.0200706
0.0203;304.461;0.00697253;0.0201517
0.0204;304.4;0.00697051;0.0202304
0.0205;304.34;0.00696848;0.0203067
0.0206;304.28;0.00696645;0.0203808
0.0207;304.221;0.0069644;0.0204527
0.0208;304.163;0.00696235;0.0205225
0.0209;304.105;0.0069603;0.0205902
0.021;304.049;0.00695824;0.0206559
0.0211;303.993;0.00695617;0.0207196
0.0212;303.937;0.00695409;0.0207815
0.0213;303.883;0.00695201;0.0208415
0.0214;303.829;0.00694993;0.0208997
0.0215;303.776;0.00694783;0.0209562
0.0216;303.724;0.00694573;0.021011
0.0217;303.672;0.00694363;0.0210642
0.0218;303.621;0.00694152;0.0211158
0.0219;303.571;0.00693941;0.0211658
0.022;303.521;0.00693729;0.0212144
0.0221;303.472;0.00693516;0.0212615
0.0222;303.423;0.00693304;0.0213072
0.0223;303.376;0.0069309;0.0213515
0.0224;303.329;0.00692877;0.0213945
0.0225;303.282;0.00692662;0.0214362
0.0226;303.236;0.00692448;0.0214766
0.0227;303.191;0.00692233;0.0215159
0.0228;303.146;0.00692017;0.021554
0.0229;303.102;0.00691802;0.0215909
0.023;303.059;0.00691586;0.0216267
0.0231;303.016;0.00691369;0.0216614
0.0232;302.974;0.00691152;0.0216951
0.0233;302.932;0.00690935;0.0217278
0.0234;302.891;0.00690718;0.0217595
0.0235;302.851;0.006905;0.0217902
0.0236;302.811;0.00690282;0.02182
0.0237;302.771;0.00690064;0.021849
0.0238;302.732;0.00689845;0.021877
0.0239;302.694;0.00689626;0.0219042
0.024;302.656;0.00689407;0.0219306
0.0241;302.619;0.00689188;0.0219561
0.0242;302.582;0.00688968;0.021981
0.0243;302.546;0.00688748;0.022005
0.0244;302.51;0.00688528;0.0220283
0.0245;302.474;0.00688307;0.022051
0.0246;302.44;0.00688087;0.0220729
0.0247;302.405;0.00687866;0.0220942
0.0248;302.371;0.00687645;0.0221148
0.0249;302.338;0.00687424;0.0221348
0.025;302.305;0.00687202;0.0221543
0.0251;302.273;0.00686981;0.0221731
0.0252;302.241;0.00686759;0.0221913
0.0253;302.209;0.00686537;0.022209
0.0254;302.178;0.00686315;0.0222262
0.0255;302.147;0.00686092;0.0222428
0.0256;302.117;0.0068587;0.022259
0.0257;302.087;0.00685647;0.0222746
0.0258;302.057;0.00685424;0.0222898
0.0259;302.028;0.00685201;0.0223045
0.026;302;0.00684978;0.0223188
0.0261;301.971;0.00684755;0.0223326
0.0262;301.944;0.00684531;0.022346
0.0263;301.916;0.00684308;0.022359
0.0264;301.889;0.00684084;0.0223716
0.0265;301.862;0.00683861;0.0223839
0.0266;301.836;0.00683637;0.0223957
0.0267;301.81;0.00683413;0.0224072
0.0268;301.785;0.00683189;0.0224184
0.0269;301.759;0.00682964;0.0224292
0.027;301.734;0.0068274;0.0224397
0.0271;301.71;0.00682516;0.0224498
0.0272;301.686;0.00682291;0.0224597
0.0273;301.662;0.00682066;0.0224692
0.0274;301.638;0.00681842;0.0224785
0.0275;301.615;0.00681617;0.0224875
0.0276;301.592;0.00681392;0.0224962
0.0277;301.57;0.00681167;0.0225047
0.0278;301.547;0.00680942;0.0225129
