Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0015;473.57;0.00489686;0.000285447
0.0016;472.31;0.0048968;0.000863658
0.0017;470.964;0.00489669;0.00143041
0.0018;469.558;0.00489652;0.00198642
0.0019;468.106;0.00489629;0.0025312
0.002;466.619;0.00489601;0.00306434
0.0021;465.1;0.00489568;0.00358667
0.0022;463.556;0.00489529;0.00409784
0.0023;461.992;0.00489486;0.00459752
0.0024;460.41;0.00489437;0.00508656
0.0025;458.814;0.00489384;0.00556467
0.0026;457.208;0.00489326;0.00603161
0.0027;455.591;0.00489263;0.0064882
0.0028;453.968;0.00489196;0.00693421
0.0029;452.339;0.00489125;0.00736977
0.003;450.707;0.00489049;0.00779471
0.0031;449.073;0.00488969;0.00820982
0.0032;447.438;0.00488885;0.00861492
0.0033;445.805;0.00488797;0.00900987
0.0034;444.172;0.00488705;0.00939544
0.0035;442.542;0.00488609;0.00977148
0.0036;440.918;0.00488509;0.0101379
0.0037;439.297;0.00488406;0.0104954
0.0038;437.681;0.00488299;0.0108438
0.0039;436.074;0.00488189;0.0111832
0.004;434.472;0.00488076;0.0115141
0.0041;432.878;0.00487959;0.0118365
0.0042;431.293;0.00487839;0.0121503
0.0043;429.716;0.00487716;0.0124562
0.0044;428.149;0.0048759;0.012754
0.0045;426.591;0.00487461;0.0130441
0.0046;425.045;0.00487329;0.0133262
0.0047;423.509;0.00487194;0.0136011
0.0048;421.983;0.00487057;0.0138686
0.0049;420.47;0.00486917;0.0141288
0.005;418.968;0.00486775;0.0143821
0.0051;417.478;0.00486629;0.0146286
0.0052;416.001;0.00486482;0.0148682
0.0053;414.536;0.00486332;0.0151015
0.0054;413.083;0.0048618;0.0153284
0.0055;411.644;0.00486026;0.0155489
0.0056;410.217;0.00485869;0.0157635
0.0057;408.804;0.0048571;0.0159722
0.0058;407.403;0.0048555;0.016175
0.0059;406.017;0.00485387;0.0163721
0.006;404.644;0.00485222;0.0165639
0.0061;403.284;0.00485056;0.0167502
0.0062;401.939;0.00484887;0.0169313
0.0063;400.607;0.00484717;0.0171073
0.0064;399.289;0.00484545;0.0172784
0.0065;397.985;0.00484371;0.0174445
0.0066;396.694;0.00484196;0.0176061
0.0067;395.417;0.00484019;0.017763
0.0068;394.155;0.00483841;0.0179154
0.0069;392.906;0.00483661;0.0180635
0.007;391.671;0.0048348;0.0182074
0.0071;390.449;0.00483297;0.0183472
0.0072;389.242;0.00483113;0.0184829
0.0073;388.048;0.00482927;0.0186148
0.0074;386.868;0.0048274;0.0187428
0.0075;385.702;0.00482552;0.0188671
0.0076;384.549;0.00482363;0.0189879
0.0077;383.41;0.00482173;0.0191051
0.0078;382.284;0.00481981;0.0192189
0.0079;381.172;0.00481788;0.0193295
0.008;380.072;0.00481594;0.0194369
0.0081;378.987;0.004814;0.019541
0.0082;377.914;0.00481204;0.0196422
0.0083;376.854;0.00481007;0.0197404
0.0084;375.808;0.00480809;0.0198357
0.0085;374.774;0.0048061;0.0199282
0.0086;373.753;0.0048041;0.0200181
0.0087;372.744;0.0048021;0.0201053
0.0088;371.749;0.00480008;0.0201899
0.0089;370.766;0.00479806;0.020272
0.009;369.795;0.00479603;0.0203517
0.0091;368.837;0.00479399;0.0204291
0.0092;367.89;0.00479194;0.0205041
0.0093;366.955;0.00478989;0.020577
0.0094;366.034;0.00478783;0.0206477
0.0095;365.123;0.00478576;0.0207163
0.0096;364.224;0.00478368;0.0207829
0.0097;363.337;0.0047816;0.0208474
0.0098;362.461;0.00477951;0.0209101
0.0099;361.597;0.00477742;0.020971
0.01;360.743;0.00477532;0.02103
0.0101;359.902;0.00477321;0.0210872
0.0102;359.071;0.0047711;0.0211428
0.0103;358.251;0.00476898;0.0211967
0.0104;357.442;0.00476686;0.0212489
0.0105;356.644;0.00476474;0.0212997
0.0106;355.856;0.0047626;0.0213489
0.0107;355.079;0.00476047;0.0213966
0.0108;354.311;0.00475832;0.0214429
0.0109;353.554;0.00475618;0.0214878
0.011;352.808;0.00475403;0.0215314
0.0111;352.071;0.00475187;0.0215737
0.0112;351.344;0.00474971;0.0216147
0.0113;350.627;0.00474755;0.0216543
0.0114;349.92;0.00474538;0.0216927
0.0115;349.222;0.00474321;0.0217299
0.0116;348.533;0.00474103;0.0217661
0.0117;347.854;0.00473886;0.0218011
0.0118;347.184;0.00473667;0.0218351
0.0119;346.523;0.00473449;0.021868
0.012;345.871;0.0047323;0.0219
0.0121;345.228;0.00473011;0.021931
0.0122;344.594;0.00472791;0.0219611
0.0123;343.969;0.00472572;0.0219903
0.0124;343.351;0.00472352;0.0220186
0.0125;342.742;0.00472131;0.022046
0.0126;342.142;0.00471911;0.0220726
0.0127;341.55;0.0047169;0.0220984
0.0128;340.966;0.00471469;0.0221235
0.0129;340.39;0.00471247;0.0221478
0.013;339.822;0.00471026;0.0221713
0.0131;339.262;0.00470804;0.0221941
0.0132;338.709;0.00470582;0.0222163
0.0133;338.165;0.0047036;0.0222377
0.0134;337.627;0.00470137;0.0222586
0.0135;337.097;0.00469914;0.0222788
0.0136;336.575;0.00469692;0.0222983
0.0137;336.06;0.00469469;0.0223173
0.0138;335.551;0.00469245;0.0223358
0.0139;335.05;0.00469022;0.0223536
0.014;334.556;0.00468798;0.0223709
0.0141;334.069;0.00468574;0.0223877
0.0142;333.588;0.0046835;0.022404
0.0143;333.114;0.00468126;0.0224198
0.0144;332.647;0.00467902;0.0224351
0.0145;332.186;0.00467678;0.02245
0.0146;331.732;0.00467453;0.0224644
0.0147;331.284;0.00467228;0.0224783
0.0148;330.842;0.00467003;0.0224919
0.0149;330.407;0.00466779;0.022505
0.015;329.977;0.00466553;0.0225177
0.0151;329.553;0.00466328;0.0225301
0.0152;329.136;0.00466103;0.022542
0.0153;328.724;0.00465877;0.0225537
0.0154;328.318;0.00465652;0.0225649
0.0155;327.917;0.00465426;0.0225758
0.0156;327.523;0.004652;0.0225864
0.0157;327.134;0.00464974;0.0225967
0.0158;326.75;0.00464748;0.0226066
0.0159;326.372;0.00464522;0.0226163
0.016;325.998;0.00464296;0.0226256
