Date [s];Average:Temperature (Study 01 - Particles) [K];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0015;485.141;0.00489686;0.000283008
0.0016;484.318;0.0048968;0.000861044
0.0017;483.462;0.00489669;0.00142766
0.0018;482.584;0.00489652;0.00198354
0.0019;481.689;0.00489629;0.0025282
0.002;480.783;0.00489601;0.00306121
0.0021;479.865;0.00489568;0.00358342
0.0022;478.939;0.0048953;0.00409446
0.0023;478.007;0.00489486;0.00459402
0.0024;477.069;0.00489438;0.00508294
0.0025;476.126;0.00489385;0.00556093
0.0026;475.18;0.00489327;0.00602775
0.0027;474.231;0.00489264;0.00648422
0.0028;473.28;0.00489197;0.00693012
0.0029;472.327;0.00489125;0.00736557
0.003;471.374;0.0048905;0.00779039
0.0031;470.419;0.0048897;0.00820539
0.0032;469.464;0.00488886;0.00861038
0.0033;468.511;0.00488798;0.00900523
0.0034;467.557;0.00488706;0.00939069
0.0035;466.604;0.0048861;0.00976662
0.0036;465.652;0.0048851;0.0101329
0.0037;464.702;0.00488407;0.0104903
0.0038;463.753;0.004883;0.0108387
0.0039;462.806;0.0048819;0.0111779
0.004;461.861;0.00488077;0.0115087
0.0041;460.919;0.0048796;0.011831
0.0042;459.979;0.0048784;0.0121448
0.0043;459.041;0.00487717;0.0124505
0.0044;458.106;0.00487591;0.0127483
0.0045;457.174;0.00487462;0.0130383
0.0046;456.245;0.00487331;0.0133203
0.0047;455.319;0.00487196;0.0135951
0.0048;454.397;0.00487059;0.0138626
0.0049;453.478;0.00486919;0.0141227
0.005;452.562;0.00486776;0.0143759
0.0051;451.649;0.00486631;0.0146224
0.0052;450.741;0.00486484;0.0148619
0.0053;449.835;0.00486334;0.0150951
0.0054;448.934;0.00486182;0.0153219
0.0055;448.036;0.00486028;0.0155424
0.0056;447.142;0.00485871;0.0157569
0.0057;446.252;0.00485713;0.0159655
0.0058;445.366;0.00485552;0.0161683
0.0059;444.484;0.00485389;0.0163653
0.006;443.606;0.00485225;0.016557
0.0061;442.732;0.00485058;0.0167433
0.0062;441.863;0.0048489;0.0169243
0.0063;440.997;0.0048472;0.0171003
0.0064;440.136;0.00484548;0.0172713
0.0065;439.279;0.00484374;0.0174374
0.0066;438.426;0.00484199;0.0175989
0.0067;437.577;0.00484022;0.0177558
0.0068;436.733;0.00483844;0.0179081
0.0069;435.892;0.00483664;0.0180562
0.007;435.056;0.00483483;0.0182001
0.0071;434.225;0.004833;0.0183398
0.0072;433.398;0.00483116;0.0184754
0.0073;432.575;0.00482931;0.0186073
0.0074;431.756;0.00482744;0.0187353
0.0075;430.942;0.00482556;0.0188595
0.0076;430.132;0.00482367;0.0189802
0.0077;429.327;0.00482176;0.0190975
0.0078;428.526;0.00481985;0.0192112
0.0079;427.729;0.00481792;0.0193218
0.008;426.937;0.00481598;0.0194291
0.0081;426.149;0.00481404;0.0195332
0.0082;425.365;0.00481208;0.0196343
0.0083;424.586;0.00481011;0.0197325
0.0084;423.812;0.00480813;0.0198278
0.0085;423.041;0.00480614;0.0199203
0.0086;422.275;0.00480415;0.0200101
0.0087;421.513;0.00480214;0.0200973
0.0088;420.756;0.00480013;0.0201819
0.0089;420.002;0.00479811;0.020264
0.009;419.253;0.00479607;0.0203437
0.0091;418.509;0.00479404;0.020421
0.0092;417.769;0.00479199;0.020496
0.0093;417.032;0.00478994;0.0205689
0.0094;416.301;0.00478788;0.0206395
0.0095;415.574;0.00478581;0.0207081
0.0096;414.85;0.00478373;0.0207747
0.0097;414.132;0.00478166;0.0208392
0.0098;413.417;0.00477957;0.0209019
0.0099;412.706;0.00477747;0.0209627
0.01;412;0.00477537;0.0210217
0.0101;411.298;0.00477327;0.0210789
0.0102;410.6;0.00477116;0.0211345
