Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0015,514.065,0.00489686,0.000283008
0.0016,515.109,0.0048968,0.000861044
0.0017,516.105,0.00489669,0.00142766
0.0018,517.066,0.00489652,0.00198354
0.0019,517.998,0.00489629,0.0025282
0.002,518.904,0.00489601,0.00306121
0.0021,519.788,0.00489568,0.00358342
0.0022,520.652,0.0048953,0.00409446
0.0023,521.496,0.00489486,0.00459402
0.0024,522.324,0.00489438,0.00508294
0.0025,523.135,0.00489385,0.00556093
0.0026,523.931,0.00489327,0.00602775
0.0027,524.713,0.00489264,0.00648422
0.0028,525.481,0.00489197,0.00693012
0.0029,526.236,0.00489125,0.00736557
0.003,526.978,0.0048905,0.00779039
0.0031,527.708,0.0048897,0.00820539
0.0032,528.427,0.00488886,0.00861038
0.0033,529.135,0.00488798,0.00900523
0.0034,529.833,0.00488706,0.00939069
0.0035,530.52,0.0048861,0.00976662
0.0036,531.197,0.0048851,0.0101329
0.0037,531.865,0.00488407,0.0104903
0.0038,532.524,0.004883,0.0108387
0.0039,533.173,0.0048819,0.0111779
0.004,533.814,0.00488077,0.0115087
0.0041,534.447,0.0048796,0.011831
0.0042,535.071,0.0048784,0.0121448
0.0043,535.688,0.00487717,0.0124505
0.0044,536.297,0.00487591,0.0127483
0.0045,536.898,0.00487462,0.0130383
0.0046,537.492,0.00487331,0.0133203
0.0047,538.079,0.00487196,0.0135951
0.0048,538.659,0.00487059,0.0138626
0.0049,539.231,0.00486919,0.0141227
0.005,539.798,0.00486776,0.0143759
0.0051,540.358,0.00486631,0.0146224
0.0052,540.911,0.00486484,0.0148619
0.0053,541.459,0.00486334,0.0150951
0.0054,542,0.00486182,0.0153219
0.0055,542.535,0.00486028,0.0155424
0.0056,543.065,0.00485871,0.0157569
0.0057,543.589,0.00485713,0.0159655
0.0058,544.107,0.00485552,0.0161683
0.0059,544.62,0.00485389,0.0163653
0.006,545.127,0.00485225,0.016557
0.0061,545.63,0.00485058,0.0167433
0.0062,546.127,0.0048489,0.0169243
0.0063,546.619,0.0048472,0.0171003
0.0064,547.106,0.00484548,0.0172713
0.0065,547.588,0.00484374,0.0174374
0.0066,548.066,0.00484199,0.0175989
0.0067,548.539,0.00484022,0.0177558
0.0068,549.007,0.00483844,0.0179081
0.0069,549.471,0.00483664,0.0180562
0.007,549.931,0.00483483,0.0182001
0.0071,550.386,0.004833,0.0183398
0.0072,550.836,0.00483116,0.0184754
0.0073,551.283,0.00482931,0.0186073
0.0074,551.725,0.00482744,0.0187353
0.0075,552.164,0.00482556,0.0188595
0.0076,552.598,0.00482367,0.0189802
0.0077,553.029,0.00482176,0.0190975
0.0078,553.455,0.00481985,0.0192112
0.0079,553.878,0.00481792,0.0193218
0.008,554.297,0.00481598,0.0194291
0.0081,554.712,0.00481404,0.0195332
0.0082,555.123,0.00481208,0.0196343
0.0083,555.532,0.00481011,0.0197325
0.0084,555.936,0.00480813,0.0198278
0.0085,556.337,0.00480614,0.0199203
0.0086,556.735,0.00480415,0.0200101
0.0087,557.129,0.00480214,0.0200973
0.0088,557.52,0.00480013,0.0201819
0.0089,557.907,0.00479811,0.020264
0.009,558.292,0.00479607,0.0203437
0.0091,558.673,0.00479404,0.020421
0.0092,559.051,0.00479199,0.020496
0.0093,559.426,0.00478994,0.0205689
0.0094,559.798,0.00478788,0.0206395
0.0095,560.166,0.00478581,0.0207081
0.0096,560.532,0.00478373,0.0207747
0.0097,560.895,0.00478166,0.0208392
0.0098,561.255,0.00477957,0.0209019
0.0099,561.612,0.00477747,0.0209627
0.01,561.966,0.00477537,0.0210217
0.0101,562.318,0.00477327,0.0210789
0.0102,562.666,0.00477116,0.0211345
0.0103,563.012,0.00476904,0.0211883
0.0104,563.356,0.00476692,0.0212406
0.0105,563.696,0.0047648,0.0212913
0.0106,564.034,0.00476266,0.0213405
0.0107,564.369,0.00476053,0.0213882
0.0108,564.702,0.00475839,0.0214345
0.0109,565.032,0.00475624,0.0214794
0.011,565.36,0.00475409,0.021523
0.0111,565.685,0.00475194,0.0215652
0.0112,566.008,0.00474978,0.0216062
0.0113,566.328,0.00474761,0.0216458
0.0114,566.646,0.00474545,0.0216841
0.0115,566.961,0.00474328,0.0217214
0.0116,567.275,0.0047411,0.0217575
0.0117,567.585,0.00473893,0.0217925
0.0118,567.894,0.00473675,0.0218265
0.0119,568.2,0.00473456,0.0218595
0.012,568.504,0.00473237,0.0218914
0.0121,568.806,0.00473018,0.0219224
0.0122,569.105,0.00472799,0.0219525
0.0123,569.402,0.00472579,0.0219816
0.0124,569.698,0.00472359,0.0220099
0.0125,569.991,0.00472139,0.0220373
0.0126,570.282,0.00471919,0.0220639
0.0127,570.57,0.00471698,0.0220897
0.0128,570.857,0.00471477,0.0221148
0.0129,571.142,0.00471255,0.022139
0.013,571.424,0.00471034,0.0221626
0.0131,571.705,0.00470812,0.0221854
0.0132,571.984,0.0047059,0.0222075
0.0133,572.26,0.00470368,0.022229
0.0134,572.535,0.00470146,0.0222498
0.0135,572.808,0.00469923,0.02227
0.0136,573.079,0.004697,0.0222895
0.0137,573.348,0.00469477,0.0223085
0.0138,573.615,0.00469254,0.0223269
0.0139,573.88,0.00469031,0.0223448
0.014,574.143,0.00468807,0.0223621
0.0141,574.405,0.00468583,0.0223789
0.0142,574.665,0.0046836,0.0223952
0.0143,574.922,0.00468136,0.0224109
0.0144,575.179,0.00467911,0.0224263
0.0145,575.433,0.00467687,0.0224411
0.0146,575.686,0.00467463,0.0224555
0.0147,575.936,0.00467238,0.0224695
0.0148,576.186,0.00467013,0.022483
0.0149,576.433,0.00466788,0.0224961
0.015,576.679,0.00466563,0.0225088
0.0151,576.923,0.00466338,0.0225212
0.0152,577.165,0.00466113,0.0225331
0.0153,577.406,0.00465888,0.0225447
0.0154,577.645,0.00465662,0.022556
0.0155,577.883,0.00465436,0.0225669
0.0156,578.118,0.00465211,0.0225775
0.0157,578.353,0.00464985,0.0225877
0.0158,578.585,0.00464759,0.0225977
0.0159,578.816,0.00464533,0.0226073
0.016,579.046,0.00464307,0.0226167
0.0161,579.274,0.0046408,0.0226257
0.0162,579.5,0.00463854,0.0226345
0.0163,579.725,0.00463628,0.022643
0.0164,579.949,0.00463401,0.0226513
0.0165,580.171,0.00463175,0.0226593
0.0166,580.391,0.00462948,0.0226671
0.0167,580.61,0.00462721,0.0226746
0.0168,580.828,0.00462495,0.0226819
0.0169,581.044,0.00462268,0.022689
0.017,581.258,0.00462041,0.0226959
0.0171,581.472,0.00461814,0.0227025
0.0172,581.683,0.00461587,0.022709
0.0173,581.894,0.0046136,0.0227152
0.0174,582.103,0.00461132,0.0227213
0.0175,582.31,0.00460905,0.0227272
0.0176,582.517,0.00460678,0.0227329
0.0177,582.722,0.00460451,0.0227384
0.0178,582.925,0.00460223,0.0227438
0.0179,583.127,0.00459996,0.022749
0.018,583.328,0.00459768,0.022754
0.0181,583.528,0.00459541,0.0227589
0.0182,583.726,0.00459313,0.0227637
0.0183,583.923,0.00459085,0.0227683
0.0184,584.118,0.00458858,0.0227727
0.0185,584.313,0.0045863,0.022777
0.0186,584.506,0.00458402,0.0227812
0.0187,584.698,0.00458174,0.0227853
0.0188,584.888,0.00457947,0.0227892
0.0189,585.077,0.00457719,0.022793
0.019,585.266,0.00457491,0.0227967
0.0191,585.452,0.00457263,0.0228003
0.0192,585.638,0.00457035,0.0228038
0.0193,585.822,0.00456807,0.0228072
0.0194,586.005,0.00456579,0.0228105
0.0195,586.188,0.0045635,0.0228136
0.0196,586.368,0.00456122,0.0228167
0.0197,586.548,0.00455894,0.0228197
0.0198,586.726,0.00455666,0.0228226
0.0199,586.904,0.00455438,0.0228254
0.02,587.08,0.00455209,0.0228281
0.0201,587.255,0.00454981,0.0228307
0.0202,587.429,0.00454753,0.0228333
0.0203,587.602,0.00454524,0.0228358
0.0204,587.773,0.00454296,0.0228382
0.0205,587.944,0.00454068,0.0228405
0.0206,588.113,0.00453839,0.0228427
0.0207,588.282,0.00453611,0.0228449
0.0208,588.449,0.00453382,0.022847
0.0209,588.615,0.00453154,0.0228491
0.021,588.78,0.00452925,0.0228511
0.0211,588.944,0.00452697,0.022853
