Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0.0015,501.707,0.00489686,0.000285447
0.0016,502.236,0.0048968,0.000863658
0.0017,502.648,0.00489669,0.00143041
0.0018,502.973,0.00489652,0.00198642
0.0019,503.227,0.00489629,0.0025312
0.002,503.418,0.00489601,0.00306434
0.0021,503.555,0.00489568,0.00358667
0.0022,503.643,0.00489529,0.00409784
0.0023,503.685,0.00489486,0.00459752
0.0024,503.687,0.00489437,0.00508656
0.0025,503.651,0.00489384,0.00556467
0.0026,503.58,0.00489326,0.00603161
0.0027,503.476,0.00489263,0.0064882
0.0028,503.343,0.00489196,0.00693421
0.0029,503.181,0.00489125,0.00736977
0.003,502.994,0.00489049,0.00779471
0.0031,502.782,0.00488969,0.00820982
0.0032,502.547,0.00488885,0.00861492
0.0033,502.291,0.00488797,0.00900987
0.0034,502.015,0.00488705,0.00939544
0.0035,501.721,0.00488609,0.00977148
0.0036,501.41,0.00488509,0.0101379
0.0037,501.082,0.00488406,0.0104954
0.0038,500.739,0.00488299,0.0108438
0.0039,500.382,0.00488189,0.0111832
0.004,500.011,0.00488076,0.0115141
0.0041,499.629,0.00487959,0.0118365
0.0042,499.235,0.00487839,0.0121503
0.0043,498.831,0.00487716,0.0124562
0.0044,498.417,0.0048759,0.012754
0.0045,497.993,0.00487461,0.0130441
0.0046,497.562,0.00487329,0.0133262
0.0047,497.123,0.00487194,0.0136011
0.0048,496.676,0.00487057,0.0138686
0.0049,496.223,0.00486917,0.0141288
0.005,495.765,0.00486775,0.0143821
0.0051,495.3,0.00486629,0.0146286
0.0052,494.832,0.00486482,0.0148682
0.0053,494.358,0.00486332,0.0151015
0.0054,493.88,0.0048618,0.0153284
0.0055,493.4,0.00486026,0.0155489
0.0056,492.916,0.00485869,0.0157635
0.0057,492.429,0.0048571,0.0159722
0.0058,491.94,0.0048555,0.016175
0.0059,491.45,0.00485387,0.0163721
0.006,490.957,0.00485222,0.0165639
0.0061,490.463,0.00485056,0.0167502
0.0062,489.969,0.00484887,0.0169313
0.0063,489.474,0.00484717,0.0171073
0.0064,488.978,0.00484545,0.0172784
0.0065,488.483,0.00484371,0.0174445
0.0066,487.987,0.00484196,0.0176061
0.0067,487.492,0.00484019,0.017763
0.0068,486.997,0.00483841,0.0179154
0.0069,486.503,0.00483661,0.0180635
0.007,486.011,0.0048348,0.0182074
0.0071,485.519,0.00483297,0.0183472
0.0072,485.029,0.00483113,0.0184829
0.0073,484.541,0.00482927,0.0186148
0.0074,484.054,0.0048274,0.0187428
0.0075,483.569,0.00482552,0.0188671
0.0076,483.087,0.00482363,0.0189879
0.0077,482.606,0.00482173,0.0191051
0.0078,482.128,0.00481981,0.0192189
0.0079,481.652,0.00481788,0.0193295
0.008,481.179,0.00481594,0.0194369
0.0081,480.708,0.004814,0.019541
0.0082,480.24,0.00481204,0.0196422
0.0083,479.775,0.00481007,0.0197404
0.0084,479.314,0.00480809,0.0198357
0.0085,478.855,0.0048061,0.0199282
0.0086,478.399,0.0048041,0.0200181
0.0087,477.946,0.0048021,0.0201053
0.0088,477.497,0.00480008,0.0201899
0.0089,477.051,0.00479806,0.020272
0.009,476.608,0.00479603,0.0203517
0.0091,476.169,0.00479399,0.0204291
0.0092,475.733,0.00479194,0.0205041
0.0093,475.301,0.00478989,0.020577
0.0094,474.872,0.00478783,0.0206477
0.0095,474.447,0.00478576,0.0207163
0.0096,474.025,0.00478368,0.0207829
0.0097,473.608,0.0047816,0.0208474
0.0098,473.194,0.00477951,0.0209101
0.0099,472.783,0.00477742,0.020971
0.01,472.376,0.00477532,0.02103
0.0101,471.974,0.00477321,0.0210872
0.0102,471.574,0.0047711,0.0211428
0.0103,471.179,0.00476898,0.0211967
0.0104,470.788,0.00476686,0.0212489
0.0105,470.4,0.00476474,0.0212997
0.0106,470.016,0.0047626,0.0213489
0.0107,469.636,0.00476047,0.0213966
0.0108,469.259,0.00475832,0.0214429
0.0109,468.887,0.00475618,0.0214878
0.011,468.518,0.00475403,0.0215314
0.0111,468.153,0.00475187,0.0215737
0.0112,467.792,0.00474971,0.0216147
0.0113,467.434,0.00474755,0.0216543
0.0114,467.081,0.00474538,0.0216927
0.0115,466.731,0.00474321,0.0217299
0.0116,466.384,0.00474103,0.0217661
0.0117,466.042,0.00473886,0.0218011
0.0118,465.703,0.00473667,0.0218351
0.0119,465.368,0.00473449,0.021868
0.012,465.037,0.0047323,0.0219
0.0121,464.709,0.00473011,0.021931
0.0122,464.385,0.00472791,0.0219611
0.0123,464.065,0.00472572,0.0219903
0.0124,463.748,0.00472352,0.0220186
0.0125,463.435,0.00472131,0.022046
0.0126,463.126,0.00471911,0.0220726
0.0127,462.82,0.0047169,0.0220984
0.0128,462.517,0.00471469,0.0221235
0.0129,462.219,0.00471247,0.0221478
0.013,461.923,0.00471026,0.0221713
0.0131,461.631,0.00470804,0.0221941
0.0132,461.343,0.00470582,0.0222163
0.0133,461.058,0.0047036,0.0222377
0.0134,460.776,0.00470137,0.0222586
0.0135,460.498,0.00469914,0.0222788
0.0136,460.223,0.00469692,0.0222983
0.0137,459.951,0.00469469,0.0223173
0.0138,459.683,0.00469245,0.0223358
0.0139,459.418,0.00469022,0.0223536
0.014,459.156,0.00468798,0.0223709
0.0141,458.897,0.00468574,0.0223877
0.0142,458.642,0.0046835,0.022404
0.0143,458.39,0.00468126,0.0224198
0.0144,458.14,0.00467902,0.0224351
0.0145,457.894,0.00467678,0.02245
0.0146,457.651,0.00467453,0.0224644
0.0147,457.411,0.00467228,0.0224783
0.0148,457.174,0.00467003,0.0224919
0.0149,456.94,0.00466779,0.022505
0.015,456.709,0.00466553,0.0225177
0.0151,456.48,0.00466328,0.0225301
0.0152,456.255,0.00466103,0.022542
0.0153,456.032,0.00465877,0.0225537
0.0154,455.813,0.00465652,0.0225649
0.0155,455.596,0.00465426,0.0225758
0.0156,455.382,0.004652,0.0225864
0.0157,455.17,0.00464974,0.0225967
0.0158,454.961,0.00464748,0.0226066
0.0159,454.755,0.00464522,0.0226163
0.016,454.552,0.00464296,0.0226256
0.0161,454.351,0.0046407,0.0226347
0.0162,454.153,0.00463843,0.0226435
0.0163,453.957,0.00463617,0.022652
0.0164,453.764,0.0046339,0.0226603
0.0165,453.574,0.00463164,0.0226683
0.0166,453.386,0.00462937,0.0226761
0.0167,453.2,0.0046271,0.0226836
0.0168,453.017,0.00462483,0.0226909
0.0169,452.836,0.00462256,0.022698
0.017,452.657,0.00462029,0.0227049
0.0171,452.481,0.00461802,0.0227115
0.0172,452.307,0.00461575,0.022718
0.0173,452.136,0.00461348,0.0227242
0.0174,451.967,0.0046112,0.0227303
0.0175,451.8,0.00460893,0.0227362
0.0176,451.635,0.00460666,0.0227419
0.0177,451.472,0.00460438,0.0227474
0.0178,451.312,0.00460211,0.0227528
0.0179,451.153,0.00459983,0.022758
0.018,450.997,0.00459756,0.0227631
0.0181,450.843,0.00459528,0.0227679
0.0182,450.691,0.004593,0.0227727
0.0183,450.541,0.00459073,0.0227773
0.0184,450.393,0.00458845,0.0227817
0.0185,450.247,0.00458617,0.0227861
0.0186,450.102,0.00458389,0.0227903
0.0187,449.96,0.00458161,0.0227943
0.0188,449.82,0.00457933,0.0227983
0.0189,449.681,0.00457705,0.0228021
0.019,449.545,0.00457477,0.0228058
0.0191,449.41,0.00457249,0.0228094
0.0192,449.277,0.00457021,0.0228129
0.0193,449.146,0.00456793,0.0228162
0.0194,449.017,0.00456565,0.0228195
0.0195,448.889,0.00456336,0.0228227
0.0196,448.763,0.00456108,0.0228257
0.0197,448.639,0.0045588,0.0228287
0.0198,448.517,0.00455652,0.0228316
0.0199,448.396,0.00455423,0.0228344
0.02,448.277,0.00455195,0.0228371
0.0201,448.159,0.00454967,0.0228398
0.0202,448.043,0.00454738,0.0228423
0.0203,447.929,0.0045451,0.0228448
0.0204,447.816,0.00454281,0.0228472
0.0205,447.705,0.00454053,0.0228495
0.0206,447.595,0.00453824,0.0228518
0.0207,447.487,0.00453596,0.022854
0.0208,447.38,0.00453367,0.0228561
0.0209,447.274,0.00453139,0.0228582
0.021,447.17,0.0045291,0.0228602
0.0211,447.068,0.00452681,0.0228621
0.0212,446.967,0.00452453,0.022864
0.0213,446.867,0.00452224,0.0228658
0.0214,446.769,0.00451996,0.0228676
0.0215,446.672,0.00451767,0.0228693
0.0216,446.576,0.00451538,0.0228709
0.0217,446.482,0.00451309,0.0228725
0.0218,446.389,0.00451081,0.0228741
0.0219,446.297,0.00450852,0.0228756
0.022,446.207,0.00450623,0.0228771
0.0221,446.117,0.00450394,0.0228785
0.0222,446.029,0.00450166,0.0228799
0.0223,445.943,0.00449937,0.0228812
0.0224,445.857,0.00449708,0.0228825
0.0225,445.773,0.00449479,0.0228837
0.0226,445.689,0.0044925,0.0228849
0.0227,445.607,0.00449021,0.0228861
0.0228,445.526,0.00448793,0.0228872
0.0229,445.446,0.00448564,0.0228883
0.023,445.368,0.00448335,0.0228893
0.0231,445.29,0.00448106,0.0228904
0.0232,445.213,0.00447877,0.0228914
0.0233,445.138,0.00447648,0.0228923
0.0234,445.063,0.00447419,0.0228933
0.0235,444.99,0.0044719,0.0228942
0.0236,444.918,0.00446961,0.0228951
0.0237,444.846,0.00446732,0.0228959
0.0238,444.776,0.00446503,0.0228967
0.0239,444.706,0.00446274,0.0228975
0.024,444.638,0.00446045,0.0228983
0.0241,444.57,0.00445816,0.0228991
0.0242,444.504,0.00445587,0.0228998
0.0243,444.438,0.00445358,0.0229005
0.0244,444.373,0.00445129,0.0229012
0.0245,444.309,0.004449,0.0229019
0.0246,444.246,0.00444671,0.0229025
0.0247,444.184,0.00444442,0.0229031
0.0248,444.123,0.00444213,0.0229037
0.0249,444.063,0.00443984,0.0229043
0.025,444.003,0.00443755,0.0229049
0.0251,443.944,0.00443526,0.0229055
0.0252,443.887,0.00443297,0.022906
0.0253,443.83,0.00443068,0.0229065
0.0254,443.773,0.00442839,0.022907
0.0255,443.718,0.0044261,0.0229075
0.0256,443.663,0.00442381,0.022908
0.0257,443.609,0.00442152,0.0229084
0.0258,443.556,0.00441923,0.0229089
0.0259,443.503,0.00441694,0.0229093
0.026,443.452,0.00441464,0.0229097
0.0261,443.401,0.00441235,0.0229101
0.0262,443.351,0.00441006,0.0229105
0.0263,443.301,0.00440777,0.0229109
0.0264,443.252,0.00440548,0.0229113
0.0265,443.204,0.00440319,0.0229116
0.0266,443.156,0.0044009,0.022912
0.0267,443.109,0.00439861,0.0229123
0.0268,443.063,0.00439631,0.0229127
0.0269,443.018,0.00439402,0.022913
0.027,442.973,0.00439173,0.0229133
0.0271,442.929,0.00438944,0.0229136
0.0272,442.885,0.00438715,0.0229139
0.0273,442.842,0.00438486,0.0229141
0.0274,442.799,0.00438257,0.0229144
0.0275,442.758,0.00438028,0.0229147
0.0276,442.716,0.00437798,0.0229149
0.0277,442.676,0.00437569,0.0229152
0.0278,442.636,0.0043734,0.0229154
0.0279,442.596,0.00437111,0.0229157
0.028,442.557,0.00436882,0.0229159
0.0281,442.519,0.00436653,0.0229161
0.0282,442.481,0.00436424,0.0229163
0.0283,442.443,0.00436194,0.0229165
0.0284,442.406,0.00435965,0.0229167
0.0285,442.37,0.00435736,0.0229169
0.0286,442.334,0.00435507,0.0229171
0.0287,442.299,0.00435278,0.0229173
0.0288,442.264,0.00435049,0.0229175
0.0289,442.23,0.00434819,0.0229176
0.029,442.196,0.0043459,0.0229178
0.0291,442.163,0.00434361,0.022918
0.0292,442.13,0.00434132,0.0229181
0.0293,442.097,0.00433903,0.0229183
0.0294,442.065,0.00433673,0.0229184
0.0295,442.034,0.00433444,0.0229185
0.0296,442.003,0.00433215,0.0229187
0.0297,441.972,0.00432986,0.0229188
0.0298,441.942,0.00432757,0.0229189
0.0299,441.912,0.00432527,0.0229191
0.03,441.883,0.00432298,0.0229192
0.0301,441.854,0.00432069,0.0229193
0.0302,441.825,0.0043184,0.0229194
0.0303,441.797,0.00431611,0.0229195
0.0304,441.769,0.00431382,0.0229196
0.0305,441.742,0.00431152,0.0229197
0.0306,441.715,0.00430923,0.0229198
0.0307,441.689,0.00430694,0.0229199
0.0308,441.662,0.00430465,0.02292
0.0309,441.636,0.00430235,0.0229201
0.031,441.611,0.00430006,0.0229202
0.0311,441.586,0.00429777,0.0229203
0.0312,441.561,0.00429548,0.0229204
0.0313,441.537,0.00429319,0.0229205
0.0314,441.513,0.0042909,0.0229206
0.0315,441.489,0.0042886,0.0229206
0.0316,441.466,0.00428631,0.0229207
0.0317,441.442,0.00428402,0.0229208
0.0318,441.42,0.00428173,0.0229208
0.0319,441.397,0.00427943,0.0229209
0.032,441.375,0.00427714,0.022921
0.0321,441.353,0.00427485,0.022921
0.0322,441.332,0.00427256,0.0229211
0.0323,441.311,0.00427027,0.0229212
0.0324,441.29,0.00426797,0.0229212
0.0325,441.269,0.00426568,0.0229213
0.0326,441.249,0.00426339,0.0229213
0.0327,441.229,0.0042611,0.0229214
0.0328,441.209,0.00425881,0.0229214
0.0329,441.19,0.00425651,0.0229215
0.033,441.171,0.00425422,0.0229215
0.0331,441.152,0.00425193,0.0229216
0.0332,441.133,0.00424964,0.0229216
0.0333,441.115,0.00424735,0.0229216
0.0334,441.097,0.00424505,0.0229216
0.0335,441.079,0.00424276,0.0229216
0.0336,441.061,0.00424047,0.0229215
0.0337,441.044,0.00423818,0.0229215
0.0338,441.027,0.00423588,0.0229215
0.0339,441.01,0.00423359,0.0229215
0.034,440.993,0.0042313,0.0229215
0.0341,440.977,0.00422901,0.0229215
0.0342,440.96,0.00422671,0.0229215
0.0343,440.944,0.00422442,0.0229215
0.0344,440.929,0.00422213,0.0229214
0.0345,440.913,0.00421984,0.0229214
0.0346,440.898,0.00421755,0.0229214
0.0347,440.883,0.00421525,0.0229214
0.0348,440.868,0.00421296,0.0229214
0.0349,440.853,0.00421067,0.0229214
0.035,440.839,0.00420838,0.0229214
0.0351,440.825,0.00420609,0.0229214
0.0352,440.811,0.00420379,0.0229214
0.0353,440.797,0.0042015,0.0229214
0.0354,440.783,0.00419921,0.0229214
0.0355,440.77,0.00419692,0.0229213
0.0356,440.757,0.00419463,0.0229213
0.0357,440.743,0.00419233,0.0229213
0.0358,440.731,0.00419004,0.0229213
0.0359,440.718,0.00418775,0.0229213
0.036,440.705,0.00418546,0.0229213
0.0361,440.693,0.00418316,0.0229213
0.0362,440.681,0.00418087,0.0229213
0.0363,440.669,0.00417858,0.0229213
0.0364,440.657,0.00417629,0.0229213
0.0365,440.645,0.004174,0.0229213
0.0366,440.634,0.0041717,0.0229213
0.0367,440.623,0.00416941,0.0229213
0.0368,440.612,0.00416712,0.0229213
0.0369,440.601,0.00416483,0.0229213
0.037,440.59,0.00416254,0.0229213
0.0371,440.579,0.00416024,0.0229212
0.0372,440.568,0.00415795,0.0229212
