Date [s],Average:Temperature (Study 01 - Particles) [K]
0,-1.#IND
0.05,0.970447
0.1,0.941768
0.15,0.913936
0.2,0.886927
0.25,0.860708
0.3,0.835272
0.35,0.810588
0.4,0.786633
0.45,0.763379
0.5,0.740819
0.55,0.718926
0.6,0.69768
0.65,0.677061
0.7,0.657047
0.75,0.637629
0.8,0.618786
0.85,0.600499
0.9,0.582747
0.95,0.565525
1,0.548813
1.05,0.532594
1.1,0.516854
1.15,0.501575
1.2,0.486753
1.25,0.472368
1.3,0.458408
1.35,0.444857
1.4,0.43171
1.45,0.418952
1.5,0.406571
1.55,0.394552
1.6,0.382892
1.65,0.371577
1.7,0.360596
1.75,0.349939
1.8,0.339594
1.85,0.329558
1.9,0.319819
1.95,0.310368
2,0.301193
2.05,0.292292
2.1,0.283654
2.15,0.275271
2.2,0.267136
2.25,0.259239
2.3,0.251578
2.35,0.244143
2.4,0.236928
2.45,0.229924
2.5,0.223129
2.55,0.216535
2.6,0.210136
2.65,0.203926
2.7,0.197898
2.75,0.192049
2.8,0.186374
2.85,0.180866
2.9,0.175519
2.95,0.170332
3,0.165298
3.05,0.160413
3.1,0.155671
3.15,0.151071
3.2,0.146606
3.25,0.142274
3.3,0.138069
3.35,0.133988
3.4,0.130028
3.45,0.126185
3.5,0.122456
3.55,0.118836
3.6,0.115324
3.65,0.111916
3.7,0.108609
3.75,0.105399
3.8,0.102283
3.85,0.0992606
3.9,0.0963272
3.95,0.0934805
4,0.090717
4.05,0.0880361
4.1,0.0854344
4.15,0.0829096
4.2,0.0804594
4.25,0.0780809
4.3,0.0757734
4.35,0.0735341
4.4,0.071361
4.45,0.0692515
4.5,0.0672049
4.55,0.0652188
4.6,0.0632914
4.65,0.0614205
4.7,0.0596053
4.75,0.0578438
4.8,0.0561344
4.85,0.0544755
4.9,0.0528651
4.95,0.0513028
5,0.0497867
5.05,0.0483153
5.1,0.0468871
5.15,0.0455014
5.2,0.0441567
5.25,0.0428518
5.3,0.0415854
5.35,0.0403561
5.4,0.0391635
5.45,0.0380061
5.5,0.0368829
5.55,0.0357926
5.6,0.0347348
5.65,0.0337083
5.7,0.0327122
5.75,0.0317451
5.8,0.030807
5.85,0.0298966
5.9,0.029013
5.95,0.0281556
6,0.0273233
6.05,0.0265158
6.1,0.0257322
6.15,0.0249718
6.2,0.0242336
6.25,0.0235174
6.3,0.0228224
6.35,0.0221479
6.4,0.0214934
6.45,0.020858
6.5,0.0202416
6.55,0.0196434
6.6,0.0190629
6.65,0.0184994
6.7,0.0179527
6.75,0.0174221
6.8,0.0169073
6.85,0.0164076
6.9,0.0159226
6.95,0.015452
7,0.0149954
7.05,0.0145522
7.1,0.014122
7.15,0.0137047
7.2,0.0132997
7.25,0.0129066
7.3,0.0125251
7.35,0.012155
7.4,0.0117958
7.45,0.0114472
7.5,0.0111089
7.55,0.0107805
7.6,0.0104619
7.65,0.0101527
7.7,0.00985266
7.75,0.0095614
7.8,0.00927884
7.85,0.00900463
7.9,0.00873852
7.95,0.00848027
8,0.00822958
8.05,0.00798638
8.1,0.00775036
8.15,0.00752131
8.2,0.00729897
8.25,0.00708327
8.3,0.00687394
8.35,0.0066708
8.4,0.00647366
8.45,0.00628229
8.5,0.00609663
8.55,0.00591646
8.6,0.00574161
8.65,0.00557188
8.7,0.00540722
8.75,0.00524742
8.8,0.00509235
8.85,0.00494181
8.9,0.00479577
8.95,0.00465404
9,0.0045165
9.05,0.00438302
9.1,0.00425346
9.15,0.00412776
9.2,0.00400577
9.25,0.00388739
9.3,0.00377247
9.35,0.00366099
9.4,0.00355279
9.45,0.0034478
9.5,0.00334591
9.55,0.003247
9.6,0.00315104
9.65,0.00305792
9.7,0.00296755
9.75,0.00287982
9.8,0.00279472
9.85,0.00271213
9.9,0.00263198
9.95,0.0025542
10,0.00247869
10.05,0.00240544
10.1,0.00233435
10.15,0.00226536
10.2,0.0021984
10.25,0.00213343
10.3,0.00207038
10.35,0.0020092
10.4,0.0019498
10.45,0.00189218
10.5,0.00183626
10.55,0.00178199
10.6,0.00172933
10.65,0.00167821
10.7,0.00162861
10.75,0.00158048
10.8,0.00153378
10.85,0.00148844
10.9,0.00144445
10.95,0.00140176
11,0.00136034
11.05,0.00132013
11.1,0.00128111
11.15,0.00124325
11.2,0.00120651
11.25,0.00117085
11.3,0.00113624
11.35,0.00110266
11.4,0.00107008
11.45,0.00103845
11.5,0.00100775
11.55,0.000977972
11.6,0.00094907
11.65,0.000921023
11.7,0.000893804
11.75,0.000867382
11.8,0.000841749
11.85,0.000816873
11.9,0.000792732
11.95,0.000769298
12,0.000746563
12.05,0.0007245
12.1,0.000703089
12.15,0.000682311
12.2,0.000662141
12.25,0.000642573
12.3,0.000623583
12.35,0.000605155
12.4,0.000587266
12.45,0.00056991
12.5,0.000553068
12.55,0.000536724
12.6,0.000520862
12.65,0.000505465
12.7,0.000490527
12.75,0.00047603
12.8,0.000461962
12.85,0.000448306
12.9,0.000435058
12.95,0.000422201
13,0.000409723
13.05,0.000397611
13.1,0.000385861
13.15,0.000374458
13.2,0.000363392
13.25,0.000352652
13.3,0.000342227
13.35,0.000332114
13.4,0.000322299
13.45,0.000312774
13.5,0.000303528
13.55,0.000294558
13.6,0.000285853
13.65,0.000277405
13.7,0.000269207
13.75,0.000261249
13.8,0.000253529
13.85,0.000246036
13.9,0.000238765
13.95,0.000231707
14,0.000224859
14.05,0.000218214
14.1,0.000211765
14.15,0.000205507
14.2,0.000199432
14.25,0.000193538
14.3,0.000187819
14.35,0.000182268
14.4,0.00017688
14.45,0.000171653
14.5,0.00016658
14.55,0.000161657
14.6,0.000156878
14.65,0.000152242
14.7,0.000147743
14.75,0.000143377
14.8,0.00013914
14.85,0.000135027
14.9,0.000131036
14.95,0.000127164
15,0.000123406
15.05,0.000119758
15.1,0.000116218
15.15,0.000112784
15.2,0.000109451
15.25,0.000106216
15.3,0.000103076
15.35,0.00010003
15.4,9.70741e-05
15.45,9.42053e-05
15.5,9.14204e-05
15.55,8.87187e-05
15.6,8.60969e-05
15.65,8.35525e-05
15.7,8.10833e-05
15.75,7.86863e-05
15.8,7.6361e-05
15.85,7.41043e-05
15.9,7.19143e-05
15.95,6.97884e-05
16,6.7726e-05
16.05,6.57245e-05
16.1,6.37822e-05
16.15,6.18967e-05
16.2,6.00675e-05
16.25,5.82923e-05
16.3,5.65696e-05
16.35,5.48979e-05
16.4,5.3275e-05
16.45,5.17006e-05
16.5,5.01727e-05
16.55,4.869e-05
16.6,4.72506e-05
16.65,4.58542e-05
16.7,4.44991e-05
16.75,4.31841e-05
16.8,4.19079e-05
16.85,4.0669e-05
16.9,3.94671e-05
16.95,3.83008e-05
17,3.71689e-05
17.05,3.60701e-05
17.1,3.50042e-05
17.15,3.39697e-05
17.2,3.29658e-05
17.25,3.19913e-05
17.3,3.10459e-05
17.35,3.01284e-05
17.4,2.9238e-05
17.45,2.83739e-05
17.5,2.75352e-05
17.55,2.67214e-05
17.6,2.59317e-05
17.65,2.51654e-05
17.7,2.44215e-05
17.75,2.36998e-05
17.8,2.29994e-05
17.85,2.23197e-05
17.9,2.16601e-05
17.95,2.10198e-05
18,2.03986e-05
18.05,1.97957e-05
18.1,1.92107e-05
18.15,1.86428e-05
18.2,1.80919e-05
18.25,1.75572e-05
18.3,1.70384e-05
18.35,1.65348e-05
18.4,1.6046e-05
18.45,1.55718e-05
18.5,1.51117e-05
18.55,1.46651e-05
18.6,1.42315e-05
18.65,1.3811e-05
18.7,1.34028e-05
18.75,1.30067e-05
18.8,1.26222e-05
18.85,1.22492e-05
18.9,1.18872e-05
18.95,1.15359e-05
19,1.1195e-05
19.05,1.08641e-05
19.1,1.0543e-05
19.15,1.02314e-05
19.2,9.92906e-06
19.25,9.63554e-06
19.3,9.35079e-06
19.35,9.07445e-06
19.4,8.80627e-06
19.45,8.54602e-06
19.5,8.29339e-06
19.55,8.0483e-06
19.6,7.81045e-06
19.65,7.57963e-06
19.7,7.35557e-06
19.75,7.13819e-06
19.8,6.92724e-06
19.85,6.72252e-06
19.9,6.52385e-06
19.95,6.331e-06
20,6.1439e-06
