Date [s],Average:Temperature (Study 01 - Particles) [K]
0,-1.#IND
0.05,0.670361
0.1,0.462588
0.15,0.331625
0.2,0.249076
0.25,0.197045
0.3,0.16425
0.35,0.143578
0.4,0.130548
0.45,0.122336
0.5,0.117159
0.55,0.113896
0.6,0.11184
0.65,0.110544
0.7,0.109726
0.75,0.109211
0.8,0.108887
0.85,0.108682
0.9,0.108553
0.95,0.108472
1,0.108421
1.05,0.108388
1.1,0.108368
1.15,0.108355
1.2,0.108347
1.25,0.108342
1.3,0.108339
1.35,0.108337
1.4,0.108336
1.45,0.108335
1.5,0.108334
1.55,0.108334
1.6,0.108334
1.65,0.108334
1.7,0.108333
1.75,0.108333
1.8,0.108333
1.85,0.108333
1.9,0.108333
1.95,0.108333
2,0.108333
2.05,0.108333
2.1,0.108333
2.15,0.108333
2.2,0.108333
2.25,0.108333
2.3,0.108333
2.35,0.108333
2.4,0.108333
2.45,0.108333
2.5,0.108333
2.55,0.108333
2.6,0.108333
2.65,0.108333
2.7,0.108333
2.75,0.108333
2.8,0.108333
2.85,0.108333
2.9,0.108333
2.95,0.108333
3,0.108333
3.05,0.108333
3.1,0.108333
3.15,0.108333
3.2,0.108333
3.25,0.108333
3.3,0.108333
3.35,0.108333
3.4,0.108333
3.45,0.108333
3.5,0.108333
3.55,0.108333
3.6,0.108333
3.65,0.108333
3.7,0.108333
3.75,0.108333
3.8,0.108333
3.85,0.108333
3.9,0.108333
3.95,0.108333
4,0.108333
4.05,0.108333
4.1,0.108333
4.15,0.108333
4.2,0.108333
4.25,0.108333
4.3,0.108333
4.35,0.108333
4.4,0.108333
4.45,0.108333
4.5,0.108333
4.55,0.108333
4.6,0.108333
4.65,0.108333
4.7,0.108333
4.75,0.108333
4.8,0.108333
4.85,0.108333
4.9,0.108333
4.95,0.108333
5,0.108333
