Date [s],Average:Temperature (Study 01 - Particles) [K]
0,-1.#IND
0.05,0.630295
0.1,0.397293
0.15,0.250425
0.2,0.15785
0.25,0.0994833
0.3,0.0627072
0.35,0.0395261
0.4,0.0249144
0.45,0.0157021
0.5,0.00989747
0.55,0.00623865
0.6,0.0039324
0.65,0.0024787
0.7,0.00156218
0.75,0.000984686
0.8,0.000620676
0.85,0.000391229
0.9,0.000246569
0.95,0.000155419
1,9.79651e-05
1.05,6.17502e-05
1.1,3.89229e-05
1.15,2.45308e-05
1.2,1.54625e-05
1.25,9.74642e-06
1.3,6.14345e-06
1.35,3.87185e-06
1.4,2.44054e-06
1.45,1.53834e-06
1.5,9.69659e-07
1.55,6.11118e-07
1.6,3.85205e-07
1.65,2.42806e-07
1.7,1.53047e-07
1.75,9.64701e-08
1.8,6.07993e-08
1.85,3.83235e-08
1.9,2.41564e-08
1.95,1.52265e-08
2,9.59634e-09
2.05,6.04885e-09
2.1,3.81276e-09
2.15,2.40329e-09
2.2,1.51486e-09
2.25,9.54727e-10
2.3,6.01792e-10
2.35,3.79326e-10
2.4,2.391e-10
2.45,1.50691e-10
2.5,9.49846e-11
2.55,5.98715e-11
2.6,3.77387e-11
2.65,2.37878e-11
2.7,1.4992e-11
2.75,9.44989e-12
2.8,5.95653e-12
2.85,3.75457e-12
2.9,2.36628e-12
2.95,1.49154e-12
3,9.40157e-13
3.05,5.92608e-13
3.1,3.73485e-13
3.15,2.35418e-13
3.2,1.48391e-13
3.25,9.3535e-14
3.3,5.89578e-14
3.35,3.71576e-14
3.4,2.34215e-14
3.45,1.47632e-14
3.5,9.30568e-15
3.55,5.86481e-15
3.6,3.69676e-15
3.65,2.33017e-15
3.7,1.46877e-15
3.75,9.2581e-16
3.8,5.83482e-16
3.85,3.67786e-16
3.9,2.31826e-16
3.95,1.46126e-16
4,9.20947e-17
4.05,5.80499e-17
4.1,3.65905e-17
4.15,2.3064e-17
4.2,1.45379e-17
4.25,9.16238e-18
4.3,5.77531e-18
4.35,3.64034e-18
4.4,2.29461e-18
4.45,1.44616e-18
4.5,9.11553e-19
4.55,5.74578e-19
4.6,3.62173e-19
4.65,2.28256e-19
4.7,1.43876e-19
4.75,9.06892e-20
4.8,5.7164e-20
4.85,3.60321e-20
4.9,2.27089e-20
4.95,1.43141e-20
5,9.02255e-21
