Date [s],Average:Temperature (Study 01 - Particles) [K]
0,-1.#IND
0.05,0.472351
0.1,0.223115
0.15,0.105389
0.2,0.0497803
0.25,0.0235084
0.3,0.0111042
0.35,0.00524508
0.4,0.00247752
0.45,0.00116999
0.5,0.000552646
0.55,0.000261043
0.6,0.000123304
0.65,5.82425e-05
0.7,2.75046e-05
0.75,1.29918e-05
0.8,6.1367e-06
0.85,2.89867e-06
0.9,1.36888e-06
0.95,6.46591e-07
1,3.05417e-07
1.05,1.44264e-07
1.1,6.81432e-08
1.15,3.21802e-08
1.2,1.52003e-08
1.25,7.17988e-09
1.3,3.39142e-09
1.35,1.60158e-09
1.4,7.56505e-10
1.45,3.57336e-10
1.5,1.68788e-10
1.55,7.97088e-11
1.6,3.76505e-11
1.65,1.77842e-11
1.7,8.40039e-12
1.75,3.96793e-12
1.8,1.87383e-12
1.85,8.85104e-13
1.9,4.18079e-13
1.95,1.9748e-13
2,9.32586e-14
2.05,4.40507e-14
2.1,2.08074e-14
2.15,9.82838e-15
2.2,4.64244e-15
2.25,2.19236e-15
2.3,1.03556e-15
2.35,4.89149e-16
2.4,2.3105e-16
2.45,1.09112e-16
2.5,5.1539e-17
2.55,2.43445e-17
2.6,1.14991e-17
2.65,5.43161e-18
2.7,2.56504e-18
2.75,1.2116e-18
2.8,5.723e-19
2.85,2.70326e-19
2.9,1.2766e-19
2.95,6.03001e-20
3,2.84828e-20
3.05,1.34539e-20
3.1,6.35349e-21
3.15,3.00108e-21
3.2,1.41756e-21
3.25,6.69585e-22
3.3,3.16279e-22
3.35,1.49361e-22
3.4,7.05506e-23
3.45,3.33246e-23
3.5,1.57409e-23
3.55,7.43353e-24
3.6,3.51123e-24
3.65,1.65853e-24
3.7,7.83409e-25
3.75,3.70044e-25
3.8,1.74751e-25
3.85,8.25435e-26
3.9,3.89895e-26
3.95,1.84167e-26
4,8.69716e-27
4.05,4.10811e-27
4.1,1.94047e-27
4.15,9.16581e-28
4.2,4.32948e-28
4.25,2.04457e-28
4.3,9.65752e-29
4.35,4.56173e-29
4.4,2.15474e-29
4.45,1.01756e-29
4.5,4.80645e-30
4.55,2.27033e-30
4.6,1.07239e-30
4.65,5.06429e-31
4.7,2.39212e-31
4.75,1.12992e-31
4.8,5.33719e-32
4.85,2.52102e-32
4.9,1.19054e-32
4.95,5.6235e-33
5,2.65626e-33
5.05,1.25469e-33
5.1,5.92518e-34
5.15,2.79876e-34
5.2,1.322e-34
5.25,6.24446e-35
5.3,2.94957e-35
5.35,1.39292e-35
5.4,6.57945e-36
5.45,3.1078e-36
5.5,1.46797e-36
5.55,6.9324e-37
5.6,3.27453e-37
5.65,1.54672e-37
5.7,7.30596e-38
5.75,3.45019e-38
5.8,1.6297e-38
5.85,7.69789e-39
5.9,3.6361e-39
5.95,1.71752e-39
6,8.11085e-40
6.05,3.83116e-40
6.1,1.80965e-40
6.15,8.5479e-41
6.2,4.03669e-41
6.25,1.90673e-41
6.3,9.00646e-42
6.35,4.25421e-42
6.4,2.00948e-42
6.45,9.48962e-43
6.5,4.48243e-43
6.55,2.11728e-43
6.6,1.0001e-43
6.65,4.72289e-44
6.7,2.23086e-44
6.75,1.05375e-44
6.8,4.97738e-45
6.85,2.35107e-45
6.9,1.11028e-45
6.95,5.2444e-46
7,2.47719e-46
7.05,1.1701e-46
7.1,5.52574e-47
7.15,2.61008e-47
7.2,1.23288e-47
7.25,5.82349e-48
7.3,2.7501e-48
7.35,1.29901e-48
7.4,6.1359e-49
7.45,2.89829e-49
7.5,1.36901e-49
7.55,6.46506e-50
7.6,3.05378e-50
7.65,1.44245e-50
7.7,6.81343e-51
7.75,3.2176e-51
7.8,1.51983e-51
7.85,7.17894e-52
7.9,3.39098e-52
7.95,1.60173e-52
8,7.56406e-53
8.05,3.57289e-53
8.1,1.68766e-53
8.15,7.97165e-54
8.2,3.76456e-54
8.25,1.77819e-54
8.3,8.3993e-55
8.35,3.96741e-55
8.4,1.87401e-55
8.45,8.84988e-56
8.5,4.18025e-56
8.55,1.97454e-56
8.6,9.32676e-57
8.65,4.4045e-57
8.7,2.08047e-57
8.75,9.8271e-58
