date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time (s)
0.0015;0.00489686;0.000283454;0;0
0.0016;0.0048968;0.000861519;6E-08;0.0001
0.0017;0.00489669;0.00142816;1.7E-07;0.0002
0.0018;0.00489652;0.00198406;3.4E-07;0.0003
0.0019;0.00489629;0.00252874;5.7E-07;0.0004
0.002;0.00489601;0.00306178;8.5E-07;0.0005
0.0021;0.00489568;0.00358401;1.18E-06;0.0006
0.0022;0.0048953;0.00409507;1.56E-06;0.0007
0.0023;0.00489486;0.00459466;2E-06;0.0008
0.0024;0.00489438;0.0050836;2.48E-06;0.0009
0.0025;0.00489385;0.00556161;3.01E-06;0.001
0.0026;0.00489327;0.00602845;3.59E-06;0.0011
0.0027;0.00489264;0.00648494;4.22E-06;0.0012
0.0028;0.00489197;0.00693086;4.89E-06;0.0013
0.0029;0.00489125;0.00736633;5.61E-06;0.0014
0.003;0.0048905;0.00779117;6.36E-06;0.0015
0.0031;0.0048897;0.00820619;7.16E-06;0.0016
0.0032;0.00488885;0.0086112;8.01E-06;0.0017
0.0033;0.00488797;0.00900607;8.89E-06;0.0018
0.0034;0.00488705;0.00939155;9.81E-06;0.0019
0.0035;0.0048861;0.0097675;1.076E-05;0.002
0.0036;0.0048851;0.0101338;1.176E-05;0.0021
0.0037;0.00488407;0.0104912;1.279E-05;0.0022
0.0038;0.004883;0.0108396;1.386E-05;0.0023
0.0039;0.0048819;0.0111789;1.496E-05;0.0024
0.004;0.00488077;0.0115097;1.609E-05;0.0025
0.0041;0.0048796;0.011832;1.726E-05;0.0026
0.0042;0.0048784;0.0121458;1.846E-05;0.0027
0.0043;0.00487717;0.0124516;1.969E-05;0.0028
0.0044;0.00487591;0.0127494;2.095E-05;0.0029
0.0045;0.00487462;0.0130393;2.224E-05;0.003
0.0046;0.0048733;0.0133214;2.356E-05;0.0031
0.0047;0.00487196;0.0135962;2.49E-05;0.0032
0.0048;0.00487058;0.0138637;2.628E-05;0.0033
0.0049;0.00486919;0.0141238;2.767E-05;0.0034
0.005;0.00486776;0.0143771;2.91E-05;0.0035
0.0051;0.00486631;0.0146235;3.055E-05;0.0036
0.0052;0.00486484;0.0148631;3.202E-05;0.0037
0.0053;0.00486334;0.0150963;3.352E-05;0.0038
0.0054;0.00486182;0.0153231;3.504E-05;0.0039
0.0055;0.00486027;0.0155436;3.659E-05;0.004
0.0056;0.00485871;0.0157581;3.815E-05;0.0041
0.0057;0.00485712;0.0159667;3.974E-05;0.0042
0.0058;0.00485551;0.0161695;4.135E-05;0.0043
0.0059;0.00485389;0.0163666;4.297E-05;0.0044
0.006;0.00485224;0.0165583;4.462E-05;0.0045
0.0061;0.00485058;0.0167446;4.628E-05;0.0046
0.0062;0.00484889;0.0169255;4.797E-05;0.0047
0.0063;0.00484719;0.0171016;4.967E-05;0.0048
0.0064;0.00484547;0.0172726;5.139E-05;0.0049
0.0065;0.00484374;0.0174387;5.312E-05;0.005
0.0066;0.00484199;0.0176002;5.487E-05;0.0051
0.0067;0.00484022;0.0177571;5.664E-05;0.0052
0.0068;0.00483843;0.0179094;5.843E-05;0.0053
0.0069;0.00483664;0.0180575;6.022E-05;0.0054
0.007;0.00483482;0.0182014;6.204E-05;0.0055
0.0071;0.00483299;0.0183411;6.387E-05;0.0056
0.0072;0.00483115;0.0184768;6.571E-05;0.0057
0.0073;0.0048293;0.0186086;6.756E-05;0.0058
0.0074;0.00482743;0.0187366;6.943E-05;0.0059
0.0075;0.00482555;0.0188609;7.131E-05;0.006
0.0076;0.00482366;0.0189816;7.32E-05;0.0061
0.0077;0.00482176;0.0190989;7.51E-05;0.0062
0.0078;0.00481984;0.0192126;7.702E-05;0.0063
0.0079;0.00481791;0.0193232;7.895E-05;0.0064
0.008;0.00481598;0.0194305;8.088E-05;0.0065
0.0081;0.00481403;0.0195346;8.283E-05;0.0066
0.0082;0.00481207;0.0196358;8.479E-05;0.0067
0.0083;0.0048101;0.019734;0.00008676;0.0068
0.0084;0.00480812;0.0198292;8.874E-05;0.0069
0.0085;0.00480614;0.0199217;9.072E-05;0.007
0.0086;0.00480414;0.0200116;9.272E-05;0.0071
0.0087;0.00480213;0.0200987;9.473E-05;0.0072
0.0088;0.00480012;0.0201833;9.674E-05;0.0073
0.0089;0.0047981;0.0202654;9.876E-05;0.0074
0.009;0.00479607;0.0203451;0.00010079;0.0075
0.0091;0.00479403;0.0204224;0.00010283;0.0076
0.0092;0.00479198;0.0204975;0.00010488;0.0077
0.0093;0.00478993;0.0205703;0.00010693;0.0078
0.0094;0.00478787;0.020641;0.00010899;0.0079
0.0095;0.0047858;0.0207096;0.00011106;0.008
0.0096;0.00478373;0.0207762;0.00011313;0.0081
0.0097;0.00478165;0.0208407;0.00011521;0.0082
0.0098;0.00477956;0.0209034;0.0001173;0.0083
0.0099;0.00477746;0.0209642;0.0001194;0.0084
0.01;0.00477536;0.0210232;0.0001215;0.0085
0.0101;0.00477326;0.0210804;0.0001236;0.0086
0.0102;0.00477115;0.0211359;0.00012571;0.0087
0.0103;0.00476903;0.0211898;0.00012783;0.0088
0.0104;0.00476691;0.0212421;0.00012995;0.0089
0.0105;0.00476478;0.0212928;0.00013208;0.009
0.0106;0.00476265;0.021342;0.00013421;0.0091
0.0107;0.00476052;0.0213897;0.00013634;0.0092
0.0108;0.00475837;0.021436;0.00013849;0.0093
0.0109;0.00475623;0.0214809;0.00014063;0.0094
0.011;0.00475408;0.0215245;0.00014278;0.0095
0.0111;0.00475192;0.0215667;0.00014494;0.0096
0.0112;0.00474977;0.0216077;0.00014709;0.0097
0.0113;0.0047476;0.0216473;0.00014926;0.0098
0.0114;0.00474544;0.0216857;0.00015142;0.0099
0.0115;0.00474327;0.021723;0.00015359;0.01
0.0116;0.00474109;0.0217591;0.00015577;0.0101
0.0117;0.00473891;0.0217941;0.00015795;0.0102
0.0118;0.00473673;0.0218281;0.00016013;0.0103
0.0119;0.00473455;0.0218611;0.00016231;0.0104
0.012;0.00473236;0.021893;0.0001645;0.0105
0.0121;0.00473017;0.0219241;0.00016669;0.0106
0.0122;0.00472798;0.0219542;0.00016888;0.0107
0.0123;0.00472578;0.0219833;0.00017108;0.0108
0.0124;0.00472358;0.0220116;0.00017328;0.0109
0.0125;0.00472138;0.0220391;0.00017548;0.011
0.0126;0.00471917;0.0220657;0.00017769;0.0111
0.0127;0.00471696;0.0220915;0.0001799;0.0112
0.0128;0.00471475;0.0221165;0.00018211;0.0113
0.0129;0.00471254;0.0221408;0.00018432;0.0114
0.013;0.00471033;0.0221643;0.00018653;0.0115
0.0131;0.00470811;0.0221872;0.00018875;0.0116
0.0132;0.00470589;0.0222093;0.00019097;0.0117
0.0133;0.00470367;0.0222308;0.00019319;0.0118
0.0134;0.00470144;0.0222516;0.00019542;0.0119
0.0135;0.00469921;0.0222718;0.00019765;0.012
0.0136;0.00469699;0.0222914;0.00019987;0.0121
0.0137;0.00469476;0.0223104;0.0002021;0.0122
0.0138;0.00469252;0.0223288;0.00020434;0.0123
0.0139;0.00469029;0.0223466;0.00020657;0.0124
0.014;0.00468806;0.022364;0.0002088;0.0125
0.0141;0.00468582;0.0223807;0.00021104;0.0126
0.0142;0.00468358;0.022397;0.00021328;0.0127
0.0143;0.00468134;0.0224128;0.00021552;0.0128
0.0144;0.0046791;0.0224281;0.00021776;0.0129
0.0145;0.00467685;0.022443;0.00022001;0.013
0.0146;0.00467461;0.0224574;0.00022225;0.0131
0.0147;0.00467236;0.0224713;0.0002245;0.0132
0.0148;0.00467011;0.0224849;0.00022675;0.0133
0.0149;0.00466787;0.022498;0.00022899;0.0134
0.015;0.00466561;0.0225107;0.00023125;0.0135
0.0151;0.00466336;0.0225231;0.0002335;0.0136
0.0152;0.00466111;0.0225351;0.00023575;0.0137
0.0153;0.00465886;0.0225467;0.000238;0.0138
0.0154;0.0046566;0.0225579;0.00024026;0.0139
0.0155;0.00465434;0.0225688;0.00024252;0.014
0.0156;0.00465209;0.0225794;0.00024477;0.0141
0.0157;0.00464983;0.0225897;0.00024703;0.0142
0.0158;0.00464757;0.0225996;0.00024929;0.0143
0.0159;0.00464531;0.0226093;0.00025155;0.0144
0.016;0.00464305;0.0226186;0.00025381;0.0145
0.0161;0.00464078;0.0226277;0.00025608;0.0146
0.0162;0.00463852;0.0226365;0.00025834;0.0147
0.0163;0.00463626;0.022645;0.0002606;0.0148
0.0164;0.00463399;0.0226533;0.00026287;0.0149
0.0165;0.00463173;0.0226613;0.00026513;0.015
0.0166;0.00462946;0.0226691;0.0002674;0.0151
0.0167;0.00462719;0.0226766;0.00026967;0.0152
0.0168;0.00462493;0.0226839;0.00027193;0.0153
0.0169;0.00462266;0.022691;0.0002742;0.0154
0.017;0.00462039;0.0226979;0.00027647;0.0155
0.0171;0.00461812;0.0227045;0.00027874;0.0156
0.0172;0.00461585;0.022711;0.00028101;0.0157
0.0173;0.00461357;0.0227172;0.00028329;0.0158
0.0174;0.0046113;0.0227233;0.00028556;0.0159
0.0175;0.00460903;0.0227292;0.00028783;0.016
0.0176;0.00460676;0.0227349;0.0002901;0.0161
0.0177;0.00460448;0.0227404;0.00029238;0.0162
0.0178;0.00460221;0.0227458;0.00029465;0.0163
0.0179;0.00459993;0.022751;0.00029693;0.0164
