date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time (s)
0.0014;0.00389644;2.86E-05;0;0
0.0015;0.00389641;0.000555335;3E-08;0.0001
0.0016;0.00389633;0.00112831;1.1E-07;0.0002
0.0017;0.00389619;0.00168978;2.5E-07;0.0003
0.0018;0.00389599;0.00224053;4.5E-07;0.0004
0.0019;0.00389574;0.0027801;7E-07;0.0005
0.002;0.00389544;0.00330809;1E-06;0.0006
0.0021;0.00389508;0.00382535;1.36E-06;0.0007
0.0022;0.00389467;0.0043315;1.77E-06;0.0008
0.0023;0.00389421;0.00482627;2.23E-06;0.0009
0.0024;0.00389371;0.00531048;2.73E-06;0.001
0.0025;0.00389315;0.00578384;3.29E-06;0.0011
0.0026;0.00389255;0.00624613;3.89E-06;0.0012
0.0027;0.0038919;0.00669817;4.54E-06;0.0013
0.0028;0.00389121;0.00713972;5.23E-06;0.0014
0.0029;0.00389048;0.00757092;5.96E-06;0.0015
0.003;0.0038897;0.0079916;6.74E-06;0.0016
0.0031;0.00388888;0.00840255;7.56E-06;0.0017
0.0032;0.00388802;0.00880359;8.42E-06;0.0018
0.0033;0.00388712;0.00919459;9.32E-06;0.0019
0.0034;0.00388618;0.00957629;1.026E-05;0.002
0.0035;0.0038852;0.00994857;0.00001124;0.0021
0.0036;0.00388419;0.0103113;1.225E-05;0.0022
0.0037;0.00388314;0.0106652;1.33E-05;0.0023
0.0038;0.00388206;0.0110102;0.00001438;0.0024
0.0039;0.00388094;0.0113462;1.55E-05;0.0025
0.004;0.00387979;0.0116738;0.00001665;0.0026
0.0041;0.0038786;0.011993;1.784E-05;0.0027
0.0042;0.00387739;0.0123037;1.905E-05;0.0028
0.0043;0.00387614;0.0126066;0.0000203;0.0029
0.0044;0.00387487;0.0129015;2.157E-05;0.003
0.0045;0.00387356;0.0131887;2.288E-05;0.0031
0.0046;0.00387223;0.0134681;2.421E-05;0.0032
0.0047;0.00387087;0.0137403;2.557E-05;0.0033
0.0048;0.00386948;0.0140052;2.696E-05;0.0034
0.0049;0.00386807;0.0142628;2.837E-05;0.0035
0.005;0.00386663;0.0145137;2.981E-05;0.0036
0.0051;0.00386517;0.0147579;3.127E-05;0.0037
0.0052;0.00386368;0.0149952;3.276E-05;0.0038
0.0053;0.00386217;0.0152262;3.427E-05;0.0039
