Date [s];Max:Particle Z-Coordinate [m];Min:Absolute Translational Velocity [m/s];;
0.0015;0.00490586;0.000281673;0;0
0.0016;0.0049058;0.000859758;6E-08;0.0001
0.0017;0.00490569;0.00142634;1.7E-07;0.0002
0.0018;0.00490552;0.00198217;3.4E-07;0.0003
0.0019;0.00490529;0.00252677;5.7E-07;0.0004
0.002;0.00490501;0.00305973;8.5E-07;0.0005
0.0021;0.00490468;0.00358189;1.18E-06;0.0006
0.0022;0.0049043;0.00409287;1.56E-06;0.0007
0.0023;0.00490386;0.00459238;2E-06;0.0008
0.0024;0.00490338;0.00508124;2.48E-06;0.0009
0.0025;0.00490285;0.00555918;3.01E-06;0.001
0.0026;0.00490227;0.00602594;3.59E-06;0.0011
0.0027;0.00490164;0.00648236;4.22E-06;0.0012
0.0028;0.00490097;0.0069282;4.89E-06;0.0013
0.0029;0.00490026;0.0073636;5.6E-06;0.0014
0.003;0.0048995;0.00778837;6.36E-06;0.0015
0.0031;0.0048987;0.00820332;7.16E-06;0.0016
0.0032;0.00489786;0.00860826;8E-06;0.0017
0.0033;0.00489698;0.00900306;8.88E-06;0.0018
0.0034;0.00489606;0.00938847;9.8E-06;0.0019
0.0035;0.0048951;0.00976436;1.076E-05;0.002
0.0036;0.00489411;0.0101306;1.175E-05;0.0021
0.0037;0.00489307;0.0104879;1.279E-05;0.0022
0.0038;0.00489201;0.0108363;1.385E-05;0.0023
0.0039;0.00489091;0.0111755;1.495E-05;0.0024
0.004;0.00488977;0.0115062;1.609E-05;0.0025
0.0041;0.00488861;0.0118285;1.725E-05;0.0026
0.0042;0.00488741;0.0121422;1.845E-05;0.0027
0.0043;0.00488618;0.0124479;1.968E-05;0.0028
0.0044;0.00488492;0.0127457;2.094E-05;0.0029
0.0045;0.00488363;0.0130356;2.223E-05;0.003
0.0046;0.00488231;0.0133176;2.355E-05;0.0031
0.0047;0.00488097;0.0135924;2.489E-05;0.0032
0.0048;0.00487959;0.0138598;2.627E-05;0.0033
0.0049;0.00487819;0.0141198;2.767E-05;0.0034
0.005;0.00487677;0.0143731;2.909E-05;0.0035
0.0051;0.00487532;0.0146194;3.054E-05;0.0036
0.0052;0.00487385;0.014859;3.201E-05;0.0037
0.0053;0.00487235;0.0150921;3.351E-05;0.0038
0.0054;0.00487083;0.0153189;3.503E-05;0.0039
0.0055;0.00486929;0.0155393;3.657E-05;0.004
0.0056;0.00486772;0.0157538;3.814E-05;0.0041
0.0057;0.00486613;0.0159624;0.00003973;0.0042
0.0058;0.00486453;0.0161652;0.00004133;0.0043
0.0059;0.0048629;0.0163622;4.296E-05;0.0044
0.006;0.00486126;0.0165538;4.46E-05;0.0045
0.0061;0.00485959;0.0167401;4.627E-05;0.0046
0.0062;0.00485791;0.016921;4.795E-05;0.0047
0.0063;0.00485621;0.017097;0.00004965;0.0048
0.0064;0.00485449;0.017268;5.137E-05;0.0049
0.0065;0.00485275;0.0174341;5.311E-05;0.005
0.0066;0.004851;0.0175956;5.486E-05;0.0051
0.0067;0.00484923;0.0177524;5.663E-05;0.0052
0.0068;0.00484745;0.0179047;5.841E-05;0.0053
0.0069;0.00484565;0.0180528;6.021E-05;0.0054
0.007;0.00484384;0.0181966;6.202E-05;0.0055
0.0071;0.00484201;0.0183364;6.385E-05;0.0056
0.0072;0.00484017;0.018472;6.569E-05;0.0057
0.0073;0.00483832;0.0186038;6.754E-05;0.0058
0.0074;0.00483645;0.0187318;6.941E-05;0.0059
0.0075;0.00483457;0.018856;7.129E-05;0.006
0.0076;0.00483268;0.0189767;7.318E-05;0.0061
0.0077;0.00483078;0.0190939;7.508E-05;0.0062
0.0078;0.00482886;0.0192077;7.7E-05;0.0063
0.0079;0.00482694;0.0193182;7.892E-05;0.0064
0.008;0.004825;0.0194255;8.086E-05;0.0065
0.0081;0.00482305;0.0195296;0.00008281;0.0066
0.0082;0.00482109;0.0196307;8.477E-05;0.0067
0.0083;0.00481913;0.0197289;8.673E-05;0.0068
0.0084;0.00481715;0.0198241;8.871E-05;0.0069
0.0085;0.00481516;0.0199166;0.0000907;0.007
0.0086;0.00481316;0.0200064;9.27E-05;0.0071
0.0087;0.00481116;0.0200936;9.47E-05;0.0072
0.0088;0.00480915;0.0201781;9.671E-05;0.0073
0.0089;0.00480712;0.0202602;9.874E-05;0.0074
0.009;0.00480509;0.0203399;0.00010077;0.0075
0.0091;0.00480306;0.0204172;0.0001028;0.0076
0.0092;0.00480101;0.0204923;0.00010485;0.0077
0.0093;0.00479896;0.0205651;0.0001069;0.0078
0.0094;0.0047969;0.0206357;0.00010896;0.0079
0.0095;0.00479483;0.0207043;0.00011103;0.008
0.0096;0.00479276;0.0207709;0.0001131;0.0081
0.0097;0.00479068;0.0208354;0.00011518;0.0082
0.0098;0.00478859;0.0208981;0.00011727;0.0083
0.0099;0.0047865;0.0209589;0.00011936;0.0084
0.01;0.0047844;0.0210179;0.00012146;0.0085
0.0101;0.00478229;0.0210751;0.00012357;0.0086
0.0102;0.00478018;0.0211306;0.00012568;0.0087
0.0103;0.00477807;0.0211845;0.00012779;0.0088
0.0104;0.00477595;0.0212367;0.00012991;0.0089
0.0105;0.00477382;0.0212874;0.00013204;0.009
0.0106;0.00477169;0.0213366;0.00013417;0.0091
0.0107;0.00476955;0.0213843;0.00013631;0.0092
0.0108;0.00476741;0.0214306;0.00013845;0.0093
0.0109;0.00476527;0.0214755;0.00014059;0.0094
0.011;0.00476312;0.021519;0.00014274;0.0095
0.0111;0.00476096;0.0215613;0.0001449;0.0096
0.0112;0.0047588;0.0216023;0.00014706;0.0097
0.0113;0.00475664;0.0216421;0.00014922;0.0098
0.0114;0.00475448;0.0216806;0.00015138;0.0099
0.0115;0.00475231;0.021718;0.00015355;0.01
0.0116;0.00475013;0.0217543;0.00015573;0.0101
0.0117;0.00474796;0.0217895;0.0001579;0.0102
0.0118;0.00474578;0.0218236;0.00016008;0.0103
0.0119;0.00474359;0.0218567;0.00016227;0.0104
0.012;0.0047414;0.0218888;0.00016446;0.0105
0.0121;0.00473921;0.02192;0.00016665;0.0106
0.0122;0.00473702;0.0219502;0.00016884;0.0107
0.0123;0.00473482;0.0219795;0.00017104;0.0108
0.0124;0.00473262;0.0220079;0.00017324;0.0109
0.0125;0.00473042;0.0220355;0.00017544;0.011
0.0126;0.00472822;0.0220622;0.00017764;0.0111
0.0127;0.00472601;0.0220881;0.00017985;0.0112
