x,gidaspow-1-way
-5.41E-05,-0.002746
0.71912,0.502517
1.43256,0.716705
2.16726,0.810069
2.87724,0.848513
3.63406,0.864989
4.34344,0.873227
5.05277,0.878719
5.78563,0.878719
6.5186,0.884211
7.22788,0.886957
7.96074,0.886957
8.66996,0.886957
9.40282,0.886957
x,analytical
-5.41E-05,-0.002746
0.0724908,0.0796339
0.19302,0.197712
0.360939,0.321281
0.576032,0.439359
0.981547,0.623341
1.19588,0.702975
1.55211,0.785355
1.88438,0.851259
2.2398,0.892449
2.54767,0.919908
2.92647,0.947368
3.30504,0.963844
3.70715,0.974828
4.13284,0.983066
4.48756,0.988558
4.93679,0.991304
5.33879,0.996796
5.76432,0.996796
6.23719,0.999542
6.85184,0.999542
7.49019,1.00229
8.08116,0.999542
8.60131,1.00229
9.21591,0.999542
9.7597,1.00229
10.0197,0.999542
