date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time(s)
0.0199;0.00686619;0.000276181;0;0
0.02;0.00686617;0.000704618;2E-08;1E-04
0.0201;0.00686605;0.0016845;1.4E-07;0.0002
0.0202;0.00686584;0.00266493;3.5E-07;0.0003
0.0203;0.00686552;0.00364519;6.7E-07;0.0004
0.0204;0.00686511;0.00462452;1.08E-06;0.0005
0.0205;0.0068646;0.00560441;1.59E-06;0.0006
0.0206;0.00686399;0.00658411;2.2E-06;0.0007
0.0207;0.00686328;0.00756288;2.91E-06;0.0008
0.0208;0.00686247;0.00854221;3.72E-06;0.0009
0.0209;0.00686157;0.00952135;4.62E-06;0.001
0.021;0.00686057;0.0104996;5.62E-06;0.0011
0.0211;0.00685947;0.0114783;6.72E-06;0.0012
0.0212;0.00685827;0.0124569;7.92E-06;0.0013
0.0213;0.00685698;0.0134352;9.21E-06;0.0014
0.0214;0.00685559;0.0144127;1.06E-05;0.0015
0.0215;0.0068541;0.0153906;1.209E-05;0.0016
0.0216;0.00685251;0.0163684;1.368E-05;0.0017
0.0217;0.00685082;0.0173453;1.537E-05;0.0018
0.0218;0.00684904;0.0183227;1.715E-05;0.0019
0.0219;0.00684716;0.0192999;1.903E-05;0.002
0.022;0.00684518;0.0202761;2.101E-05;0.0021
0.0221;0.0068431;0.0212529;2.309E-05;0.0022
0.0222;0.00684093;0.0222295;0.00002526;0.0023
0.0223;0.00683866;0.0232051;2.753E-05;0.0024
0.0224;0.00683629;0.0241813;2.99E-05;0.0025
0.0225;0.00683382;0.0251573;3.237E-05;0.0026
0.0226;0.00683125;0.0261331;3.494E-05;0.0027
0.0227;0.00682859;0.0271079;3.76E-05;0.0028
0.0228;0.00682583;0.0280833;4.036E-05;0.0029
0.0229;0.00682298;0.0290585;4.321E-05;0.003
0.023;0.00682002;0.0300327;4.617E-05;0.0031
0.0231;0.00681697;0.0310075;0.00004922;0.0032
0.0232;0.00681382;0.031982;5.237E-05;0.0033
0.0233;0.00681057;0.0329556;5.562E-05;0.0034
0.0234;0.00680723;0.0339297;5.896E-05;0.0035
0.0235;0.00680379;0.0349037;6.24E-05;0.0036
0.0236;0.00680025;0.0358766;6.594E-05;0.0037
0.0237;0.00679661;0.0368501;6.958E-05;0.0038
0.0238;0.00679288;0.0378234;0.00007331;0.0039
0.0239;0.00678905;0.0387965;7.714E-05;0.004
0.024;0.00678512;0.0397686;8.107E-05;0.0041
0.0241;0.00678109;0.0407413;8.51E-05;0.0042
0.0242;0.00677697;0.0417137;8.922E-05;0.0043
0.0243;0.00677275;0.0426852;9.344E-05;0.0044
0.0244;0.00676843;0.0436572;9.776E-05;0.0045
0.0245;0.00676402;0.044629;0.00010217;0.0046
0.0246;0.00675951;0.0455999;0.00010668;0.0047
0.0247;0.0067549;0.0465712;0.00011129;0.0048
