Date [s],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0,-1.#IND,-1.#IND
0.0001,0.00490995,0.19897
0.0002,0.0049298,0.19794
0.0003,0.00494955,0.19691
0.0004,0.00496918,0.195881
0.0005,0.00498872,0.194851
0.0006,0.00500816,0.193822
0.0007,0.00502748,0.192794
0.0008,0.00504671,0.191765
0.0009,0.00506584,0.190737
0.001,0.00508485,0.18971
0.0011,0.00510378,0.188682
0.0012,0.0051226,0.187655
0.0013,0.0051413,0.186629
0.0014,0.00515992,0.185602
0.0015,0.00517843,0.184575
0.0016,0.00519684,0.183549
0.0017,0.00521514,0.182524
0.0018,0.00523334,0.181499
0.0019,0.00525145,0.180473
0.002,0.00526943,0.179449
0.0021,0.00528733,0.178425
0.0022,0.00530513,0.1774
0.0023,0.0053228,0.176377
0.0024,0.0053404,0.175353
0.0025,0.00535788,0.17433
0.0026,0.00537526,0.173307
0.0027,0.00539254,0.172284
0.0028,0.00540972,0.171262
0.0029,0.0054268,0.17024
0.003,0.00544376,0.169218
0.0031,0.00546064,0.168197
0.0032,0.00547741,0.167175
0.0033,0.00549407,0.166155
0.0034,0.00551064,0.165134
0.0035,0.0055271,0.164113
0.0036,0.00554346,0.163094
0.0037,0.00555972,0.162074
0.0038,0.00557588,0.161054
0.0039,0.00559192,0.160036
0.004,0.00560788,0.159016
0.0041,0.00562373,0.157998
0.0042,0.00563947,0.15698
0.0043,0.00565513,0.155962
0.0044,0.00567067,0.154944
0.0045,0.00568612,0.153926
0.0046,0.00570146,0.152909
0.0047,0.0057167,0.151892
0.0048,0.00573184,0.150875
0.0049,0.00574687,0.14986
0.005,0.00576181,0.148843
0.0051,0.00577665,0.147827
0.0052,0.00579137,0.146812
0.0053,0.005806,0.145797
0.0054,0.00582054,0.144782
0.0055,0.00583496,0.143768
0.0056,0.00584928,0.142753
0.0057,0.00586351,0.141739
0.0058,0.00587764,0.140725
0.0059,0.00589165,0.139712
0.006,0.00590558,0.138698
0.0061,0.0059194,0.137685
0.0062,0.00593311,0.136673
0.0063,0.00594673,0.13566
0.0064,0.00596025,0.134648
0.0065,0.00597366,0.133636
0.0066,0.00598697,0.132624
0.0067,0.00600019,0.131613
0.0068,0.00601329,0.130602
0.0069,0.0060263,0.129591
0.007,0.00603921,0.12858
0.0071,0.00605203,0.12757
0.0072,0.00606473,0.126561
0.0073,0.00607733,0.125551
0.0074,0.00608984,0.124541
0.0075,0.00610224,0.123532
0.0076,0.00611454,0.122523
0.0077,0.00612675,0.121514
0.0078,0.00613884,0.120506
0.0079,0.00615085,0.119498
0.008,0.00616275,0.11849
0.0081,0.00617454,0.117483
0.0082,0.00618624,0.116475
0.0083,0.00619784,0.115468
0.0084,0.00620933,0.114462
0.0085,0.00622073,0.113455
0.0086,0.00623203,0.112448
0.0087,0.00624322,0.111442
0.0088,0.00625431,0.110437
0.0089,0.00626531,0.109431
0.009,0.0062762,0.108426
0.0091,0.00628699,0.107421
0.0092,0.00629769,0.106416
0.0093,0.00630828,0.105412
0.0094,0.00631876,0.104408
0.0095,0.00632916,0.103404
0.0096,0.00633945,0.1024
0.0097,0.00634963,0.101397
0.0098,0.00635973,0.100393
0.0099,0.00636972,0.0993903
0.01,0.00637961,0.0983874
0.0101,0.00638939,0.0973855
0.0102,0.00639908,0.0963831
0.0103,0.00640867,0.095381
0.0104,0.00641816,0.0943798
0.0105,0.00642755,0.0933782
0.0106,0.00643684,0.0923768
0.0107,0.00644602,0.0913764
0.0108,0.00645511,0.0903755
0.0109,0.0064641,0.0893748
0.011,0.00647298,0.0883752
0.0111,0.00648177,0.087375
0.0112,0.00649046,0.0863751
0.0113,0.00649905,0.0853755
0.0114,0.00650753,0.0843768
0.0115,0.00651592,0.0833776
0.0116,0.00652421,0.0823787
0.0117,0.0065324,0.0813808
0.0118,0.00654049,0.0803823
0.0119,0.00654848,0.0793841
0.012,0.00655636,0.0783869
0.0121,0.00656415,0.0773892
0.0122,0.00657184,0.0763918
0.0123,0.00657943,0.0753953
0.0124,0.00658692,0.0743983
0.0125,0.00659431,0.0734015
0.0126,0.0066016,0.0724058
0.0127,0.00660879,0.0714095
0.0128,0.00661588,0.0704135
0.0129,0.00662288,0.0694177
0.013,0.00662976,0.0684228
0.0131,0.00663656,0.0674275
0.0132,0.00664325,0.0664324
0.0133,0.00664984,0.0654383
0.0134,0.00665634,0.0644437
0.0135,0.00666273,0.0634493
0.0136,0.00666903,0.0624559
0.0137,0.00667522,0.0614619
0.0138,0.00668132,0.0604682
0.0139,0.00668732,0.0594755
0.014,0.00669321,0.0584823
0.0141,0.00669901,0.0574893
0.0142,0.00670472,0.0564965
0.0143,0.00671031,0.0555047
0.0144,0.00671581,0.0545124
0.0145,0.00672122,0.0535203
0.0146,0.00672652,0.0525291
0.0147,0.00673172,0.0515375
0.0148,0.00673683,0.0505461
0.0149,0.00674183,0.0495556
0.015,0.00674674,0.0485646
0.0151,0.00675154,0.0475739
0.0152,0.00675625,0.0465841
0.0153,0.00676086,0.0455938
0.0154,0.00676537,0.0446037
0.0155,0.00676978,0.0436138
0.0156,0.00677409,0.0426249
0.0157,0.00677831,0.0416355
0.0158,0.00678242,0.0406463
0.0159,0.00678643,0.039658
0.016,0.00679035,0.0386692
0.0161,0.00679417,0.0376807
0.0162,0.00679789,0.0366931
0.0163,0.00680151,0.0357049
0.0164,0.00680503,0.034717
0.0165,0.00680845,0.03373
0.0166,0.00681177,0.0327425
0.0167,0.006815,0.0317552
0.0168,0.00681812,0.0307689
0.0169,0.00682115,0.029782
0.017,0.00682408,0.0287954
0.0171,0.00682691,0.0278089
0.0172,0.00682964,0.0268234
0.0173,0.00683228,0.0258374
0.0174,0.00683481,0.0248516
0.0175,0.00683725,0.0238667
0.0176,0.00683958,0.0228813
0.0177,0.00684182,0.0218961
0.0178,0.00684396,0.0209118
0.0179,0.006846,0.019927
0.018,0.00684795,0.0189424
0.0181,0.00684979,0.0179587
0.0182,0.00685154,0.0169745
0.0183,0.00685319,0.0159905
0.0184,0.00685474,0.0150067
0.0185,0.00685619,0.0140238
0.0186,0.00685754,0.0130404
0.0187,0.0068588,0.0120571
0.0188,0.00685995,0.0110748
0.0189,0.00686101,0.010092
0.019,0.00686197,0.00910935
0.0191,0.00686283,0.00812764
0.0192,0.0068636,0.00714537
0.0193,0.00686426,0.00616329
0.0194,0.00686483,0.00518214
0.0195,0.0068653,0.00420043
0.0196,0.00686567,0.00321891
0.0197,0.00686594,0.00223757
0.0198,0.00686612,0.00125716
0.0199,0.00686619,0.000276181
0.02,0.00686617,0.000704618
0.0201,0.00686605,0.0016845
0.0202,0.00686584,0.00266493
0.0203,0.00686552,0.00364519
0.0204,0.00686511,0.00462452
0.0205,0.0068646,0.00560441
0.0206,0.00686399,0.00658411
0.0207,0.00686328,0.00756288
0.0208,0.00686247,0.00854221
0.0209,0.00686157,0.00952135
0.021,0.00686057,0.0104996
0.0211,0.00685947,0.0114783
0.0212,0.00685827,0.0124569
0.0213,0.00685698,0.0134352
0.0214,0.00685559,0.0144127
0.0215,0.0068541,0.0153906
0.0216,0.00685251,0.0163684
0.0217,0.00685082,0.0173453
0.0218,0.00684904,0.0183227
0.0219,0.00684716,0.0192999
0.022,0.00684518,0.0202761
0.0221,0.0068431,0.0212529
0.0222,0.00684093,0.0222295
0.0223,0.00683866,0.0232051
