Date [s];Tmean1d( D/E ) [<unknown>]
0;363,15
0,01;362,999
0,02;362,952
0,03;362,902
0,04;362,863
0,05;362,83
0,06;362,808
0,07;362,787
0,08;362,766
0,09;362,75
0,1;362,735
0,11;362,718
0,12;362,696
0,13;362,68
0,14;362,655
0,15;362,63
0,16;362,599
0,17;362,573
0,18;362,539
0,19;362,507
0,2;362,469
0,21;362,376
0,22;362,271
0,23;362,17
0,24;362,062
0,25;361,935
0,26;361,821
0,27;361,696
0,28;361,573
0,29;361,484
0,3;361,374
0,31;361,263
0,32;361,15
0,33;361,054
0,34;360,961
0,35;360,848
0,36;360,756
0,37;360,672
0,38;360,602
0,39;360,51
0,4;360,433
0,41;360,341
0,42;360,269
0,43;360,213
0,44;360,101
0,45;360,057
0,46;360,094
0,47;360,039
0,48;359,975
0,49;359,941
0,5;359,945
0,51;359,879
0,52;359,844
0,53;359,768
0,54;359,703
0,55;359,641
0,56;359,586
0,57;359,555
0,58;359,49
0,59;359,44
0,6;359,416
0,61;359,325
0,62;359,312
0,63;359,29
0,64;359,245
0,65;359,246
0,66;359,177
0,67;359,105
0,68;359,031
0,69;358,95
0,7;358,896
0,71;358,823
0,72;358,809
0,73;358,792
0,74;358,733
0,75;358,701
0,76;358,685
0,77;358,65
0,78;358,556
0,79;358,52
0,8;358,497
0,81;358,424
0,82;358,401
0,83;358,335
0,84;358,316
0,85;358,308
0,86;358,253
0,87;358,233
0,88;358,191
0,89;358,197
0,9;358,158
0,91;358,052
0,92;357,996
0,93;357,969
0,94;357,894
0,95;357,806
0,96;357,722
0,97;357,712
0,98;357,744
0,99;357,731
1;357,679
1,01;357,685
1,02;357,671
1,03;357,676
1,04;357,699
1,05;357,648
1,06;357,631
1,07;357,614
1,08;357,6
1,09;357,515
1,1;357,421
1,11;357,4
1,12;357,392
1,13;357,337
1,14;357,416
1,15;357,469
1,16;357,456
1,17;357,442
1,18;357,401
1,19;357,436
1,2;357,417
1,21;357,382
1,22;357,352
1,23;357,277
1,24;357,176
1,25;357,128
1,26;357,129
1,27;357,075
1,28;357,021
1,29;356,986
1,3;356,969
1,31;356,985
1,32;357,057
1,33;357,018
1,34;357,02
1,35;357,129
