Date [s],TmeanG( D/E ) [<unknown>]
0,363.15
0.01,363.054
0.02,363.046
0.03,363.035
0.04,363.022
0.05,363.009
0.06,362.994
0.07,362.978
0.08,362.962
0.09,362.944
0.1,362.924
0.11,362.904
0.12,362.883
0.13,362.861
0.14,362.838
0.15,362.815
0.16,362.791
0.17,362.767
0.18,362.742
0.19,362.717
0.2,362.693
0.21,362.668
0.22,362.644
0.23,362.619
0.24,362.595
0.25,362.571
0.26,362.546
0.27,362.522
0.28,362.498
0.29,362.474
0.3,362.451
0.31,362.427
0.32,362.403
0.33,362.379
0.34,362.355
0.35,362.33
0.36,362.305
0.37,362.281
0.38,362.257
0.39,362.234
0.4,362.212
0.41,362.189
0.42,362.166
0.43,362.141
0.44,362.115
0.45,362.09
0.46,362.067
0.47,362.045
0.48,362.022
0.49,361.999
