Date [s],Tmean1d( D/E ) [<unknown>]
0,363.15
0.01,363.035
0.02,363.013
0.03,362.985
0.04,362.956
0.05,362.936
0.06,362.913
0.07,362.896
0.08,362.879
0.09,362.866
0.1,362.861
0.11,362.835
0.12,362.822
0.13,362.8
0.14,362.773
0.15,362.744
0.16,362.71
0.17,362.672
0.18,362.645
0.19,362.616
0.2,362.581
0.21,362.554
0.22,362.5
0.23,362.464
0.24,362.434
0.25,362.407
0.26,362.347
0.27,362.286
0.28,362.253
0.29,362.208
0.3,362.151
0.31,362.115
0.32,362.06
0.33,362.017
0.34,361.999
0.35,361.938
0.36,361.898
0.37,361.865
0.38,361.829
0.39,361.778
0.4,361.717
0.41,361.649
0.42,361.588
0.43,361.526
0.44,361.404
0.45,361.297
0.46,361.177
0.47,361.04
0.48,360.957
0.49,360.89
0.5,360.813
0.51,360.688
0.52,360.57
0.53,360.462
0.54,360.402
0.55,360.31
0.56,360.299
0.57,360.239
0.58,360.232
0.59,360.23
0.6,360.192
0.61,360.196
0.62,360.213
0.63,360.162
0.64,360.139
0.65,360.101
0.66,360.086
0.67,360.086
0.68,360.075
0.69,360.098
0.7,360.106
0.71,360.094
0.72,360.046
0.73,360.033
0.74,360.004
0.75,360.034
0.76,360.027
0.77,360.043
0.78,360.017
0.79,360.005
0.8,359.998
0.81,360.011
0.82,360.022
0.83,360.015
0.84,360.026
0.85,360.029
0.86,360.034
0.87,360.031
0.88,360.035
0.89,360.036
0.9,360.044
0.91,360.062
0.92,360.013
0.93,360.009
0.94,359.993
0.95,359.962
0.96,359.998
0.97,360.003
0.98,360.022
0.99,360.036
1,360.039
1.01,360.021
1.02,359.988
1.03,359.951
1.04,359.948
1.05,359.957
1.06,360.003
1.07,360.062
1.08,360.055
1.09,360.072
1.1,360.085
1.11,360.06
1.12,359.988
1.13,359.98
1.14,359.94
1.15,359.943
1.16,359.928
1.17,359.893
1.18,359.907
1.19,359.907
1.2,359.922
1.21,359.855
1.22,359.813
1.23,359.758
1.24,359.679
1.25,359.623
1.26,359.59
1.27,359.54
1.28,359.533
1.29,359.514
1.3,359.485
1.31,359.47
1.32,359.444
1.33,359.412
1.34,359.367
1.35,359.306
1.36,359.283
1.37,359.28
1.38,359.254
1.39,359.272
1.4,359.243
1.41,359.214
1.42,359.207
1.43,359.182
1.44,359.132
1.45,359.112
1.46,359.054
1.47,359.028
1.48,358.996
1.49,358.978
1.5,358.944
1.51,358.922
1.52,358.895
1.53,358.858
1.54,358.808
1.55,358.797
1.56,358.772
1.57,358.745
1.58,358.722
1.59,358.683
1.6,358.663
1.61,358.629
1.62,358.587
1.63,358.605
1.64,358.574
1.65,358.55
1.66,358.535
1.67,358.54
1.68,358.493
1.69,358.485
1.7,358.439
1.71,358.386
1.72,358.357
1.73,358.356
1.74,358.324
1.75,358.316
1.76,358.296
1.77,358.296
1.78,358.275
1.79,358.221
1.8,358.228
1.81,358.196
1.82,358.159
1.83,358.133
1.84,358.114
1.85,358.103
1.86,358.075
1.87,358.079
1.88,358.096
1.89,358.107
1.9,358.095
1.91,358.061
1.92,358.011
1.93,357.935
1.94,357.945
1.95,357.945
1.96,357.936
1.97,357.927
1.98,357.888
1.99,357.887
2,357.879
2.01,357.859
2.02,357.862
2.03,357.86
2.04,357.802
2.05,357.773
2.06,357.767
2.07,357.735
2.08,357.698
2.09,357.677
2.1,357.627
2.11,357.618
2.12,357.618
2.13,357.613
2.14,357.612
2.15,357.603
2.16,357.573
