Date [s],Tmean2d( B/C ) [<unknown>]
0,363.15
0.01,363.038
0.02,363.021
0.03,363.002
0.04,362.981
0.05,362.959
0.06,362.938
0.07,362.916
0.08,362.897
0.09,362.877
0.1,362.864
0.11,362.844
0.12,362.827
0.13,362.803
0.14,362.78
0.15,362.759
0.16,362.725
0.17,362.695
0.18,362.673
0.19,362.64
0.2,362.608
0.21,362.58
0.22,362.541
0.23,362.503
0.24,362.459
0.25,362.431
0.26,362.388
0.27,362.349
0.28,362.31
0.29,362.273
0.3,362.232
0.31,362.19
0.32,362.15
0.33,362.112
0.34,362.077
0.35,362.049
0.36,362.003
0.37,361.981
0.38,361.951
0.39,361.918
0.4,361.865
0.41,361.806
0.42,361.749
0.43,361.683
0.44,361.592
0.45,361.509
0.46,361.42
0.47,361.332
0.48,361.265
0.49,361.2
0.5,361.117
0.51,361.049
0.52,360.964
0.53,360.929
0.54,360.864
0.55,360.812
0.56,360.778
0.57,360.761
0.58,360.747
0.59,360.733
0.6,360.715
0.61,360.704
0.62,360.685
0.63,360.663
0.64,360.646
0.65,360.619
0.66,360.587
0.67,360.557
0.68,360.55
0.69,360.531
0.7,360.531
0.71,360.525
0.72,360.485
0.73,360.465
0.74,360.456
0.75,360.426
0.76,360.411
0.77,360.396
0.78,360.377
0.79,360.361
0.8,360.341
0.81,360.323
0.82,360.311
0.83,360.316
0.84,360.346
0.85,360.345
0.86,360.335
0.87,360.334
0.88,360.325
0.89,360.32
0.9,360.31
0.91,360.299
0.92,360.27
0.93,360.244
0.94,360.234
0.95,360.222
0.96,360.235
0.97,360.225
0.98,360.212
0.99,360.21
1,360.192
1.01,360.192
1.02,360.17
1.03,360.148
1.04,360.132
1.05,360.152
1.06,360.157
1.07,360.183
1.08,360.211
1.09,360.239
1.1,360.23
1.11,360.198
1.12,360.15
1.13,360.116
1.14,360.092
1.15,360.103
1.16,360.118
1.17,360.086
1.18,360.076
1.19,360.06
1.2,360.052
1.21,360.02
1.22,359.963
1.23,359.929
1.24,359.884
1.25,359.856
1.26,359.831
1.27,359.814
1.28,359.786
1.29,359.768
1.3,359.744
1.31,359.718
1.32,359.688
1.33,359.658
1.34,359.607
1.35,359.578
1.36,359.537
1.37,359.531
1.38,359.523
1.39,359.519
1.4,359.501
1.41,359.488
1.42,359.48
1.43,359.433
1.44,359.402
1.45,359.348
1.46,359.322
1.47,359.294
1.48,359.252
1.49,359.213
1.5,359.174
1.51,359.136
1.52,359.106
1.53,359.065
1.54,359.048
1.55,359.029
1.56,359.008
1.57,358.994
1.58,358.971
1.59,358.952
1.6,358.913
1.61,358.87
1.62,358.828
1.63,358.807
1.64,358.784
1.65,358.772
1.66,358.742
1.67,358.734
1.68,358.704
1.69,358.703
1.7,358.664
1.71,358.627
1.72,358.592
1.73,358.583
1.74,358.559
1.75,358.523
1.76,358.504
1.77,358.484
1.78,358.476
1.79,358.463
1.8,358.461
1.81,358.44
1.82,358.424
1.83,358.397
1.84,358.386
1.85,358.357
1.86,358.341
1.87,358.322
1.88,358.303
1.89,358.299
1.9,358.283
1.91,358.243
1.92,358.212
1.93,358.167
1.94,358.154
1.95,358.153
1.96,358.136
1.97,358.114
1.98,358.104
1.99,358.099
2,358.084
2.01,358.064
2.02,358.045
2.03,358.025
2.04,357.987
2.05,357.956
2.06,357.932
2.07,357.913
2.08,357.905
2.09,357.887
2.1,357.854
2.11,357.831
2.12,357.827
2.13,357.812
2.14,357.802
2.15,357.783
2.16,357.772
2.17,357.767
2.18,357.764
2.19,357.74
2.2,357.713
2.21,357.702
2.22,357.692
2.23,357.691
2.24,357.707
2.25,357.724
2.26,357.73
2.27,357.722
2.28,357.709
2.29,357.68
2.3,357.671
2.31,357.677
2.32,357.67
2.33,357.654
2.34,357.63
2.35,357.625
2.36,357.606
2.37,357.584
2.38,357.562
2.39,357.518
2.4,357.491
2.41,357.47
2.42,357.444
2.43,357.412
2.44,357.387
2.45,357.353
2.46,357.322
