Date [s],Tmean2d( B/C ) [<unknown>]
0,363.15
0.01,363.019
0.02,362.986
0.03,362.953
0.04,362.921
0.05,362.891
0.06,362.867
0.07,362.847
0.08,362.83
0.09,362.819
0.1,362.804
0.11,362.791
0.12,362.776
0.13,362.753
0.14,362.73
0.15,362.708
0.16,362.688
0.17,362.662
0.18,362.629
0.19,362.604
0.2,362.575
0.21,362.489
0.22,362.391
0.23,362.302
0.24,362.21
0.25,362.108
0.26,362.011
0.27,361.915
0.28,361.827
0.29,361.73
0.3,361.641
0.31,361.553
0.32,361.456
0.33,361.379
0.34,361.307
0.35,361.228
0.36,361.139
0.37,361.068
0.38,361.002
0.39,360.927
0.4,360.856
0.41,360.788
0.42,360.724
0.43,360.658
0.44,360.59
0.45,360.53
0.46,360.59
0.47,360.556
0.48,360.502
0.49,360.486
0.5,360.453
0.51,360.429
0.52,360.384
0.53,360.321
0.54,360.259
0.55,360.2
0.56,360.155
0.57,360.121
0.58,360.054
0.59,360.008
0.6,359.974
0.61,359.925
0.62,359.889
0.63,359.876
0.64,359.838
0.65,359.795
0.66,359.743
0.67,359.693
0.68,359.633
0.69,359.549
0.7,359.501
0.71,359.454
0.72,359.426
0.73,359.403
0.74,359.376
0.75,359.32
0.76,359.275
0.77,359.232
0.78,359.16
0.79,359.111
0.8,359.081
0.81,359.054
0.82,358.993
0.83,358.942
0.84,358.918
0.85,358.915
0.86,358.912
0.87,358.895
0.88,358.867
0.89,358.841
0.9,358.788
0.91,358.701
0.92,358.658
0.93,358.613
0.94,358.544
0.95,358.478
0.96,358.448
0.97,358.416
0.98,358.398
0.99,358.407
1,358.397
1.01,358.375
1.02,358.342
1.03,358.337
1.04,358.347
1.05,358.311
1.06,358.263
1.07,358.238
1.08,358.222
1.09,358.19
1.1,358.154
1.11,358.141
1.12,358.138
1.13,358.105
1.14,358.12
1.15,358.129
1.16,358.117
1.17,358.087
1.18,358.068
1.19,358.019
1.2,357.979
1.21,357.949
1.22,357.908
1.23,357.871
1.24,357.812
1.25,357.778
1.26,357.738
1.27,357.706
1.28,357.704
1.29,357.675
1.3,357.649
1.31,357.656
1.32,357.676
1.33,357.642
1.34,357.675
1.35,357.692
1.36,357.683
1.37,357.657
1.38,357.635
1.39,357.589
1.4,357.554
1.41,357.489
1.42,357.444
1.43,357.433
1.44,357.368
1.45,357.348
1.46,357.289
1.47,357.245
1.48,357.182
1.49,357.155
1.5,357.119
1.51,357.085
1.52,357.039
1.53,356.985
1.54,356.97
1.55,356.954
1.56,356.923
1.57,356.884
1.58,356.851
1.59,356.845
1.6,356.864
1.61,356.846
1.62,356.818
1.63,356.782
1.64,356.769
1.65,356.765
1.66,356.783
1.67,356.765
1.68,356.765
1.69,356.752
1.7,356.76
1.71,356.759
1.72,356.743
1.73,356.737
1.74,356.737
1.75,356.71
1.76,356.682
1.77,356.624
1.78,356.593
1.79,356.56
1.8,356.493
1.81,356.456
1.82,356.42
1.83,356.35
1.84,356.31
1.85,356.232
1.86,356.133
1.87,356.031
1.88,355.941
1.89,355.882
1.9,355.851
1.91,355.828
1.92,355.825
1.93,355.819
1.94,355.807
1.95,355.786
1.96,355.763
1.97,355.719
1.98,355.642
1.99,355.585
2,355.56
2.01,355.514
2.02,355.472
2.03,355.433
2.04,355.413
2.05,355.398
2.06,355.37
2.07,355.33
2.08,355.297
2.09,355.28
2.1,355.237
2.11,355.21
2.12,355.163
2.13,355.116
2.14,355.084
2.15,355.076
2.16,355.039
2.17,355.019
2.18,354.963
2.19,354.92
2.2,354.91
2.21,354.866
2.22,354.82
2.23,354.791
2.24,354.778
2.25,354.783
2.26,354.782
2.27,354.74
2.28,354.722
2.29,354.696
2.3,354.647
2.31,354.606
2.32,354.54
2.33,354.481
2.34,354.439
2.35,354.378
2.36,354.365
2.37,354.363
2.38,354.351
2.39,354.354
2.4,354.371
2.41,354.385
2.42,354.423
2.43,354.407
2.44,354.434
2.45,354.423
2.46,354.411
2.47,354.402
2.48,354.397
2.49,354.403
2.5,354.381
2.51,354.393
2.52,354.378
2.53,354.361
2.54,354.335
2.55,354.298
2.56,354.246
2.57,354.224
2.58,354.161
2.59,354.144
2.6,354.111
2.61,354.096
2.62,354.112
2.63,354.112
2.64,354.109
2.65,354.118
2.66,354.127
2.67,354.162
2.68,354.161
2.69,354.135
2.7,354.168
2.71,354.167
2.72,354.164
2.73,354.167
2.74,354.151
2.75,354.105
2.76,354.084
2.77,354.032
2.78,353.993
2.79,353.932
2.8,353.886
2.81,353.857
2.82,353.843
2.83,353.858
2.84,353.86
2.85,353.846
2.86,353.883
2.87,353.941
2.88,353.939
2.89,353.912
2.9,353.894
2.91,353.889
2.92,353.898
2.93,353.879
2.94,353.855
2.95,353.805
2.96,353.751
2.97,353.68
2.98,353.63
2.99,353.598
3,353.52
3.01,353.456
3.02,353.41
3.03,353.398
3.04,353.371
3.05,353.374
3.06,353.355
3.07,353.306
3.08,353.262
3.09,353.217
3.1,353.17
3.11,353.146
3.12,353.146
3.13,353.141
3.14,353.135
3.15,353.115
3.16,353.109
3.17,353.089
3.18,353.07
3.19,353.049
3.2,353.022
3.21,352.989
3.22,352.928
3.23,352.883
3.24,352.837
3.25,352.787
3.26,352.721
3.27,352.668
3.28,352.591
3.29,352.528
3.3,352.521
3.31,352.465
3.32,352.442
3.33,352.408
3.34,352.38
3.35,352.375
3.36,352.366
3.37,352.34
3.38,352.292
3.39,352.232
3.4,352.198
3.41,352.153
3.42,352.119
3.43,352.086
3.44,352.045
3.45,351.977
3.46,351.921
3.47,351.832
3.48,351.793
3.49,351.757
3.5,351.718
3.51,351.709
3.52,351.654
3.53,351.624
3.54,351.637
3.55,351.633
3.56,351.628
3.57,351.604
3.58,351.598
3.59,351.57
3.6,351.565
3.61,351.583
3.62,351.616
3.63,351.635
3.64,351.646
3.65,351.659
3.66,351.682
3.67,351.657
3.68,351.661
3.69,351.643
3.7,351.636
3.71,351.577
3.72,351.575
3.73,351.531
3.74,351.485
3.75,351.467
3.76,351.43
3.77,351.44
3.78,351.391
3.79,351.357
3.8,351.352
3.81,351.344
3.82,351.306
3.83,351.277
3.84,351.253
3.85,351.23
3.86,351.211
3.87,351.196
3.88,351.18
3.89,351.126
3.9,351.091
3.91,351.009
3.92,350.941
3.93,350.89
3.94,350.834
3.95,350.788
3.96,350.758
3.97,350.737
3.98,350.757
3.99,350.784
4,350.779
4.01,350.782
4.02,350.822
4.03,350.801
4.04,350.811
4.05,350.816
4.06,350.784
4.07,350.781
4.08,350.743
4.09,350.686
4.1,350.651
4.11,350.609
4.12,350.561
4.13,350.533
4.14,350.49
4.15,350.481
4.16,350.448
4.17,350.421
4.18,350.392
4.19,350.372
4.2,350.358
4.21,350.332
4.22,350.313
4.23,350.301
4.24,350.278
4.25,350.274
4.26,350.256
4.27,350.225
4.28,350.222
4.29,350.193
4.3,350.163
4.31,350.116
4.32,350.083
4.33,350.046
4.34,350.005
4.35,349.973
4.36,349.936
4.37,349.88
4.38,349.833
4.39,349.771
4.4,349.724
4.41,349.719
4.42,349.705
4.43,349.682
4.44,349.656
4.45,349.654
4.46,349.649
4.47,349.66
4.48,349.656
4.49,349.65
4.5,349.648
4.51,349.658
4.52,349.663
4.53,349.656
4.54,349.626
4.55,349.573
4.56,349.52
4.57,349.489
4.58,349.459
4.59,349.416
