Date [s],Average:Temperature (Study 01 - Particles) [K]
0,363.15
0.01,363.079
0.02,363.072
0.03,363.066
0.04,363.058
0.05,363.049
0.06,363.038
0.07,363.027
0.08,363.014
0.09,363.001
0.1,362.986
0.11,362.971
0.12,362.955
0.13,362.939
0.14,362.922
0.15,362.905
0.16,362.889
0.17,362.873
0.18,362.857
0.19,362.842
0.2,362.828
0.21,362.814
0.22,362.801
0.23,362.789
0.24,362.777
0.25,362.764
0.26,362.752
0.27,362.739
0.28,362.726
0.29,362.713
0.3,362.698
0.31,362.684
0.32,362.668
0.33,362.652
0.34,362.636
0.35,362.619
0.36,362.602
0.37,362.585
0.38,362.568
0.39,362.552
0.4,362.537
0.41,362.523
0.42,362.51
0.43,362.497
0.44,362.483
0.45,362.47
0.46,362.456
0.47,362.442
0.48,362.429
0.49,362.415
0.5,362.402
0.51,362.389
0.52,362.376
0.53,362.364
0.54,362.352
0.55,362.341
0.56,362.329
0.57,362.317
0.58,362.305
0.59,362.292
0.6,362.28
0.61,362.268
0.62,362.256
0.63,362.244
0.64,362.232
0.65,362.22
0.66,362.208
0.67,362.196
0.68,362.183
0.69,362.17
0.7,362.157
0.71,362.143
0.72,362.13
0.73,362.117
0.74,362.105
0.75,362.092
0.76,362.079
0.77,362.067
0.78,362.055
0.79,362.042
0.8,362.029
0.81,362.017
0.82,362.004
0.83,361.991
0.84,361.978
0.85,361.965
0.86,361.953
0.87,361.941
0.88,361.929
0.89,361.917
0.9,361.904
0.91,361.892
0.92,361.879
0.93,361.867
0.94,361.855
0.95,361.843
0.96,361.83
0.97,361.817
0.98,361.802
0.99,361.788
1,361.774
1.01,361.759
1.02,361.746
1.03,361.732
1.04,361.719
1.05,361.706
1.06,361.693
1.07,361.681
1.08,361.669
1.09,361.658
1.1,361.647
1.11,361.637
1.12,361.626
1.13,361.614
1.14,361.602
1.15,361.589
1.16,361.576
1.17,361.562
1.18,361.548
1.19,361.534
1.2,361.52
1.21,361.506
1.22,361.492
1.23,361.478
1.24,361.464
1.25,361.451
1.26,361.439
1.27,361.428
1.28,361.417
1.29,361.406
1.3,361.394
1.31,361.381
1.32,361.367
1.33,361.353
1.34,361.338
1.35,361.323
1.36,361.308
1.37,361.293
1.38,361.279
1.39,361.266
1.4,361.253
1.41,361.242
1.42,361.231
1.43,361.22
1.44,361.21
1.45,361.199
1.46,361.188
1.47,361.177
1.48,361.164
1.49,361.151
1.5,361.138
1.51,361.125
1.52,361.11
1.53,361.097
1.54,361.083
1.55,361.07
1.56,361.058
1.57,361.046
1.58,361.034
1.59,361.023
1.6,361.01
1.61,360.997
1.62,360.984
1.63,360.97
1.64,360.957
1.65,360.943
1.66,360.93
1.67,360.918
1.68,360.906
1.69,360.895
1.7,360.884
1.71,360.873
1.72,360.862
1.73,360.849
1.74,360.836
1.75,360.822
1.76,360.808
1.77,360.793
1.78,360.778
1.79,360.763
1.8,360.749
1.81,360.736
1.82,360.723
1.83,360.711
1.84,360.7
1.85,360.689
1.86,360.678
1.87,360.667
1.88,360.655
1.89,360.642
1.9,360.63
1.91,360.617
1.92,360.605
1.93,360.592
1.94,360.579
1.95,360.566
1.96,360.553
1.97,360.54
1.98,360.527
1.99,360.514
2,360.501
2.01,360.488
2.02,360.476
2.03,360.465
2.04,360.453
2.05,360.442
2.06,360.43
2.07,360.417
2.08,360.405
2.09,360.391
2.1,360.378
2.11,360.364
2.12,360.35
2.13,360.337
2.14,360.324
2.15,360.312
