Date [s],Tav( B / C ) [<unknown>]
0,363.15
0.01,363.065
0.02,363.047
0.03,363.026
0.04,363.005
0.05,362.984
0.06,362.969
0.07,362.955
0.08,362.943
0.09,362.933
0.1,362.923
0.11,362.914
0.12,362.904
0.13,362.894
0.14,362.88
0.15,362.869
0.16,362.858
0.17,362.846
0.18,362.832
0.19,362.816
0.2,362.798
0.21,362.783
0.22,362.765
0.23,362.743
0.24,362.718
0.25,362.687
0.26,362.66
0.27,362.632
0.28,362.588
0.29,362.535
0.3,362.489
0.31,362.444
0.32,362.399
0.33,362.357
0.34,362.309
0.35,362.267
0.36,362.225
0.37,362.188
0.38,362.141
0.39,362.092
0.4,362.053
0.41,362.007
0.42,361.963
0.43,361.917
0.44,361.858
0.45,361.821
0.46,361.768
0.47,361.751
0.48,361.724
0.49,361.709
0.5,361.686
0.51,361.667
0.52,361.645
0.53,361.632
0.54,361.61
0.55,361.582
0.56,361.561
0.57,361.532
0.58,361.5
0.59,361.477
0.6,361.458
0.61,361.45
0.62,361.43
0.63,361.412
0.64,361.388
0.65,361.377
0.66,361.359
0.67,361.344
0.68,361.318
0.69,361.293
0.7,361.269
0.71,361.254
0.72,361.241
0.73,361.222
0.74,361.194
0.75,361.172
0.76,361.142
0.77,361.111
0.78,361.082
0.79,361.049
0.8,361.008
0.81,360.997
0.82,360.967
0.83,360.951
0.84,360.931
0.85,360.915
0.86,360.899
0.87,360.866
0.88,360.843
0.89,360.833
0.9,360.807
0.91,360.809
0.92,360.793
0.93,360.799
0.94,360.802
0.95,360.816
0.96,360.801
0.97,360.792
0.98,360.776
0.99,360.75
1,360.742
1.01,360.736
1.02,360.736
1.03,360.739
1.04,360.717
1.05,360.704
1.06,360.699
1.07,360.703
1.08,360.706
1.09,360.708
1.1,360.703
1.11,360.691
1.12,360.676
1.13,360.657
1.14,360.629
1.15,360.586
1.16,360.559
1.17,360.527
1.18,360.511
1.19,360.494
1.2,360.485
1.21,360.465
1.22,360.458
1.23,360.448
1.24,360.419
1.25,360.419
1.26,360.41
1.27,360.423
1.28,360.389
1.29,360.38
1.3,360.347
1.31,360.297
1.32,360.26
1.33,360.215
1.34,360.171
1.35,360.117
1.36,360.04
1.37,360.005
1.38,359.98
1.39,359.969
1.4,359.939
1.41,359.931
1.42,359.921
1.43,359.907
1.44,359.899
1.45,359.892
1.46,359.888
1.47,359.88
1.48,359.879
1.49,359.879
1.5,359.858
1.51,359.849
1.52,359.838
1.53,359.831
1.54,359.822
1.55,359.815
1.56,359.793
1.57,359.77
1.58,359.749
1.59,359.725
1.6,359.703
1.61,359.676
1.62,359.66
1.63,359.657
1.64,359.648
1.65,359.626
1.66,359.615
1.67,359.602
1.68,359.588
1.69,359.595
1.7,359.606
1.71,359.612
1.72,359.605
1.73,359.586
1.74,359.559
1.75,359.538
