Date [s],Tav( B/C ) [<unknown>]
0,363.15
0.01,363.063
0.02,363.045
0.03,363.025
0.04,363.003
0.05,362.981
0.06,362.961
0.07,362.946
0.08,362.933
0.09,362.92
0.1,362.911
0.11,362.902
0.12,362.89
0.13,362.879
0.14,362.868
0.15,362.857
0.16,362.842
0.17,362.828
0.18,362.813
0.19,362.799
0.2,362.781
0.21,362.76
0.22,362.74
0.23,362.715
0.24,362.69
0.25,362.663
0.26,362.635
0.27,362.61
0.28,362.581
0.29,362.554
0.3,362.527
0.31,362.496
0.32,362.463
0.33,362.432
0.34,362.398
0.35,362.37
0.36,362.341
0.37,362.304
0.38,362.269
0.39,362.23
0.4,362.191
0.41,362.136
0.42,362.079
0.43,362.04
0.44,362.005
0.45,361.973
0.46,361.939
0.47,361.915
0.48,361.894
0.49,361.88
0.5,361.861
0.51,361.843
0.52,361.813
0.53,361.781
0.54,361.758
0.55,361.75
0.56,361.73
0.57,361.699
0.58,361.666
0.59,361.636
0.6,361.612
0.61,361.582
0.62,361.56
0.63,361.53
0.64,361.509
0.65,361.48
0.66,361.453
0.67,361.429
0.68,361.397
0.69,361.373
0.7,361.35
0.71,361.331
0.72,361.312
0.73,361.3
0.74,361.284
0.75,361.261
0.76,361.249
0.77,361.234
0.78,361.202
0.79,361.17
0.8,361.137
0.81,361.099
0.82,361.081
0.83,361.065
0.84,361.041
0.85,361.01
0.86,360.988
0.87,360.965
0.88,360.935
0.89,360.912
0.9,360.876
0.91,360.852
0.92,360.838
0.93,360.82
0.94,360.792
0.95,360.752
0.96,360.734
0.97,360.726
0.98,360.711
0.99,360.701
1,360.693
1.01,360.684
1.02,360.673
1.03,360.661
1.04,360.653
1.05,360.633
1.06,360.607
1.07,360.582
1.08,360.546
1.09,360.508
1.1,360.473
1.11,360.433
1.12,360.4
1.13,360.368
1.14,360.36
1.15,360.346
1.16,360.327
1.17,360.298
1.18,360.287
1.19,360.27
1.2,360.252
1.21,360.24
1.22,360.229
1.23,360.213
1.24,360.217
1.25,360.21
1.26,360.205
1.27,360.183
1.28,360.169
1.29,360.146
1.3,360.133
1.31,360.122
1.32,360.107
1.33,360.075
1.34,360.062
1.35,360.047
1.36,360.049
1.37,360.033
1.38,360.004
1.39,359.972
1.4,359.961
1.41,359.945
1.42,359.913
1.43,359.898
1.44,359.893
1.45,359.868
1.46,359.854
1.47,359.841
1.48,359.825
1.49,359.81
1.5,359.807
1.51,359.786
1.52,359.764
1.53,359.733
1.54,359.695
1.55,359.665
1.56,359.636
1.57,359.585
1.58,359.543
1.59,359.513
1.6,359.497
1.61,359.472
1.62,359.453
1.63,359.449
1.64,359.481
1.65,359.499
1.66,359.495
1.67,359.501
1.68,359.505
1.69,359.483
1.7,359.467
1.71,359.459
1.72,359.438
1.73,359.424
1.74,359.411
1.75,359.401
1.76,359.389
1.77,359.385
1.78,359.372
1.79,359.351
1.8,359.339
1.81,359.335
1.82,359.314
1.83,359.296
1.84,359.305
1.85,359.311
1.86,359.294
1.87,359.279
1.88,359.247
1.89,359.233
1.9,359.219
1.91,359.186
1.92,359.169
1.93,359.124
1.94,359.107
1.95,359.093
1.96,359.072
1.97,359.067
1.98,359.053
1.99,359.042
2,359.039
2.01,359.03
2.02,359.042
2.03,359.037
2.04,359.033
2.05,359.037
2.06,359.045
2.07,359.045
2.08,359.043
2.09,359.034
2.1,359.019
2.11,359.005
2.12,358.992
2.13,358.986
2.14,358.973
2.15,358.976
2.16,358.95
2.17,358.929
2.18,358.899
2.19,358.883
2.2,358.882
2.21,358.876
2.22,358.87
2.23,358.868
2.24,358.855
2.25,358.841
2.26,358.83
2.27,358.842
