Date [s],Tav_2d( C/D ) [<unknown>]
0,363.15
0.01,363.06
0.02,363.042
0.03,363.02
0.04,362.998
0.05,362.977
0.06,362.961
0.07,362.947
0.08,362.933
0.09,362.921
0.1,362.912
0.11,362.903
0.12,362.893
0.13,362.881
0.14,362.868
0.15,362.854
0.16,362.841
0.17,362.826
0.18,362.811
0.19,362.794
0.2,362.777
0.21,362.758
0.22,362.737
0.23,362.715
0.24,362.69
0.25,362.663
0.26,362.632
0.27,362.6
0.28,362.546
0.29,362.493
0.3,362.442
0.31,362.397
0.32,362.351
0.33,362.309
0.34,362.271
0.35,362.229
0.36,362.194
0.37,362.144
0.38,362.098
0.39,362.05
0.4,362.002
0.41,361.962
0.42,361.929
0.43,361.888
0.44,361.825
0.45,361.79
0.46,361.761
0.47,361.73
0.48,361.702
0.49,361.683
0.5,361.666
0.51,361.638
0.52,361.619
0.53,361.596
0.54,361.574
0.55,361.55
0.56,361.512
0.57,361.502
0.58,361.471
0.59,361.459
0.6,361.426
0.61,361.407
0.62,361.385
0.63,361.361
0.64,361.337
0.65,361.313
0.66,361.29
0.67,361.269
0.68,361.24
0.69,361.213
0.7,361.194
0.71,361.167
0.72,361.151
0.73,361.128
0.74,361.101
0.75,361.084
0.76,361.057
0.77,361.029
0.78,360.999
0.79,360.972
0.8,360.934
0.81,360.898
0.82,360.871
0.83,360.838
0.84,360.79
0.85,360.748
0.86,360.702
0.87,360.664
0.88,360.621
0.89,360.601
0.9,360.557
0.91,360.538
0.92,360.51
0.93,360.499
0.94,360.485
0.95,360.479
0.96,360.48
0.97,360.485
0.98,360.489
0.99,360.487
1,360.48
1.01,360.459
1.02,360.459
1.03,360.447
1.04,360.429
1.05,360.421
1.06,360.408
1.07,360.377
1.08,360.369
1.09,360.342
1.1,360.318
1.11,360.299
1.12,360.268
1.13,360.244
1.14,360.223
1.15,360.185
1.16,360.155
1.17,360.122
1.18,360.098
1.19,360.066
1.2,360.046
1.21,360.02
1.22,360.001
1.23,360.012
1.24,360.027
1.25,360.054
1.26,360.03
1.27,360.016
1.28,360.01
1.29,360.004
1.3,360.004
1.31,359.994
1.32,359.976
1.33,359.961
1.34,359.932
1.35,359.912
1.36,359.897
1.37,359.87
1.38,359.841
1.39,359.829
1.4,359.796
1.41,359.768
1.42,359.764
1.43,359.756
1.44,359.738
1.45,359.732
1.46,359.727
1.47,359.727
1.48,359.712
1.49,359.697
1.5,359.681
1.51,359.671
1.52,359.661
1.53,359.638
1.54,359.624
1.55,359.602
1.56,359.578
1.57,359.539
1.58,359.507
1.59,359.498
1.6,359.496
1.61,359.484
1.62,359.483
1.63,359.467
1.64,359.481
1.65,359.483
1.66,359.467
1.67,359.444
1.68,359.418
1.69,359.393
1.7,359.354
1.71,359.302
1.72,359.263
1.73,359.244
1.74,359.22
1.75,359.216
1.76,359.202
1.77,359.191
1.78,359.206
1.79,359.207
1.8,359.225
1.81,359.226
