Date [s],Tav_1d( D/E ) [<unknown>]
0,363.15
0.01,363.041
0.02,363.015
0.03,362.981
0.04,362.95
0.05,362.929
0.06,362.904
0.07,362.887
0.08,362.872
0.09,362.856
0.1,362.841
0.11,362.829
0.12,362.816
0.13,362.801
0.14,362.781
0.15,362.766
0.16,362.75
0.17,362.728
0.18,362.707
0.19,362.69
0.2,362.668
0.21,362.642
0.22,362.614
0.23,362.587
0.24,362.549
0.25,362.52
0.26,362.491
0.27,362.437
0.28,362.382
0.29,362.304
0.3,362.229
0.31,362.162
0.32,362.104
0.33,362.044
0.34,361.983
0.35,361.919
0.36,361.862
0.37,361.812
0.38,361.751
0.39,361.696
0.4,361.638
0.41,361.574
0.42,361.513
0.43,361.464
0.44,361.384
0.45,361.309
0.46,361.276
0.47,361.226
0.48,361.194
0.49,361.139
0.5,361.106
0.51,361.068
0.52,361.024
0.53,360.986
0.54,360.949
0.55,360.931
0.56,360.861
0.57,360.829
0.58,360.792
0.59,360.75
0.6,360.714
0.61,360.694
0.62,360.641
0.63,360.594
0.64,360.594
0.65,360.556
0.66,360.53
0.67,360.518
0.68,360.494
0.69,360.472
0.7,360.429
0.71,360.42
0.72,360.378
0.73,360.354
0.74,360.301
0.75,360.245
0.76,360.172
0.77,360.133
0.78,360.084
0.79,360.048
0.8,360.012
0.81,359.975
0.82,359.939
0.83,359.899
0.84,359.891
0.85,359.854
0.86,359.816
0.87,359.835
0.88,359.845
0.89,359.871
0.9,359.903
0.91,359.941
0.92,359.936
0.93,359.955
