Date [s],Tav_2d( B/C ) [<unknown>]
0,363.15
0.01,363.043
0.02,363.021
0.03,362.995
0.04,362.969
0.05,362.946
0.06,362.926
0.07,362.908
0.08,362.894
0.09,362.879
0.1,362.867
0.11,362.853
0.12,362.844
0.13,362.831
0.14,362.815
0.15,362.799
0.16,362.784
0.17,362.765
0.18,362.749
0.19,362.727
0.2,362.708
0.21,362.686
0.22,362.663
0.23,362.632
0.24,362.601
0.25,362.563
0.26,362.529
0.27,362.489
0.28,362.428
0.29,362.37
0.3,362.316
0.31,362.253
0.32,362.194
0.33,362.144
0.34,362.088
0.35,362.037
0.36,361.98
0.37,361.922
0.38,361.863
0.39,361.814
0.4,361.754
0.41,361.701
0.42,361.666
0.43,361.63
0.44,361.57
