Date [s],Average:Average of Temperature (Study 01 - Property <01>) [K]
0,363.15
0.01,363.064
0.02,363.023
0.03,362.966
0.04,362.903
0.05,362.851
0.06,362.808
0.07,362.774
0.08,362.762
0.09,362.755
0.1,362.756
0.11,362.754
0.12,362.76
0.13,362.764
0.14,362.774
0.15,362.778
0.16,362.788
0.17,362.799
0.18,362.808
0.19,362.816
0.2,362.822
0.21,362.823
0.22,362.823
0.23,362.823
0.24,362.816
0.25,362.811
0.26,362.801
0.27,362.783
0.28,362.762
0.29,362.74
0.3,362.716
0.31,362.69
0.32,362.667
0.33,362.641
0.34,362.614
0.35,362.584
0.36,362.558
0.37,362.535
0.38,362.507
0.39,362.472
0.4,362.45
0.41,362.435
0.42,362.406
0.43,362.394
0.44,362.387
0.45,362.384
0.46,362.386
0.47,362.395
0.48,362.384
0.49,362.377
0.5,362.353
0.51,362.329
0.52,362.314
0.53,362.276
0.54,362.241
0.55,362.211
0.56,362.168
0.57,362.129
0.58,362.091
0.59,362.003
0.6,361.869
0.61,361.802
0.62,361.762
0.63,361.732
0.64,361.711
0.65,361.698
0.66,361.678
0.67,361.684
0.68,361.681
0.69,361.679
0.7,361.654
0.71,361.629
0.72,361.591
0.73,361.521
0.74,361.496
0.75,361.473
0.76,361.47
0.77,361.462
0.78,361.432
0.79,361.407
0.8,361.408
0.81,361.365
0.82,361.366
0.83,361.344
0.84,361.332
0.85,361.31
0.86,361.263
0.87,361.193
0.88,361.15
0.89,361.079
0.9,361.01
0.91,360.932
0.92,360.896
0.93,360.827
0.94,360.807
0.95,360.767
0.96,360.797
0.97,360.818
0.98,360.821
0.99,360.784
1,360.776
1.01,360.771
1.02,360.758
1.03,360.745
1.04,360.708
1.05,360.728
1.06,360.733
1.07,360.716
1.08,360.732
1.09,360.709
1.1,360.706
1.11,360.722
1.12,360.744
1.13,360.698
1.14,360.659
1.15,360.6
1.16,360.553
1.17,360.54
1.18,360.453
1.19,360.399
1.2,360.434
1.21,360.363
1.22,360.285
1.23,360.2
1.24,360.141
1.25,360.06
1.26,360.015
1.27,360.046
1.28,360.075
1.29,360.088
1.3,360.128
1.31,360.143
1.32,360.186
1.33,360.202
1.34,360.221
1.35,360.23
1.36,360.235
1.37,360.226
1.38,360.182
1.39,360.151
1.4,360.136
