Date [s],Average:Average of Temperature (Study 01 - Property <01>) [K]
0,363.15
0.01,363.045
0.02,362.99
0.03,362.914
0.04,362.842
0.05,362.784
0.06,362.759
0.07,362.751
0.08,362.734
0.09,362.745
0.1,362.739
0.11,362.749
0.12,362.751
0.13,362.757
0.14,362.749
0.15,362.751
0.16,362.744
0.17,362.739
0.18,362.745
0.19,362.745
0.2,362.743
0.21,362.73
0.22,362.724
0.23,362.717
0.24,362.703
0.25,362.686
0.26,362.669
0.27,362.637
0.28,362.601
0.29,362.551
0.3,362.504
0.31,362.465
0.32,362.405
0.33,362.344
0.34,362.302
0.35,362.243
0.36,362.172
0.37,362.115
0.38,362.061
0.39,361.999
0.4,361.938
0.41,361.924
0.42,361.893
0.43,361.828
0.44,361.806
0.45,361.775
0.46,361.711
0.47,361.706
0.48,361.679
0.49,361.66
0.5,361.617
0.51,361.576
0.52,361.532
0.53,361.488
0.54,361.414
0.55,361.344
0.56,361.256
0.57,361.213
0.58,361.094
0.59,360.939
0.6,360.827
0.61,360.793
0.62,360.712
0.63,360.717
0.64,360.651
0.65,360.645
0.66,360.588
0.67,360.612
0.68,360.589
0.69,360.556
0.7,360.503
0.71,360.415
0.72,360.345
0.73,360.307
0.74,360.314
0.75,360.255
0.76,360.219
0.77,360.099
0.78,360.098
0.79,360.127
0.8,360.117
0.81,360.037
0.82,360.022
0.83,359.982
0.84,359.966
0.85,359.92
0.86,359.769
0.87,359.714
0.88,359.679
0.89,359.594
0.9,359.519
0.91,359.547
0.92,359.528
0.93,359.437
0.94,359.452
0.95,359.449
0.96,359.382
0.97,359.344
0.98,359.286
0.99,359.239
1,359.14
1.01,359.08
1.02,359.052
1.03,359.102
1.04,359.198
1.05,359.088
1.06,359.081
1.07,359.136
1.08,359.131
1.09,359.22
1.1,359.316
1.11,359.338
1.12,359.406
1.13,359.417
1.14,359.341
1.15,359.313
1.16,359.098
1.17,358.965
1.18,358.867
1.19,358.794
1.2,358.786
1.21,358.746
1.22,358.723
1.23,358.667
1.24,358.596
1.25,358.416
1.26,358.438
1.27,358.444
1.28,358.46
1.29,358.492
1.3,358.536
1.31,358.689
1.32,358.681
1.33,358.766
1.34,358.751
1.35,358.754
1.36,358.79
1.37,358.761
1.38,358.695
1.39,358.607
1.4,358.549
1.41,358.486
1.42,358.435
1.43,358.38
1.44,358.265
1.45,358.29
1.46,358.37
1.47,358.371
1.48,358.481
1.49,358.487
1.5,358.594
1.51,358.633
1.52,358.677
1.53,358.628
1.54,358.553
1.55,358.382
1.56,358.267
1.57,358.068
1.58,357.934
1.59,357.854
1.6,357.7
1.61,357.687
1.62,357.783
1.63,357.75
1.64,357.795
1.65,357.849
1.66,357.838
1.67,357.887
1.68,357.954
1.69,358.038
1.7,358.126
1.71,358.125
1.72,358.056
1.73,358.043
1.74,358.044
1.75,358.151
1.76,358.128
1.77,358.177
1.78,358.223
1.79,358.22
1.8,358.371
1.81,358.407
1.82,358.384
1.83,358.489
1.84,358.426
1.85,358.421
1.86,358.338
1.87,358.291
1.88,358.299
1.89,358.261
1.9,358.311
1.91,358.352
1.92,358.48
1.93,358.47
1.94,358.44
1.95,358.426
1.96,358.441
1.97,358.492
1.98,358.464
1.99,358.358
2,358.217
2.01,358.158
2.02,358.037
2.03,357.905
2.04,357.816
2.05,357.876
2.06,358.026
2.07,357.962
2.08,358.054
2.09,358.078
2.1,358.07
2.11,358.013
2.12,357.936
2.13,357.89
2.14,357.753
2.15,357.523
2.16,357.479
2.17,357.417
2.18,357.488
2.19,357.506
2.2,357.717
2.21,357.708
2.22,357.798
2.23,357.884
2.24,357.991
2.25,358.012
2.26,357.99
2.27,357.99
2.28,357.946
2.29,357.829
2.3,357.726
2.31,357.693
2.32,357.636
2.33,357.55
2.34,357.546
2.35,357.566
2.36,357.444
2.37,357.377
2.38,357.448
2.39,357.389
2.4,357.317
2.41,357.338
2.42,357.303
2.43,357.301
2.44,357.247
2.45,357.23
2.46,357.209
2.47,357.185
2.48,357.16
2.49,357.248
2.5,357.278
2.51,357.225
2.52,357.328
2.53,357.289
2.54,357.187
2.55,357.25
2.56,357.216
2.57,357.191
2.58,357.149
2.59,357.212
2.6,357.155
2.61,357.198
2.62,357.059
2.63,357.073
2.64,357.045
2.65,357.056
2.66,357.018
2.67,356.96
2.68,356.947
2.69,356.92
2.7,356.868
2.71,356.909
2.72,356.998
2.73,357.065
2.74,357.205
