Date [s],Tav_15d( F/G ) [<unknown>]
0,363.15
0.01,363.055
0.02,363.047
0.03,363.036
0.04,363.024
0.05,363.01
0.06,362.996
0.07,362.98
0.08,362.963
0.09,362.944
0.1,362.925
0.11,362.904
0.12,362.882
0.13,362.859
0.14,362.834
0.15,362.809
0.16,362.783
0.17,362.756
0.18,362.728
0.19,362.697
0.2,362.54
0.21,362.337
0.22,362.202
0.23,362.094
0.24,362.004
0.25,361.926
0.26,361.857
0.27,361.798
0.28,361.744
0.29,361.697
0.3,361.654
0.31,361.618
0.32,361.583
0.33,361.552
0.34,361.523
0.35,361.493
0.36,361.465
0.37,361.438
0.38,361.412
0.39,361.387
0.4,361.364
0.41,361.345
0.42,361.326
0.43,361.306
0.44,361.286
0.45,361.274
0.46,361.291
0.47,361.365
0.48,361.451
0.49,361.415
0.5,361.378
0.51,361.342
0.52,361.307
0.53,361.274
0.54,361.241
0.55,361.209
0.56,361.176
0.57,361.143
0.58,361.112
0.59,361.081
0.6,361.051
0.61,361.023
0.62,360.996
0.63,360.971
0.64,360.948
0.65,360.925
0.66,360.9
0.67,360.874
0.68,360.846
0.69,360.816
0.7,360.785
0.71,360.754
0.72,360.722
0.73,360.691
0.74,360.661
0.75,360.631
0.76,360.602
0.77,360.573
0.78,360.544
0.79,360.514
0.8,360.484
0.81,360.453
0.82,360.421
0.83,360.39
0.84,360.36
0.85,360.331
0.86,360.304
0.87,360.277
0.88,360.249
0.89,360.22
0.9,360.191
0.91,360.161
0.92,360.131
0.93,360.101
0.94,360.07
0.95,360.039
0.96,360.007
0.97,359.976
0.98,359.945
0.99,359.915
1,359.886
1.01,359.859
1.02,359.835
1.03,359.811
1.04,359.785
1.05,359.757
1.06,359.728
1.07,359.697
1.08,359.667
1.09,359.637
1.1,359.607
1.11,359.577
1.12,359.547
1.13,359.517
1.14,359.487
1.15,359.457
1.16,359.428
1.17,359.402
1.18,359.377
1.19,359.354
1.2,359.331
1.21,359.307
1.22,359.282
1.23,359.257
1.24,359.229
1.25,359.201
1.26,359.171
1.27,359.14
1.28,359.109
1.29,359.078
1.3,359.048
1.31,359.02
1.32,358.994
1.33,358.97
1.34,358.946
1.35,358.921
1.36,358.895
1.37,358.867
1.38,358.838
1.39,358.808
1.4,358.778
1.41,358.747
1.42,358.717
1.43,358.689
1.44,358.662
1.45,358.636
1.46,358.61
1.47,358.584
1.48,358.558
1.49,358.532
1.5,358.505
1.51,358.478
1.52,358.449
1.53,358.421
1.54,358.393
1.55,358.368
1.56,358.345
1.57,358.322
1.58,358.297
1.59,358.271
1.6,358.243
1.61,358.214
1.62,358.184
1.63,358.155
1.64,358.127
1.65,358.099
1.66,358.074
1.67,358.05
1.68,358.025
1.69,358
1.7,357.974
1.71,357.947
1.72,357.92
1.73,357.894
1.74,357.867
1.75,357.84
1.76,357.814
1.77,357.786
1.78,357.758
1.79,357.729
1.8,357.7
1.81,357.67
1.82,357.641
1.83,357.613
1.84,357.586
1.85,357.559
1.86,357.533
1.87,357.507
1.88,357.482
1.89,357.457
1.9,357.432
1.91,357.407
1.92,357.381
1.93,357.354
1.94,357.326
1.95,357.297
1.96,357.268
1.97,357.239
1.98,357.211
1.99,357.184
2,357.157
2.01,357.132
2.02,357.106
2.03,357.08
2.04,357.054
2.05,357.027
2.06,357.001
2.07,356.974
2.08,356.946
2.09,356.919
2.1,356.892
2.11,356.866
2.12,356.84
2.13,356.814
2.14,356.788
2.15,356.76
2.16,356.733
2.17,356.704
2.18,356.676
2.19,356.649
2.2,356.622
2.21,356.596
2.22,356.571
2.23,356.545
2.24,356.521
2.25,356.496
2.26,356.472
2.27,356.446
2.28,356.419
2.29,356.391
2.3,356.362
2.31,356.334
2.32,356.307
2.33,356.281
2.34,356.255
2.35,356.228
2.36,356.201
2.37,356.173
2.38,356.144
2.39,356.115
2.4,356.087
2.41,356.058
2.42,356.028
2.43,355.999
2.44,355.969
2.45,355.939
2.46,355.911
2.47,355.885
2.48,355.861
2.49,355.839
2.5,355.818
2.51,355.796
2.52,355.773
2.53,355.747
2.54,355.72
2.55,355.692
2.56,355.666
2.57,355.639
2.58,355.612
2.59,355.585
2.6,355.556
2.61,355.528
2.62,355.499
2.63,355.47
2.64,355.443
2.65,355.416
2.66,355.39
2.67,355.364
2.68,355.339
2.69,355.315
2.7,355.291
2.71,355.267
2.72,355.244
2.73,355.22
2.74,355.195
2.75,355.169
2.76,355.142
2.77,355.114
2.78,355.086
2.79,355.059
2.8,355.032
2.81,355.006
2.82,354.979
2.83,354.953
2.84,354.927
2.85,354.901
2.86,354.876
2.87,354.852
2.88,354.828
2.89,354.803
2.9,354.777
2.91,354.751
2.92,354.725
2.93,354.699
2.94,354.673
2.95,354.648
2.96,354.622
2.97,354.596
2.98,354.57
2.99,354.543
3,354.515
3.01,354.488
3.02,354.46
3.03,354.434
3.04,354.408
3.05,354.383
3.06,354.359
3.07,354.335
3.08,354.311
3.09,354.287
3.1,354.262
3.11,354.237
3.12,354.21
3.13,354.184
3.14,354.157
3.15,354.129
3.16,354.102
3.17,354.075
3.18,354.048
3.19,354.022
3.2,353.996
3.21,353.971
3.22,353.947
3.23,353.923
3.24,353.899
3.25,353.875
3.26,353.849
3.27,353.823
3.28,353.796
3.29,353.769
3.3,353.741
3.31,353.713
3.32,353.686
3.33,353.659
3.34,353.633
3.35,353.608
3.36,353.583
3.37,353.558
3.38,353.534
3.39,353.508
3.4,353.483
3.41,353.459
3.42,353.434
3.43,353.409
3.44,353.383
3.45,353.355
3.46,353.327
3.47,353.297
3.48,353.268
3.49,353.239
3.5,353.211
3.51,353.184
3.52,353.158
3.53,353.132
3.54,353.106
3.55,353.081
3.56,353.056
3.57,353.031
3.58,353.005
3.59,352.981
3.6,352.957
3.61,352.935
3.62,352.914
3.63,352.892
3.64,352.869
3.65,352.845
3.66,352.82
3.67,352.794
3.68,352.768
3.69,352.74
3.7,352.712
3.71,352.682
3.72,352.653
3.73,352.624
3.74,352.596
3.75,352.571
3.76,352.547
3.77,352.523
3.78,352.5
3.79,352.477
3.8,352.452
3.81,352.427
3.82,352.402
3.83,352.376
3.84,352.351
3.85,352.327
3.86,352.304
3.87,352.282
3.88,352.258
3.89,352.234
3.9,352.209
3.91,352.183
3.92,352.157
3.93,352.13
3.94,352.103
3.95,352.076
3.96,352.051
3.97,352.028
3.98,352.006
3.99,351.984
4,351.961
4.01,351.939
4.02,351.915
4.03,351.89
4.04,351.865
4.05,351.839
4.06,351.813
4.07,351.788
4.08,351.765
4.09,351.742
4.1,351.718
4.11,351.695
4.12,351.671
4.13,351.646
4.14,351.621
4.15,351.595
4.16,351.569
4.17,351.543
4.18,351.518
4.19,351.493
4.2,351.469
4.21,351.446
4.22,351.423
4.23,351.399
4.24,351.375
4.25,351.35
4.26,351.324
4.27,351.298
4.28,351.272
4.29,351.246
4.3,351.223
4.31,351.2
4.32,351.178
4.33,351.157
4.34,351.135
