Date [s],Tav_1d( D/E ) [<unknown>]
0,363.15
0.01,363.025
0.02,362.991
0.03,362.95
0.04,362.916
0.05,362.896
0.06,362.879
0.07,362.861
0.08,362.842
0.09,362.833
0.1,362.82
0.11,362.808
0.12,362.8
0.13,362.779
0.14,362.762
0.15,362.73
0.16,362.699
0.17,362.673
0.18,362.641
0.19,362.603
0.2,362.503
0.21,362.355
0.22,362.228
0.23,362.106
0.24,361.971
0.25,361.825
0.26,361.662
0.27,361.51
0.28,361.36
0.29,361.234
0.3,361.046
0.31,360.935
0.32,360.797
0.33,360.664
0.34,360.528
0.35,360.431
0.36,360.359
0.37,360.264
0.38,360.188
0.39,360.145
0.4,360.108
0.41,360.027
0.42,359.993
0.43,359.915
0.44,359.765
0.45,359.775
0.46,359.733
0.47,359.727
0.48,359.798
0.49,359.744
0.5,359.746
0.51,359.764
0.52,359.72
0.53,359.661
0.54,359.58
0.55,359.493
0.56,359.48
0.57,359.432
0.58,359.36
0.59,359.364
0.6,359.321
0.61,359.271
0.62,359.255
0.63,359.158
0.64,359.147
0.65,359.091
0.66,359.047
0.67,359.071
0.68,359.073
0.69,359.071
0.7,359.077
0.71,359.07
0.72,359.085
0.73,359.089
0.74,359.099
0.75,359.078
0.76,359.038
0.77,359.025
0.78,359.035
0.79,358.993
0.8,358.954
0.81,358.911
0.82,358.904
0.83,358.835
0.84,358.757
0.85,358.732
0.86,358.666
0.87,358.619
0.88,358.567
0.89,358.548
0.9,358.529
0.91,358.544
0.92,358.53
0.93,358.531
0.94,358.502
0.95,358.508
0.96,358.498
0.97,358.472
0.98,358.433
0.99,358.339
1,358.262
1.01,358.143
1.02,358.096
1.03,358.037
1.04,357.997
1.05,357.963
1.06,357.939
1.07,357.887
1.08,357.868
1.09,357.741
1.1,357.683
1.11,357.597
1.12,357.522
1.13,357.468
1.14,357.387
1.15,357.329
1.16,357.231
1.17,357.168
1.18,357.106
1.19,357.022
1.2,356.962
1.21,356.979
1.22,356.996
1.23,357.008
1.24,357.044
1.25,357.082
1.26,357.101
1.27,357.06
1.28,357.071
1.29,357.029
1.3,356.96
1.31,356.917
1.32,356.875
1.33,356.731
1.34,356.629
1.35,356.571
1.36,356.559
1.37,356.494
1.38,356.503
1.39,356.471
1.4,356.418
1.41,356.452
1.42,356.431
1.43,356.445
1.44,356.386
1.45,356.347
1.46,356.375
1.47,356.361
1.48,356.364
1.49,356.414
1.5,356.463
1.51,356.472
1.52,356.433
1.53,356.415
1.54,356.393
1.55,356.397
1.56,356.351
1.57,356.378
1.58,356.382
1.59,356.402
1.6,356.407
1.61,356.388
1.62,356.383
1.63,356.36
1.64,356.263
1.65,356.205
1.66,356.191
1.67,356.158
1.68,356.104
1.69,356.088
1.7,356.074
1.71,356.012
1.72,356.005
1.73,355.939
1.74,355.92
1.75,355.832
1.76,355.812
1.77,355.76
1.78,355.727
1.79,355.681
1.8,355.651
1.81,355.647
1.82,355.55
1.83,355.505
1.84,355.432
1.85,355.355
1.86,355.286
1.87,355.268
1.88,355.242
1.89,355.232
1.9,355.255
1.91,355.26
1.92,355.233
1.93,355.2
1.94,355.116
1.95,355.044
1.96,355.024
1.97,354.966
1.98,354.934
1.99,354.856
2,354.785
2.01,354.766
2.02,354.716
2.03,354.649
2.04,354.606
2.05,354.57
2.06,354.575
2.07,354.546
2.08,354.515
2.09,354.419
2.1,354.4
2.11,354.3
2.12,354.243
2.13,354.245
2.14,354.239
2.15,354.186
2.16,354.179
2.17,354.176
2.18,354.079
2.19,354.019
2.2,354.041
2.21,353.917
2.22,353.872
2.23,353.839
2.24,353.766
2.25,353.763
2.26,353.829
2.27,353.849
2.28,353.838
2.29,353.839
2.3,353.841
2.31,353.87
2.32,353.851
2.33,353.856
2.34,353.836
2.35,353.786
2.36,353.717
2.37,353.706
2.38,353.719
2.39,353.629
2.4,353.605
2.41,353.592
2.42,353.602
2.43,353.552
2.44,353.569
2.45,353.642
2.46,353.694
2.47,353.633
2.48,353.59
2.49,353.549
2.5,353.489
2.51,353.477
2.52,353.462
2.53,353.392
2.54,353.362
2.55,353.406
2.56,353.454
2.57,353.469
2.58,353.472
2.59,353.502
2.6,353.529
2.61,353.591
2.62,353.638
2.63,353.686
2.64,353.729
2.65,353.687
2.66,353.63
2.67,353.561
2.68,353.49
2.69,353.474
2.7,353.454
2.71,353.433
2.72,353.396
2.73,353.412
2.74,353.445
2.75,353.453
2.76,353.423
2.77,353.442
2.78,353.428
2.79,353.386
2.8,353.371
2.81,353.376
2.82,353.361
2.83,353.313
2.84,353.29
2.85,353.281
2.86,353.182
2.87,353.116
2.88,353.04
2.89,352.981
2.9,352.951
2.91,352.949
2.92,352.958
2.93,352.916
2.94,352.84
2.95,352.84
2.96,352.835
2.97,352.773
2.98,352.74
2.99,352.709
3,352.646
3.01,352.579
3.02,352.534
3.03,352.504
3.04,352.393
3.05,352.318
3.06,352.232
3.07,352.241
3.08,352.185
3.09,352.107
3.1,352.078
3.11,352.082
3.12,352.008
3.13,351.985
3.14,351.913
3.15,351.893
3.16,351.899
3.17,351.914
3.18,351.882
3.19,351.827
3.2,351.722
3.21,351.581
3.22,351.503
3.23,351.454
3.24,351.436
3.25,351.357
3.26,351.428
3.27,351.422
3.28,351.445
3.29,351.529
3.3,351.523
3.31,351.535
3.32,351.554
3.33,351.614
3.34,351.667
3.35,351.701
3.36,351.754
3.37,351.779
3.38,351.76
3.39,351.735
3.4,351.716
3.41,351.707
3.42,351.727
3.43,351.725
3.44,351.713
3.45,351.643
3.46,351.673
3.47,351.634
3.48,351.63
3.49,351.642
3.5,351.62
3.51,351.583
3.52,351.545
3.53,351.457
3.54,351.42
3.55,351.342
3.56,351.271
3.57,351.229
3.58,351.187
3.59,351.173
3.6,351.132
3.61,351.093
3.62,351.072
3.63,351.039
3.64,351.05
3.65,351.031
3.66,351.002
3.67,351.025
3.68,350.988
3.69,350.992
3.7,350.983
3.71,350.968
3.72,350.924
3.73,350.902
3.74,350.86
3.75,350.777
3.76,350.672
3.77,350.589
3.78,350.494
3.79,350.467
3.8,350.459
3.81,350.377
3.82,350.317
3.83,350.286
3.84,350.274
3.85,350.247
3.86,350.207
3.87,350.173
3.88,350.17
3.89,350.183
3.9,350.106
3.91,350.029
3.92,349.966
3.93,349.94
3.94,349.92
3.95,349.916
3.96,349.912
3.97,349.955
3.98,349.943
3.99,349.957
4,350
4.01,350.03
4.02,350.037
4.03,350.03
4.04,350.014
4.05,350.024
4.06,350.058
4.07,350.032
4.08,350
4.09,349.926
4.1,349.866
4.11,349.826
4.12,349.794
4.13,349.756
4.14,349.763
4.15,349.744
4.16,349.724
4.17,349.71
4.18,349.641
4.19,349.642
4.2,349.598
4.21,349.591
4.22,349.571
4.23,349.552
4.24,349.541
4.25,349.545
4.26,349.522
4.27,349.521
4.28,349.546
4.29,349.524
4.3,349.538
4.31,349.509
4.32,349.435
4.33,349.357
4.34,349.291
4.35,349.252
4.36,349.254
4.37,349.21
4.38,349.219
4.39,349.227
4.4,349.202
4.41,349.223
4.42,349.175
4.43,349.162
4.44,349.123
4.45,349.097
4.46,349.054
4.47,349.018
4.48,348.984
4.49,348.95
4.5,348.986
4.51,349.007
4.52,348.97
4.53,348.97
4.54,348.948
4.55,348.961
4.56,348.94
4.57,348.91
4.58,348.948
4.59,348.918
4.6,348.937
4.61,348.972
4.62,348.912
4.63,348.836
4.64,348.84
4.65,348.777
4.66,348.69
4.67,348.582
4.68,348.569
4.69,348.579
4.7,348.538
4.71,348.539
4.72,348.579
4.73,348.591
4.74,348.573
4.75,348.515
4.76,348.478
4.77,348.466
4.78,348.481
4.79,348.473
4.8,348.453
4.81,348.436
4.82,348.372
4.83,348.361
4.84,348.32
4.85,348.272
4.86,348.281
4.87,348.291
4.88,348.303
4.89,348.268
4.9,348.214
4.91,348.186
4.92,348.25
4.93,348.277
4.94,348.233
4.95,348.246
4.96,348.193
4.97,348.151
4.98,348.121
4.99,348.086
5,348.047
5.01,348.039
5.02,347.958
5.03,347.912
5.04,347.846
5.05,347.835
5.06,347.786
5.07,347.777
5.08,347.738
5.09,347.721
5.1,347.709
5.11,347.693
5.12,347.66
5.13,347.612
5.14,347.602
5.15,347.561
5.16,347.549
5.17,347.523
5.18,347.463
5.19,347.366
5.2,347.302
5.21,347.279
5.22,347.201
5.23,347.171
5.24,347.147
5.25,347.085
5.26,347.037
5.27,346.997
5.28,347.008
5.29,346.934
5.3,346.834
5.31,346.821
5.32,346.721
5.33,346.701
5.34,346.695
5.35,346.722
5.36,346.722
5.37,346.78
5.38,346.834
5.39,346.762
5.4,346.726
5.41,346.703
5.42,346.699
5.43,346.671
5.44,346.636
5.45,346.591
5.46,346.567
5.47,346.551
5.48,346.535
5.49,346.545
5.5,346.539
5.51,346.566
5.52,346.505
5.53,346.486
5.54,346.502
5.55,346.486
5.56,346.5
5.57,346.555
5.58,346.551
5.59,346.515
5.6,346.486
5.61,346.455
5.62,346.424
5.63,346.387
5.64,346.323
5.65,346.275
5.66,346.257
5.67,346.241
5.68,346.165
5.69,346.107
5.7,346.039
5.71,346.023
5.72,345.971
5.73,345.924
5.74,345.905
5.75,345.868
5.76,345.842
5.77,345.83
5.78,345.78
5.79,345.809
5.8,345.776
5.81,345.759
5.82,345.741
5.83,345.732
5.84,345.676
5.85,345.714
5.86,345.695
5.87,345.723
5.88,345.738
5.89,345.686
5.9,345.658
5.91,345.625
5.92,345.574
5.93,345.556
5.94,345.524
5.95,345.491
5.96,345.449
5.97,345.427
5.98,345.427
5.99,345.424
6,345.421
6.01,345.391
6.02,345.375
6.03,345.374
6.04,345.341
6.05,345.4
6.06,345.407
6.07,345.354
6.08,345.35
6.09,345.32
6.1,345.309
6.11,345.235
6.12,345.212
6.13,345.159
6.14,345.159
6.15,345.14
6.16,345.154
6.17,345.145
6.18,345.089
6.19,345.095
6.2,345.116
6.21,345.106
6.22,345.129
6.23,345.13
6.24,345.137
6.25,345.14
6.26,345.127
6.27,345.095
6.28,345.074
6.29,345.023
6.3,344.99
6.31,345.001
6.32,344.985
6.33,344.982
6.34,344.937
