Date [s],Tav_2d( B/C ) [<unknown>]
0,363.15
0.01,363.028
0.02,363.001
0.03,362.972
0.04,362.942
0.05,362.915
0.06,362.892
0.07,362.876
0.08,362.86
0.09,362.845
0.1,362.834
0.11,362.82
0.12,362.807
0.13,362.789
0.14,362.77
0.15,362.744
0.16,362.716
0.17,362.687
0.18,362.659
0.19,362.626
0.2,362.528
0.21,362.4
0.22,362.291
0.23,362.184
0.24,362.067
0.25,361.942
0.26,361.83
0.27,361.705
0.28,361.585
0.29,361.461
0.3,361.352
0.31,361.271
0.32,361.166
0.33,361.065
0.34,360.961
0.35,360.869
0.36,360.783
0.37,360.735
0.38,360.653
0.39,360.582
0.4,360.528
0.41,360.479
0.42,360.411
0.43,360.383
0.44,360.354
0.45,360.292
0.46,360.255
0.47,360.307
0.48,360.36
0.49,360.304
0.5,360.282
0.51,360.288
0.52,360.253
0.53,360.205
0.54,360.154
0.55,360.092
0.56,360.021
0.57,359.994
0.58,359.931
0.59,359.902
0.6,359.84
0.61,359.776
0.62,359.724
0.63,359.657
0.64,359.6
0.65,359.556
0.66,359.523
0.67,359.5
0.68,359.484
0.69,359.505
0.7,359.491
0.71,359.464
0.72,359.471
0.73,359.487
0.74,359.498
0.75,359.497
0.76,359.477
0.77,359.476
0.78,359.443
0.79,359.446
0.8,359.414
0.81,359.379
0.82,359.359
0.83,359.32
0.84,359.266
0.85,359.223
0.86,359.182
0.87,359.129
0.88,359.087
0.89,359.074
0.9,359.054
0.91,359.018
0.92,359.007
0.93,358.989
0.94,358.981
0.95,358.953
0.96,358.921
0.97,358.884
0.98,358.864
0.99,358.813
1,358.754
1.01,358.679
1.02,358.629
1.03,358.563
1.04,358.522
1.05,358.511
1.06,358.454
1.07,358.425
1.08,358.353
1.09,358.297
1.1,358.225
1.11,358.142
1.12,358.065
1.13,358.004
1.14,357.935
1.15,357.829
1.16,357.752
1.17,357.698
1.18,357.638
1.19,357.623
1.2,357.617
1.21,357.62
1.22,357.622
1.23,357.646
1.24,357.666
1.25,357.68
1.26,357.671
1.27,357.643
1.28,357.624
1.29,357.577
1.3,357.514
1.31,357.473
1.32,357.411
1.33,357.322
1.34,357.259
1.35,357.194
1.36,357.148
1.37,357.121
1.38,357.078
1.39,357.098
1.4,357.066
1.41,357.034
1.42,357.024
1.43,357.009
1.44,357.005
1.45,357.006
1.46,356.965
1.47,357.018
1.48,357.066
1.49,357.05
1.5,357.098
1.51,357.052
1.52,357.024
1.53,356.981
1.54,356.973
1.55,356.953
1.56,356.941
1.57,356.922
1.58,356.909
1.59,356.902
1.6,356.908
1.61,356.894
1.62,356.865
1.63,356.839
1.64,356.788
1.65,356.738
1.66,356.712
1.67,356.693
1.68,356.693
1.69,356.655
1.7,356.62
1.71,356.584
1.72,356.52
1.73,356.486
1.74,356.43
1.75,356.378
1.76,356.315
1.77,356.287
1.78,356.24
1.79,356.235
1.8,356.233
1.81,356.201
1.82,356.162
1.83,356.142
1.84,356.081
1.85,356.042
1.86,355.965
1.87,355.942
1.88,355.912
1.89,355.88
1.9,355.857
1.91,355.829
1.92,355.796
1.93,355.762
1.94,355.712
1.95,355.675
1.96,355.614
1.97,355.569
1.98,355.53
1.99,355.468
2,355.441
2.01,355.419
2.02,355.364
2.03,355.328
2.04,355.269
2.05,355.216
2.06,355.173
2.07,355.119
2.08,355.117
2.09,355.027
2.1,355.018
2.11,354.969
2.12,354.932
2.13,354.89
2.14,354.871
2.15,354.849
2.16,354.857
2.17,354.854
2.18,354.84
2.19,354.825
2.2,354.773
2.21,354.734
2.22,354.685
2.23,354.668
2.24,354.637
2.25,354.606
2.26,354.609
2.27,354.564
2.28,354.566
2.29,354.577
2.3,354.597
2.31,354.574
2.32,354.603
2.33,354.564
2.34,354.544
2.35,354.497
2.36,354.486
2.37,354.453
2.38,354.437
2.39,354.362
2.4,354.328
2.41,354.292
2.42,354.287
2.43,354.304
2.44,354.321
2.45,354.339
2.46,354.383
2.47,354.391
2.48,354.398
2.49,354.363
2.5,354.342
2.51,354.303
2.52,354.253
2.53,354.233
2.54,354.19
2.55,354.132
2.56,354.087
2.57,354.068
2.58,354.043
2.59,354.026
2.6,354.026
2.61,354.028
2.62,354.019
2.63,354.015
2.64,354.007
2.65,354.008
2.66,354.049
2.67,354.013
2.68,354.008
2.69,353.972
2.7,353.967
2.71,353.961
2.72,353.935
2.73,353.943
2.74,353.926
2.75,353.904
2.76,353.869
2.77,353.837
2.78,353.833
2.79,353.818
2.8,353.78
2.81,353.759
2.82,353.714
2.83,353.675
2.84,353.627
2.85,353.616
2.86,353.582
2.87,353.527
2.88,353.481
2.89,353.471
2.9,353.462
2.91,353.422
2.92,353.393
2.93,353.355
2.94,353.307
2.95,353.269
2.96,353.217
2.97,353.181
2.98,353.141
2.99,353.097
3,353.067
3.01,353.009
3.02,352.923
3.03,352.903
3.04,352.853
3.05,352.826
3.06,352.799
3.07,352.776
3.08,352.742
3.09,352.708
3.1,352.704
3.11,352.644
3.12,352.588
3.13,352.553
3.14,352.535
3.15,352.498
3.16,352.437
3.17,352.39
3.18,352.361
3.19,352.269
3.2,352.245
3.21,352.181
3.22,352.135
3.23,352.119
3.24,352.104
3.25,352.07
3.26,352.09
3.27,352.105
3.28,352.108
3.29,352.159
3.3,352.17
3.31,352.199
3.32,352.233
3.33,352.259
3.34,352.257
3.35,352.267
3.36,352.288
3.37,352.287
3.38,352.303
3.39,352.293
3.4,352.29
3.41,352.293
3.42,352.284
3.43,352.259
3.44,352.224
3.45,352.226
3.46,352.215
3.47,352.192
3.48,352.177
3.49,352.135
3.5,352.087
3.51,352.036
3.52,352.023
3.53,351.943
3.54,351.885
3.55,351.834
3.56,351.791
3.57,351.768
3.58,351.75
3.59,351.713
3.6,351.671
3.61,351.647
3.62,351.615
3.63,351.586
3.64,351.558
3.65,351.544
3.66,351.535
3.67,351.502
3.68,351.451
3.69,351.445
3.7,351.436
3.71,351.428
3.72,351.423
3.73,351.39
3.74,351.331
3.75,351.276
3.76,351.229
3.77,351.152
3.78,351.096
3.79,351.047
3.8,351.019
3.81,350.964
3.82,350.931
3.83,350.896
3.84,350.901
3.85,350.853
3.86,350.831
3.87,350.783
3.88,350.737
3.89,350.694
3.9,350.649
3.91,350.595
3.92,350.521
