Date [s],Tmedia( B/C ) [<unknown>]
0,363.15
0.01,363.038
0.02,363.021
0.03,363.002
0.04,362.982
0.05,362.961
0.06,362.939
0.07,362.918
0.08,362.901
0.09,362.883
0.1,362.869
0.11,362.85
0.12,362.825
0.13,362.801
0.14,362.776
0.15,362.748
0.16,362.722
0.17,362.688
0.18,362.653
0.19,362.562
0.2,362.413
0.21,362.32
0.22,362.202
0.23,362.102
0.24,362.016
0.25,361.926
0.26,361.856
0.27,361.756
0.28,361.682
0.29,361.614
0.3,361.557
0.31,361.477
0.32,361.404
0.33,361.327
0.34,361.262
0.35,361.236
0.36,361.173
0.37,361.14
0.38,361.069
0.39,361.008
0.4,360.908
0.41,360.803
0.42,360.696
0.43,360.582
0.44,360.42
0.45,360.191
0.46,360.033
0.47,359.892
0.48,359.952
0.49,359.84
0.5,359.753
0.51,359.675
0.52,359.602
0.53,359.552
0.54,359.511
0.55,359.449
0.56,359.42
0.57,359.333
0.58,359.261
0.59,359.217
0.6,359.184
0.61,359.136
0.62,359.1
0.63,359.065
0.64,359.049
0.65,359.018
0.66,359.021
0.67,359.032
0.68,359.031
0.69,359.028
0.7,359.033
0.71,359.027
0.72,359.041
0.73,359.029
0.74,359.029
0.75,359.01
0.76,358.954
0.77,358.927
0.78,358.895
0.79,358.883
0.8,358.842
0.81,358.813
0.82,358.791
0.83,358.78
0.84,358.728
0.85,358.694
0.86,358.646
0.87,358.616
0.88,358.584
0.89,358.551
0.9,358.537
0.91,358.516
0.92,358.48
0.93,358.467
0.94,358.432
0.95,358.434
0.96,358.441
0.97,358.416
0.98,358.385
0.99,358.374
1,358.352
1.01,358.326
1.02,358.297
1.03,358.247
1.04,358.238
1.05,358.215
1.06,358.176
1.07,358.162
1.08,358.141
1.09,358.122
1.1,358.112
1.11,358.083
1.12,358.063
1.13,358.068
1.14,358.06
1.15,358.044
1.16,358.007
1.17,358.002
1.18,357.986
1.19,357.978
1.2,357.944
1.21,357.937
1.22,357.908
1.23,357.88
1.24,357.863
1.25,357.841
1.26,357.802
1.27,357.777
1.28,357.766
1.29,357.728
1.3,357.711
1.31,357.685
1.32,357.701
1.33,357.705
1.34,357.686
1.35,357.699
1.36,357.704
1.37,357.689
1.38,357.664
1.39,357.619
1.4,357.601
1.41,357.581
1.42,357.58
1.43,357.541
1.44,357.522
1.45,357.505
1.46,357.471
1.47,357.449
1.48,357.431
1.49,357.44
1.5,357.44
1.51,357.436
1.52,357.408
1.53,357.392
1.54,357.367
1.55,357.331
1.56,357.282
1.57,357.259
1.58,357.219
1.59,357.184
1.6,357.159
1.61,357.132
1.62,357.101
1.63,357.073
1.64,357.04
1.65,357.026
1.66,356.98
1.67,356.958
1.68,356.927
1.69,356.901
1.7,356.871
1.71,356.84
1.72,356.82
1.73,356.808
1.74,356.765
1.75,356.751
1.76,356.734
1.77,356.71
1.78,356.689
1.79,356.691
1.8,356.698
1.81,356.682
1.82,356.628
1.83,356.589
1.84,356.542
1.85,356.497
1.86,356.463
1.87,356.418
1.88,356.366
1.89,356.333
1.9,356.302
1.91,356.245
1.92,356.22
1.93,356.215
1.94,356.247
1.95,356.221
1.96,356.188
1.97,356.136
1.98,356.128
1.99,356.104
2,356.065
2.01,356.047
2.02,355.999
2.03,355.957
2.04,355.929
2.05,355.934
2.06,355.919
2.07,355.915
2.08,355.91
2.09,355.908
2.1,355.884
2.11,355.854
2.12,355.799
2.13,355.758
2.14,355.701
2.15,355.643
2.16,355.594
2.17,355.545
2.18,355.498
2.19,355.468
2.2,355.428
2.21,355.413
2.22,355.387
2.23,355.354
2.24,355.292
2.25,355.241
2.26,355.223
2.27,355.168
2.28,355.159
2.29,355.144
2.3,355.129
2.31,355.128
2.32,355.102
2.33,355.094
2.34,355.086
2.35,355.07
2.36,355.054
2.37,355.079
2.38,355.03
2.39,355.026
2.4,355.035
2.41,355.052
2.42,355.004
2.43,354.977
2.44,354.951
2.45,354.924
2.46,354.894
2.47,354.847
2.48,354.794
2.49,354.741
2.5,354.709
2.51,354.683
2.52,354.672
2.53,354.622
2.54,354.579
2.55,354.523
2.56,354.464
2.57,354.458
2.58,354.429
2.59,354.403
2.6,354.398
2.61,354.399
2.62,354.39
2.63,354.418
2.64,354.415
2.65,354.373
2.66,354.338
2.67,354.31
2.68,354.311
2.69,354.271
2.7,354.246
2.71,354.219
2.72,354.18
2.73,354.151
2.74,354.151
2.75,354.134
2.76,354.15
2.77,354.102
2.78,354.052
2.79,353.995
2.8,353.916
2.81,353.861
2.82,353.839
2.83,353.825
2.84,353.824
2.85,353.83
2.86,353.805
2.87,353.764
2.88,353.747
2.89,353.732
2.9,353.72
2.91,353.691
2.92,353.657
2.93,353.684
2.94,353.699
2.95,353.715
2.96,353.715
2.97,353.705
2.98,353.689
2.99,353.683
3,353.668
3.01,353.632
3.02,353.602
3.03,353.56
3.04,353.529
3.05,353.511
3.06,353.473
3.07,353.452
3.08,353.423
3.09,353.409
3.1,353.402
3.11,353.407
3.12,353.394
3.13,353.389
3.14,353.347
3.15,353.316
3.16,353.275
3.17,353.239
3.18,353.227
3.19,353.24
3.2,353.214
3.21,353.217
3.22,353.203
3.23,353.177
3.24,353.192
3.25,353.185
3.26,353.198
3.27,353.198
3.28,353.141
3.29,353.099
3.3,353.059
3.31,353.022
3.32,353.013
3.33,352.99
3.34,352.974
3.35,352.931
3.36,352.863
3.37,352.816
3.38,352.781
3.39,352.75
3.4,352.734
3.41,352.717
3.42,352.675
3.43,352.669
3.44,352.662
3.45,352.643
3.46,352.605
3.47,352.568
3.48,352.536
3.49,352.473
3.5,352.416
3.51,352.386
3.52,352.358
3.53,352.351
3.54,352.331
3.55,352.33
3.56,352.325
3.57,352.341
3.58,352.351
3.59,352.312
3.6,352.223
3.61,352.149
3.62,352.061
3.63,352.019
3.64,351.987
3.65,351.991
3.66,351.963
3.67,351.949
3.68,351.947
3.69,351.95
3.7,351.94
3.71,351.93
3.72,351.954
3.73,351.966
3.74,351.957
3.75,351.945
3.76,351.901
3.77,351.867
3.78,351.837
3.79,351.815
3.8,351.784
3.81,351.758
3.82,351.739
3.83,351.699
3.84,351.688
3.85,351.655
3.86,351.611
3.87,351.596
3.88,351.577
3.89,351.558
3.9,351.592
3.91,351.626
3.92,351.643
3.93,351.669
3.94,351.701
3.95,351.735
3.96,351.758
3.97,351.729
3.98,351.707
3.99,351.682
4,351.655
4.01,351.624
4.02,351.598
4.03,351.55
4.04,351.51
4.05,351.482
4.06,351.442
4.07,351.401
4.08,351.353
4.09,351.315
4.1,351.298
4.11,351.26
4.12,351.236
4.13,351.206
4.14,351.161
4.15,351.092
4.16,351.069
4.17,351.011
4.18,350.972
4.19,350.943
4.2,350.944
4.21,350.925
4.22,350.9
4.23,350.88
4.24,350.861
4.25,350.854
4.26,350.86
4.27,350.833
4.28,350.826
4.29,350.814
4.3,350.804
4.31,350.808
4.32,350.785
4.33,350.773
4.34,350.742
4.35,350.735
4.36,350.703
4.37,350.689
4.38,350.645
4.39,350.64
4.4,350.644
4.41,350.638
4.42,350.633
4.43,350.623
4.44,350.628
4.45,350.617
4.46,350.607
4.47,350.556
4.48,350.528
4.49,350.497
4.5,350.475
4.51,350.441
4.52,350.415
4.53,350.325
4.54,350.259
4.55,350.22
