Date [s],Tav_d( D/E ) [<unknown>]
0,363.15
0.01,363.075
0.02,363.068
0.03,363.059
0.04,363.049
0.05,363.039
0.06,363.027
0.07,363.014
0.08,363
0.09,362.986
0.1,362.97
0.11,362.953
0.12,362.935
0.13,362.917
0.14,362.898
0.15,362.878
0.16,362.857
0.17,362.835
0.18,362.813
0.19,362.79
0.2,362.682
0.21,362.515
0.22,362.401
0.23,362.312
0.24,362.24
0.25,362.179
0.26,362.125
0.27,362.077
0.28,362.034
0.29,361.996
0.3,361.962
0.31,361.932
0.32,361.905
0.33,361.88
0.34,361.856
0.35,361.832
0.36,361.811
0.37,361.79
0.38,361.77
0.39,361.754
0.4,361.741
0.41,361.726
0.42,361.709
0.43,361.69
0.44,361.67
0.45,361.655
0.46,361.664
0.47,361.727
0.48,361.787
0.49,361.757
0.5,361.727
0.51,361.697
0.52,361.67
0.53,361.644
0.54,361.618
0.55,361.591
0.56,361.564
0.57,361.537
0.58,361.51
0.59,361.484
0.6,361.46
0.61,361.438
0.62,361.417
0.63,361.397
0.64,361.377
0.65,361.356
0.66,361.334
0.67,361.312
0.68,361.288
0.69,361.264
0.7,361.24
0.71,361.215
0.72,361.191
0.73,361.166
0.74,361.142
0.75,361.117
0.76,361.094
0.77,361.07
0.78,361.047
0.79,361.024
0.8,361
0.81,360.976
0.82,360.951
0.83,360.927
0.84,360.903
0.85,360.879
0.86,360.856
0.87,360.833
0.88,360.811
0.89,360.789
0.9,360.767
0.91,360.745
0.92,360.724
0.93,360.702
0.94,360.68
0.95,360.657
0.96,360.634
0.97,360.61
0.98,360.587
0.99,360.564
1,360.543
1.01,360.523
1.02,360.504
1.03,360.483
1.04,360.461
1.05,360.438
1.06,360.414
1.07,360.389
1.08,360.364
1.09,360.339
1.1,360.315
1.11,360.292
1.12,360.269
1.13,360.248
1.14,360.227
1.15,360.207
1.16,360.187
1.17,360.166
1.18,360.145
1.19,360.124
1.2,360.102
1.21,360.081
1.22,360.059
1.23,360.035
1.24,360.01
1.25,359.984
1.26,359.958
1.27,359.931
1.28,359.904
1.29,359.878
1.3,359.853
1.31,359.829
1.32,359.804
1.33,359.78
1.34,359.756
1.35,359.731
1.36,359.706
1.37,359.682
1.38,359.658
1.39,359.634
1.4,359.612
