Date [s],Tav_meio( F/G ) [<unknown>]
0,363.15
0.01,363.075
0.02,363.068
0.03,363.059
0.04,363.05
0.05,363.039
0.06,363.027
0.07,363.015
0.08,363.001
0.09,362.987
0.1,362.971
0.11,362.954
0.12,362.937
0.13,362.919
0.14,362.898
0.15,362.878
0.16,362.857
0.17,362.834
0.18,362.813
0.19,362.79
0.2,362.68
0.21,362.508
0.22,362.391
0.23,362.301
0.24,362.23
0.25,362.167
0.26,362.111
0.27,362.063
0.28,362.016
0.29,361.981
0.3,361.946
0.31,361.917
0.32,361.892
0.33,361.864
0.34,361.838
0.35,361.814
0.36,361.786
0.37,361.764
0.38,361.744
0.39,361.725
0.4,361.706
0.41,361.692
0.42,361.674
0.43,361.654
0.44,361.635
0.45,361.619
0.46,361.628
0.47,361.69
0.48,361.752
0.49,361.72
0.5,361.691
0.51,361.668
0.52,361.638
0.53,361.611
0.54,361.585
0.55,361.556
0.56,361.529
0.57,361.499
0.58,361.474
0.59,361.447
0.6,361.419
0.61,361.398
0.62,361.38
0.63,361.357
0.64,361.333
0.65,361.313
0.66,361.29
0.67,361.267
0.68,361.245
0.69,361.224
0.7,361.201
0.71,361.178
0.72,361.155
0.73,361.133
0.74,361.112
0.75,361.089
0.76,361.067
0.77,361.047
0.78,361.023
0.79,361.004
0.8,360.98
0.81,360.958
0.82,360.933
0.83,360.899
0.84,360.876
0.85,360.851
0.86,360.822
0.87,360.794
0.88,360.77
0.89,360.744
0.9,360.724
0.91,360.701
0.92,360.683
0.93,360.664
0.94,360.644
0.95,360.627
0.96,360.604
0.97,360.586
0.98,360.567
0.99,360.549
1,360.533
1.01,360.514
1.02,360.497
1.03,360.479
1.04,360.457
1.05,360.435
1.06,360.412
1.07,360.385
1.08,360.361
1.09,360.335
1.1,360.314
1.11,360.295
1.12,360.271
1.13,360.247
1.14,360.228
1.15,360.209
1.16,360.195
1.17,360.181
1.18,360.164
1.19,360.144
1.2,360.125
1.21,360.109
1.22,360.076
1.23,360.029
1.24,360.003
1.25,359.977
1.26,359.954
1.27,359.933
1.28,359.904
1.29,359.876
1.3,359.845
1.31,359.815
1.32,359.785
1.33,359.76
1.34,359.734
1.35,359.709
1.36,359.681
1.37,359.657
1.38,359.635
1.39,359.611
