Date [s],Tav_quarto( H/I ) [<unknown>]
0,363.15
0.01,363.065
0.02,363.052
0.03,363.037
0.04,363.021
0.05,363.003
0.06,362.985
0.07,362.968
0.08,362.953
0.09,362.942
0.1,362.93
0.11,362.921
0.12,362.908
0.13,362.893
0.14,362.874
0.15,362.852
0.16,362.832
0.17,362.811
0.18,362.79
0.19,362.769
0.2,362.685
0.21,362.564
0.22,362.469
0.23,362.388
0.24,362.312
0.25,362.238
0.26,362.162
0.27,362.094
0.28,362.035
0.29,361.971
0.3,361.911
0.31,361.852
0.32,361.791
0.33,361.735
0.34,361.683
0.35,361.625
0.36,361.575
0.37,361.521
0.38,361.471
0.39,361.428
0.4,361.387
0.41,361.353
0.42,361.307
0.43,361.266
0.44,361.223
0.45,361.184
0.46,361.173
0.47,361.222
0.48,361.272
0.49,361.234
0.5,361.216
0.51,361.195
0.52,361.166
0.53,361.142
0.54,361.11
0.55,361.085
0.56,361.074
0.57,361.037
0.58,360.99
0.59,360.953
0.6,360.906
0.61,360.857
0.62,360.826
0.63,360.79
0.64,360.756
0.65,360.732
0.66,360.699
0.67,360.677
0.68,360.645
0.69,360.621
0.7,360.603
0.71,360.571
0.72,360.551
0.73,360.526
0.74,360.496
0.75,360.471
0.76,360.44
0.77,360.412
0.78,360.38
0.79,360.366
0.8,360.333
0.81,360.307
0.82,360.278
0.83,360.251
0.84,360.226
0.85,360.201
0.86,360.18
0.87,360.161
0.88,360.146
0.89,360.122
0.9,360.1
0.91,360.078
0.92,360.07
0.93,360.054
0.94,360.058
0.95,360.067
0.96,360.063
0.97,360.055
0.98,360.052
0.99,360.034
1,360.006
1.01,359.988
1.02,359.967
1.03,359.938
1.04,359.91
1.05,359.89
1.06,359.869
1.07,359.852
1.08,359.812
1.09,359.772
1.1,359.743
1.11,359.711
1.12,359.69
1.13,359.657
1.14,359.636
1.15,359.609
1.16,359.599
1.17,359.587
1.18,359.575
1.19,359.564
1.2,359.564
1.21,359.554
1.22,359.539
1.23,359.505
1.24,359.48
1.25,359.465
1.26,359.447
1.27,359.429
1.28,359.399
1.29,359.371
1.3,359.335
1.31,359.299
1.32,359.264
1.33,359.234
1.34,359.192
1.35,359.141
1.36,359.1
1.37,359.057
1.38,359.005
1.39,358.955
1.4,358.895
1.41,358.863
1.42,358.83
1.43,358.804
1.44,358.772
1.45,358.755
1.46,358.739
1.47,358.707
1.48,358.692
1.49,358.679
1.5,358.656
1.51,358.617
1.52,358.593
1.53,358.572
1.54,358.602
1.55,358.602
1.56,358.605
1.57,358.598
1.58,358.595
1.59,358.58
1.6,358.556
1.61,358.531
1.62,358.488
1.63,358.454
1.64,358.439
1.65,358.416
1.66,358.383
1.67,358.339
1.68,358.298
1.69,358.247
1.7,358.188
1.71,358.141
1.72,358.096
1.73,358.046
1.74,358.01
1.75,357.965
1.76,357.94
1.77,357.927
1.78,357.911
1.79,357.914
1.8,357.941
1.81,357.937
1.82,357.94
1.83,357.946
1.84,357.948
1.85,357.965
1.86,357.982
1.87,357.96
1.88,357.937
1.89,357.895
1.9,357.872
1.91,357.849
1.92,357.818
1.93,357.804
1.94,357.776
1.95,357.754
1.96,357.715
1.97,357.675
1.98,357.649
1.99,357.594
2,357.57
2.01,357.562
2.02,357.555
2.03,357.537
2.04,357.51
2.05,357.511
2.06,357.496
2.07,357.495
2.08,357.482
2.09,357.469
2.1,357.439
2.11,357.411
2.12,357.388
2.13,357.378
2.14,357.356
2.15,357.358
2.16,357.346
2.17,357.321
2.18,357.288
2.19,357.268
2.2,357.248
2.21,357.233
2.22,357.208
2.23,357.178
2.24,357.143
2.25,357.09
2.26,357.044
2.27,357.016
2.28,356.971
2.29,356.93
2.3,356.895
2.31,356.875
2.32,356.837
2.33,356.808
2.34,356.784
2.35,356.768
2.36,356.761
2.37,356.763
2.38,356.765
2.39,356.801
2.4,356.814
2.41,356.814
2.42,356.833
2.43,356.827
2.44,356.801
2.45,356.795
2.46,356.788
2.47,356.76
2.48,356.741
2.49,356.729
2.5,356.706
2.51,356.7
2.52,356.673
2.53,356.661
2.54,356.644
2.55,356.619
2.56,356.605
2.57,356.599
2.58,356.59
2.59,356.565
2.6,356.551
2.61,356.521
2.62,356.496
2.63,356.44
2.64,356.386
2.65,356.334
2.66,356.29
2.67,356.248
2.68,356.227
2.69,356.203
2.7,356.172
2.71,356.166
2.72,356.162
2.73,356.146
2.74,356.135
2.75,356.108
2.76,356.077
2.77,356.035
2.78,355.98
2.79,355.933
2.8,355.898
2.81,355.856
2.82,355.808
2.83,355.774
2.84,355.751
2.85,355.731
2.86,355.725
2.87,355.693
2.88,355.675
2.89,355.645
2.9,355.625
2.91,355.611
2.92,355.585
2.93,355.566
2.94,355.538
2.95,355.504
2.96,355.484
2.97,355.472
2.98,355.435
2.99,355.41
3,355.404
3.01,355.381
3.02,355.377
3.03,355.354
3.04,355.353
3.05,355.343
3.06,355.33
3.07,355.319
3.08,355.295
3.09,355.285
3.1,355.287
3.11,355.276
3.12,355.25
3.13,355.23
3.14,355.21
3.15,355.206
3.16,355.209
3.17,355.212
3.18,355.206
3.19,355.18
3.2,355.168
3.21,355.136
3.22,355.119
3.23,355.101
3.24,355.077
3.25,355.046
3.26,355.021
3.27,355.005
3.28,354.983
3.29,354.965
3.3,354.927
3.31,354.911
3.32,354.877
3.33,354.848
3.34,354.811
3.35,354.781
3.36,354.745
3.37,354.713
3.38,354.682
3.39,354.652
3.4,354.626
3.41,354.587
3.42,354.561
3.43,354.523
3.44,354.474
3.45,354.417
3.46,354.382
3.47,354.343
3.48,354.31
3.49,354.291
3.5,354.254
3.51,354.232
3.52,354.217
3.53,354.233
3.54,354.236
3.55,354.258
3.56,354.263
3.57,354.257
3.58,354.263
3.59,354.272
3.6,354.276
3.61,354.275
3.62,354.267
3.63,354.253
3.64,354.22
3.65,354.194
3.66,354.158
3.67,354.132
3.68,354.104
3.69,354.081
3.7,354.071
3.71,354.047
3.72,354.02
