Date [s],Tav( B/C ) [<unknown>]
0,363.15
0.01,363.05
0.02,363.028
0.03,363.007
0.04,362.982
0.05,362.958
0.06,362.937
0.07,362.918
0.08,362.9
0.09,362.886
0.1,362.878
0.11,362.868
0.12,362.859
0.13,362.848
0.14,362.835
0.15,362.817
0.16,362.802
0.17,362.782
0.18,362.761
0.19,362.743
0.2,362.725
0.21,362.702
0.22,362.678
0.23,362.651
0.24,362.624
0.25,362.596
0.26,362.557
0.27,362.477
0.28,362.41
0.29,362.34
0.3,362.281
0.31,362.22
0.32,362.163
0.33,362.101
0.34,362.052
0.35,362.002
0.36,361.947
0.37,361.881
0.38,361.817
0.39,361.751
0.4,361.702
0.41,361.633
0.42,361.56
0.43,361.491
0.44,361.46
0.45,361.437
0.46,361.402
0.47,361.363
0.48,361.321
0.49,361.304
0.5,361.289
0.51,361.27
0.52,361.243
0.53,361.226
0.54,361.198
0.55,361.157
0.56,361.131
0.57,361.1
0.58,361.061
0.59,361.03
0.6,360.998
0.61,360.959
0.62,360.924
0.63,360.897
0.64,360.869
0.65,360.828
0.66,360.786
0.67,360.757
0.68,360.722
0.69,360.688
0.7,360.652
0.71,360.613
0.72,360.557
0.73,360.521
0.74,360.478
0.75,360.438
0.76,360.41
0.77,360.376
0.78,360.348
0.79,360.319
0.8,360.297
0.81,360.273
0.82,360.254
0.83,360.231
0.84,360.225
0.85,360.237
0.86,360.249
0.87,360.223
0.88,360.225
0.89,360.212
0.9,360.204
0.91,360.187
0.92,360.152
0.93,360.097
0.94,360.061
0.95,360.042
0.96,360.005
0.97,359.948
0.98,359.887
0.99,359.842
1,359.786
1.01,359.746
1.02,359.713
1.03,359.694
1.04,359.665
1.05,359.642
1.06,359.605
1.07,359.574
1.08,359.53
1.09,359.478
1.1,359.419
1.11,359.37
1.12,359.33
1.13,359.297
1.14,359.23
1.15,359.211
1.16,359.162
1.17,359.135
1.18,359.171
1.19,359.172
1.2,359.182
1.21,359.21
1.22,359.227
1.23,359.211
1.24,359.21
1.25,359.2
1.26,359.18
1.27,359.147
1.28,359.145
1.29,359.126
1.3,359.109
1.31,359.091
1.32,359.061
1.33,359.031
1.34,358.988
1.35,358.955
1.36,358.93
1.37,358.889
1.38,358.852
1.39,358.825
1.4,358.814
1.41,358.817
1.42,358.792
1.43,358.773
1.44,358.759
1.45,358.786
1.46,358.756
1.47,358.733
1.48,358.704
1.49,358.67
1.5,358.628
1.51,358.586
1.52,358.551
1.53,358.525
1.54,358.489
1.55,358.446
1.56,358.415
1.57,358.368
1.58,358.343
1.59,358.342
1.6,358.358
1.61,358.375
1.62,358.412
1.63,358.433
1.64,358.441
1.65,358.456
1.66,358.478
1.67,358.458
1.68,358.467
1.69,358.449
1.7,358.453
1.71,358.438
1.72,358.433
1.73,358.429
1.74,358.439
1.75,358.441
1.76,358.431
1.77,358.421
1.78,358.41
1.79,358.406
1.8,358.392
1.81,358.389
1.82,358.379
1.83,358.391
1.84,358.401
1.85,358.387
1.86,358.401
1.87,358.439
1.88,358.473
1.89,358.512
1.9,358.541
1.91,358.539
1.92,358.558
1.93,358.563
1.94,358.536
1.95,358.515
1.96,358.491
1.97,358.461
1.98,358.421
1.99,358.397
2,358.378
2.01,358.366
2.02,358.35
2.03,358.314
2.04,358.284
2.05,358.247
2.06,358.237
2.07,358.216
2.08,358.204
2.09,358.178
2.1,358.142
2.11,358.123
2.12,358.1
2.13,358.07
2.14,358.03
2.15,358.011
2.16,357.987
2.17,357.969
2.18,357.977
2.19,357.974
2.2,357.969
2.21,357.957
2.22,357.959
2.23,357.954
2.24,357.959
2.25,357.938
2.26,357.917
2.27,357.887
2.28,357.86
2.29,357.82
2.3,357.782
2.31,357.764
2.32,357.738
2.33,357.72
2.34,357.702
2.35,357.677
2.36,357.652
2.37,357.619
2.38,357.587
2.39,357.574
2.4,357.53
2.41,357.51
2.42,357.495
2.43,357.483
2.44,357.472
2.45,357.456
2.46,357.462
2.47,357.456
2.48,357.447
2.49,357.44
2.5,357.446
2.51,357.455
2.52,357.436
2.53,357.423
2.54,357.405
2.55,357.371
2.56,357.352
2.57,357.339
2.58,357.309
2.59,357.284
2.6,357.269
2.61,357.228
2.62,357.2
2.63,357.174
2.64,357.153
2.65,357.145
2.66,357.129
2.67,357.113
2.68,357.096
2.69,357.103
2.7,357.144
2.71,357.189
2.72,357.237
2.73,357.239
2.74,357.23
2.75,357.213
2.76,357.192
2.77,357.181
2.78,357.136
2.79,357.073
2.8,357.029
2.81,356.975
2.82,356.951
2.83,356.915
2.84,356.889
2.85,356.852
2.86,356.845
2.87,356.82
2.88,356.779
2.89,356.767
2.9,356.773
2.91,356.752
2.92,356.744
2.93,356.725
2.94,356.698
2.95,356.695
2.96,356.681
2.97,356.669
2.98,356.65
2.99,356.626
3,356.598
3.01,356.575
3.02,356.534
3.03,356.503
3.04,356.488
3.05,356.465
3.06,356.434
3.07,356.403
3.08,356.391
3.09,356.364
3.1,356.332
3.11,356.321
3.12,356.258
3.13,356.228
3.14,356.182
3.15,356.138
3.16,356.105
3.17,356.067
3.18,356.043
3.19,356.019
3.2,356.007
3.21,355.996
3.22,355.994
3.23,356
