Date [s],Tav( B/C ) [<unknown>]
0,363.15
0.01,363.047
0.02,363.026
0.03,363.002
0.04,362.978
0.05,362.956
0.06,362.937
0.07,362.923
0.08,362.911
0.09,362.895
0.1,362.885
0.11,362.874
0.12,362.865
0.13,362.853
0.14,362.834
0.15,362.811
0.16,362.794
0.17,362.766
0.18,362.744
0.19,362.721
0.2,362.633
0.21,362.521
0.22,362.433
0.23,362.339
0.24,362.241
0.25,362.139
0.26,362.023
0.27,361.923
0.28,361.819
0.29,361.711
0.3,361.62
0.31,361.534
0.32,361.46
0.33,361.393
0.34,361.324
0.35,361.25
0.36,361.193
0.37,361.123
0.38,361.067
0.39,361.026
0.4,360.973
0.41,360.94
0.42,360.908
0.43,360.855
