Temperature (C)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
20.000	1.0000	0.041581	24.049	217.07	304.06	6.8177	0.74307	1.0413	349.10	0.40652	1.7580e-05	0.025398	vapor
22.000	1.0000	0.041299	24.214	218.56	306.14	6.8248	0.74310	1.0413	350.29	0.40058	1.7673e-05	0.025533	vapor
24.000	1.0000	0.041020	24.378	220.05	308.23	6.8318	0.74313	1.0413	351.48	0.39474	1.7766e-05	0.025668	vapor
26.000	1.0000	0.040745	24.543	221.54	310.31	6.8388	0.74315	1.0414	352.66	0.38899	1.7858e-05	0.025802	vapor
28.000	1.0000	0.040474	24.707	223.02	312.39	6.8457	0.74319	1.0414	353.84	0.38334	1.7950e-05	0.025935	vapor
30.000	1.0000	0.040206	24.872	224.51	314.47	6.8526	0.74322	1.0414	355.01	0.37777	1.8042e-05	0.026069	vapor
32.000	1.0000	0.039942	25.036	226.00	316.56	6.8595	0.74325	1.0414	356.18	0.37228	1.8134e-05	0.026202	vapor
34.000	1.0000	0.039681	25.201	227.49	318.64	6.8663	0.74329	1.0414	357.34	0.36688	1.8225e-05	0.026334	vapor
36.000	1.0000	0.039424	25.365	228.98	320.72	6.8730	0.74332	1.0414	358.50	0.36157	1.8316e-05	0.026467	vapor
38.000	1.0000	0.039170	25.530	230.46	322.80	6.8797	0.74336	1.0414	359.66	0.35633	1.8407e-05	0.026599	vapor
40.000	1.0000	0.038919	25.694	231.95	324.89	6.8864	0.74340	1.0415	360.81	0.35118	1.8497e-05	0.026731	vapor
42.000	1.0000	0.038672	25.859	233.44	326.97	6.8930	0.74345	1.0415	361.96	0.34610	1.8588e-05	0.026862	vapor
44.000	1.0000	0.038427	26.023	234.93	329.05	6.8996	0.74349	1.0415	363.11	0.34109	1.8678e-05	0.026993	vapor
46.000	1.0000	0.038186	26.188	236.42	331.14	6.9062	0.74354	1.0415	364.25	0.33616	1.8768e-05	0.027124	vapor
48.000	1.0000	0.037948	26.352	237.90	333.22	6.9127	0.74359	1.0416	365.39	0.33130	1.8857e-05	0.027254	vapor
50.000	1.0000	0.037712	26.517	239.39	335.30	6.9191	0.74364	1.0416	366.52	0.32652	1.8947e-05	0.027385	vapor
52.000	1.0000	0.037480	26.681	240.88	337.39	6.9256	0.74369	1.0416	367.65	0.32180	1.9036e-05	0.027515	vapor
54.000	1.0000	0.037250	26.845	242.37	339.47	6.9320	0.74375	1.0417	368.78	0.31715	1.9125e-05	0.027644	vapor
56.000	1.0000	0.037024	27.010	243.86	341.55	6.9383	0.74380	1.0417	369.90	0.31257	1.9213e-05	0.027774	vapor
58.000	1.0000	0.036800	27.174	245.35	343.64	6.9446	0.74386	1.0418	371.02	0.30805	1.9302e-05	0.027903	vapor
60.000	1.0000	0.036578	27.339	246.84	345.72	6.9509	0.74392	1.0418	372.14	0.30359	1.9390e-05	0.028032	vapor
62.000	1.0000	0.036360	27.503	248.32	347.80	6.9571	0.74399	1.0419	373.25	0.29920	1.9478e-05	0.028160	vapor
64.000	1.0000	0.036144	27.667	249.81	349.89	6.9633	0.74405	1.0419	374.36	0.29487	1.9566e-05	0.028289	vapor
66.000	1.0000	0.035930	27.832	251.30	351.97	6.9695	0.74412	1.0420	375.46	0.29059	1.9653e-05	0.028417	vapor
68.000	1.0000	0.035719	27.996	252.79	354.06	6.9756	0.74419	1.0420	376.56	0.28638	1.9741e-05	0.028544	vapor
70.000	1.0000	0.035510	28.161	254.28	356.14	6.9817	0.74426	1.0421	377.66	0.28222	1.9828e-05	0.028672	vapor
72.000	1.0000	0.035304	28.325	255.77	358.22	6.9878	0.74434	1.0421	378.76	0.27812	1.9914e-05	0.028799	vapor
74.000	1.0000	0.035101	28.489	257.26	360.31	6.9938	0.74441	1.0422	379.85	0.27408	2.0001e-05	0.028926	vapor
76.000	1.0000	0.034899	28.654	258.75	362.39	6.9998	0.74449	1.0423	380.93	0.27009	2.0088e-05	0.029053	vapor
78.000	1.0000	0.034700	28.818	260.24	364.48	7.0057	0.74458	1.0423	382.02	0.26615	2.0174e-05	0.029179	vapor
80.000	1.0000	0.034503	28.983	261.73	366.56	7.0117	0.74466	1.0424	383.10	0.26226	2.0260e-05	0.029306	vapor
82.000	1.0000	0.034309	29.147	263.22	368.65	7.0175	0.74475	1.0425	384.18	0.25843	2.0346e-05	0.029432	vapor
84.000	1.0000	0.034116	29.311	264.71	370.73	7.0234	0.74484	1.0426	385.25	0.25464	2.0431e-05	0.029558	vapor
86.000	1.0000	0.033926	29.476	266.20	372.82	7.0292	0.74493	1.0426	386.32	0.25091	2.0516e-05	0.029683	vapor
88.000	1.0000	0.033738	29.640	267.69	374.90	7.0350	0.74503	1.0427	387.39	0.24722	2.0602e-05	0.029809	vapor
90.000	1.0000	0.033552	29.804	269.18	376.99	7.0408	0.74513	1.0428	388.46	0.24358	2.0687e-05	0.029934	vapor
