Date [s],Tave( B/C ) [<unknown>]
0,363.15
0.01,363.011
0.02,362.976
0.03,362.944
0.04,362.912
0.05,362.89
0.06,362.863
0.07,362.836
0.08,362.821
0.09,362.808
0.1,362.788
0.11,362.763
0.12,362.746
0.13,362.725
0.14,362.691
0.15,362.663
0.16,362.627
0.17,362.593
0.18,362.54
0.19,362.497
0.2,362.465
0.21,362.424
0.22,362.369
0.23,362.311
0.24,362.264
0.25,362.205
0.26,362.141
0.27,362.088
0.28,362.016
0.29,361.945
0.3,361.878
0.31,361.804
0.32,361.748
0.33,361.707
0.34,361.633
0.35,361.585
0.36,361.521
0.37,361.474
0.38,361.424
0.39,361.383
0.4,361.326
0.41,361.254
0.42,361.165
0.43,361.042
0.44,360.945
0.45,360.841
0.46,360.726
0.47,360.627
0.48,360.542
0.49,360.468
0.5,360.376
0.51,360.297
0.52,360.204
0.53,360.139
0.54,360.087
0.55,360.033
0.56,359.997
0.57,359.992
0.58,359.962
0.59,359.936
0.6,359.905
0.61,359.859
0.62,359.835
0.63,359.799
0.64,359.779
0.65,359.748
0.66,359.727
0.67,359.686
0.68,359.686
0.69,359.672
0.7,359.639
0.71,359.615
0.72,359.577
0.73,359.549
0.74,359.528
0.75,359.559
0.76,359.539
0.77,359.578
0.78,359.591
0.79,359.624
0.8,359.623
0.81,359.655
0.82,359.632
0.83,359.581
0.84,359.556
0.85,359.537
0.86,359.507
0.87,359.528
0.88,359.526
0.89,359.57
0.9,359.549
0.91,359.506
0.92,359.488
0.93,359.492
0.94,359.463
0.95,359.469
0.96,359.456
0.97,359.439
0.98,359.432
0.99,359.401
1,359.34
1.01,359.257
1.02,359.218
1.03,359.153
1.04,359.096
1.05,359.044
1.06,359.068
1.07,359.065
1.08,359.068
1.09,359.089
1.1,359.081
1.11,359.094
1.12,359.06
1.13,359.08
1.14,359.047
1.15,359.075
1.16,359.082
1.17,359.071
1.18,359.102
1.19,359.127
1.2,359.12
1.21,359.089
1.22,359.053
1.23,359.08
1.24,359.072
1.25,359.015
1.26,359.016
1.27,358.985
1.28,358.97
1.29,358.988
1.3,358.947
