Time , meanZ
1.99939e-002 , 7.90109e-002
3.99878e-002 , 7.90109e-002
5.99817e-002 , 7.90109e-002
7.99756e-002 , 7.90110e-002
9.99694e-002 , 7.90110e-002
1.19963e-001 , 7.90110e-002
1.39957e-001 , 7.90112e-002
1.59951e-001 , 7.90113e-002
1.79945e-001 , 7.90118e-002
1.99939e-001 , 7.90118e-002
2.19933e-001 , 7.90120e-002
2.39927e-001 , 7.90121e-002
2.59921e-001 , 7.90123e-002
2.79914e-001 , 7.90129e-002
2.99908e-001 , 7.90137e-002
3.19902e-001 , 7.90148e-002
3.39896e-001 , 7.90162e-002
3.59890e-001 , 7.90175e-002
3.79884e-001 , 7.90202e-002
3.99878e-001 , 7.90239e-002
4.19872e-001 , 7.90289e-002
4.39866e-001 , 7.90676e-002
4.59859e-001 , 7.92688e-002
4.79853e-001 , 7.98586e-002
4.99847e-001 , 8.08728e-002
5.19841e-001 , 8.23660e-002
5.39835e-001 , 8.43746e-002
5.59829e-001 , 8.69333e-002
5.79823e-001 , 9.00501e-002
5.99817e-001 , 9.32951e-002
6.19811e-001 , 9.68501e-002
6.39804e-001 , 1.00326e-001
6.59798e-001 , 1.04238e-001
6.79792e-001 , 1.08322e-001
6.99786e-001 , 1.12806e-001
7.19780e-001 , 1.17758e-001
7.39774e-001 , 1.23184e-001
7.59768e-001 , 1.28785e-001
7.79762e-001 , 1.34637e-001
7.99756e-001 , 1.40881e-001
8.19749e-001 , 1.46960e-001
8.39743e-001 , 1.52692e-001
8.59737e-001 , 1.58123e-001
8.79731e-001 , 1.63287e-001
8.99725e-001 , 1.68488e-001
9.19719e-001 , 1.73651e-001
9.39713e-001 , 1.78776e-001
9.59707e-001 , 1.83960e-001
9.79701e-001 , 1.89747e-001
9.99694e-001 , 1.95844e-001
1.01969e+000 , 2.01776e-001
1.03968e+000 , 2.07355e-001
1.05968e+000 , 2.12892e-001
1.07967e+000 , 2.18538e-001
1.09966e+000 , 2.22648e-001
1.11966e+000 , 2.25493e-001
1.13965e+000 , 2.26985e-001
1.15965e+000 , 2.26083e-001
1.17964e+000 , 2.23087e-001
1.19963e+000 , 2.18254e-001
1.21963e+000 , 2.12110e-001
1.23962e+000 , 2.05322e-001
1.25961e+000 , 1.98898e-001
1.27961e+000 , 1.93002e-001
1.29960e+000 , 1.87357e-001
1.31960e+000 , 1.81787e-001
1.33959e+000 , 1.76470e-001
1.35958e+000 , 1.71401e-001
1.37958e+000 , 1.66691e-001
1.39957e+000 , 1.62730e-001
1.41957e+000 , 1.59749e-001
1.43956e+000 , 1.58299e-001
1.45955e+000 , 1.58838e-001
1.47955e+000 , 1.61751e-001
1.49954e+000 , 1.66504e-001
1.51954e+000 , 1.72376e-001
1.53953e+000 , 1.78553e-001
1.55952e+000 , 1.84320e-001
1.57952e+000 , 1.89303e-001
1.59951e+000 , 1.93632e-001
1.61950e+000 , 1.97856e-001
1.63950e+000 , 2.02646e-001
1.65949e+000 , 2.08135e-001
1.67949e+000 , 2.14637e-001
1.69948e+000 , 2.21915e-001
1.71947e+000 , 2.29628e-001
1.73947e+000 , 2.37352e-001
1.75946e+000 , 2.44852e-001
1.77946e+000 , 2.51367e-001
1.79945e+000 , 2.56559e-001
1.81944e+000 , 2.59689e-001
1.83944e+000 , 2.60815e-001
1.85943e+000 , 2.60347e-001
1.87943e+000 , 2.58860e-001
1.89942e+000 , 2.56414e-001
1.91941e+000 , 2.52958e-001
1.93941e+000 , 2.48234e-001
1.95940e+000 , 2.42456e-001
1.97939e+000 , 2.35424e-001
1.99939e+000 , 2.27861e-001
2.01938e+000 , 2.20389e-001
2.03938e+000 , 2.13325e-001
2.05937e+000 , 2.07029e-001
2.07936e+000 , 2.02210e-001
2.09936e+000 , 1.99301e-001
2.11935e+000 , 1.98904e-001
2.13935e+000 , 2.00752e-001
2.15934e+000 , 2.04626e-001
2.17933e+000 , 2.10341e-001
2.19933e+000 , 2.17841e-001
2.21932e+000 , 2.26434e-001
2.23932e+000 , 2.34813e-001
2.25931e+000 , 2.41941e-001
2.27930e+000 , 2.47565e-001
2.29930e+000 , 2.51362e-001
2.31929e+000 , 2.53364e-001
2.33928e+000 , 2.53808e-001
2.35928e+000 , 2.52538e-001
2.37927e+000 , 2.49754e-001
2.39927e+000 , 2.45989e-001
2.41926e+000 , 2.41905e-001
2.43925e+000 , 2.37382e-001
2.45925e+000 , 2.32816e-001
2.47924e+000 , 2.29246e-001
2.49924e+000 , 2.27113e-001
2.51923e+000 , 2.26131e-001
2.53922e+000 , 2.25945e-001
2.55922e+000 , 2.26333e-001
2.57921e+000 , 2.27331e-001
2.59921e+000 , 2.28428e-001
2.61920e+000 , 2.29101e-001
2.63919e+000 , 2.29298e-001
2.65919e+000 , 2.29257e-001
2.67918e+000 , 2.29224e-001
2.69917e+000 , 2.29121e-001
2.71917e+000 , 2.28892e-001
2.73916e+000 , 2.28662e-001
2.75916e+000 , 2.28630e-001
2.77915e+000 , 2.28867e-001
2.79914e+000 , 2.29644e-001
2.81914e+000 , 2.32537e-001
2.83913e+000 , 2.37754e-001
2.85913e+000 , 2.44550e-001
2.87912e+000 , 2.51587e-001
2.89911e+000 , 2.57691e-001
2.91911e+000 , 2.61989e-001
2.93910e+000 , 2.64433e-001
2.95910e+000 , 2.65219e-001
2.97909e+000 , 2.64401e-001
2.99908e+000 , 2.62260e-001
3.01908e+000 , 2.60042e-001
3.03907e+000 , 2.58438e-001
3.05906e+000 , 2.57055e-001
3.07906e+000 , 2.55699e-001
3.09905e+000 , 2.53729e-001
3.11905e+000 , 2.51437e-001
3.13904e+000 , 2.48621e-001
3.15903e+000 , 2.45474e-001
3.17903e+000 , 2.41666e-001
3.19902e+000 , 2.37349e-001
3.21902e+000 , 2.33639e-001
3.23901e+000 , 2.30576e-001
3.25900e+000 , 2.28261e-001
3.27900e+000 , 2.26041e-001
3.29899e+000 , 2.24140e-001
3.31899e+000 , 2.23123e-001
3.33898e+000 , 2.23539e-001
3.35897e+000 , 2.25292e-001
3.37897e+000 , 2.27923e-001
3.39896e+000 , 2.30451e-001
3.41895e+000 , 2.32619e-001
3.43895e+000 , 2.34515e-001
3.45894e+000 , 2.36970e-001
3.47894e+000 , 2.40127e-001
3.49893e+000 , 2.44110e-001
3.51892e+000 , 2.48923e-001
3.53892e+000 , 2.53242e-001
3.55891e+000 , 2.56388e-001
3.57891e+000 , 2.58075e-001
3.59890e+000 , 2.58719e-001
3.61889e+000 , 2.58195e-001
3.63889e+000 , 2.57110e-001
3.65888e+000 , 2.56337e-001
3.67888e+000 , 2.56712e-001
3.69887e+000 , 2.57264e-001
3.71886e+000 , 2.56841e-001
3.73886e+000 , 2.55472e-001
3.75885e+000 , 2.53537e-001
3.77884e+000 , 2.51382e-001
3.79884e+000 , 2.49129e-001
3.81883e+000 , 2.47111e-001
3.83883e+000 , 2.44455e-001
3.85882e+000 , 2.40982e-001
3.87881e+000 , 2.36382e-001
3.89881e+000 , 2.30663e-001
3.91880e+000 , 2.24320e-001
3.93880e+000 , 2.18115e-001
3.95879e+000 , 2.13089e-001
3.97878e+000 , 2.10709e-001
3.99878e+000 , 2.11605e-001
4.01877e+000 , 2.15936e-001
4.03877e+000 , 2.22798e-001
4.05876e+000 , 2.31318e-001
4.07875e+000 , 2.41051e-001
4.09875e+000 , 2.51352e-001
4.11874e+000 , 2.61024e-001
4.13873e+000 , 2.69453e-001
4.15873e+000 , 2.75999e-001
4.17872e+000 , 2.80720e-001
4.19872e+000 , 2.83735e-001
4.21871e+000 , 2.84906e-001
4.23870e+000 , 2.84560e-001
4.25870e+000 , 2.82810e-001
4.27869e+000 , 2.80102e-001
4.29869e+000 , 2.76368e-001
4.31868e+000 , 2.71699e-001
4.33867e+000 , 2.66120e-001
4.35867e+000 , 2.59909e-001
4.37866e+000 , 2.53412e-001
4.39866e+000 , 2.46959e-001
4.41865e+000 , 2.40535e-001
4.43864e+000 , 2.34466e-001
4.45864e+000 , 2.28716e-001
4.47863e+000 , 2.23465e-001
4.49862e+000 , 2.18700e-001
4.51862e+000 , 2.14090e-001
4.53861e+000 , 2.10853e-001
4.55861e+000 , 2.09728e-001
4.57860e+000 , 2.10648e-001
4.59859e+000 , 2.12500e-001
4.61859e+000 , 2.15090e-001
4.63858e+000 , 2.18654e-001
4.65858e+000 , 2.22755e-001
4.67857e+000 , 2.27097e-001
4.69856e+000 , 2.31352e-001
4.71856e+000 , 2.35303e-001
4.73855e+000 , 2.38592e-001
4.75855e+000 , 2.40924e-001
4.77854e+000 , 2.42408e-001
4.79853e+000 , 2.43721e-001
4.81853e+000 , 2.45445e-001
4.83852e+000 , 2.47418e-001
4.85851e+000 , 2.48865e-001
4.87851e+000 , 2.49853e-001
4.89850e+000 , 2.50520e-001
4.91850e+000 , 2.50993e-001
4.93849e+000 , 2.51067e-001
4.95848e+000 , 2.51011e-001
4.97848e+000 , 2.50864e-001
4.99847e+000 , 2.50579e-001
5.01847e+000 , 2.49834e-001
5.03846e+000 , 2.48816e-001
5.05845e+000 , 2.47149e-001
5.07845e+000 , 2.44804e-001
5.09844e+000 , 2.42179e-001
5.11844e+000 , 2.39128e-001
5.13843e+000 , 2.35999e-001
5.15842e+000 , 2.32303e-001
5.17842e+000 , 2.28139e-001
5.19841e+000 , 2.23440e-001
