x,Leva
0.10123,4.4968
0.118987,4.50294
0.156137,4.4962
0.215676,4.47027
0.325337,4.42512
0.46957,4.36729
0.648528,4.30952
0.844549,4.24546
1.02953,4.19423
1.3019,4.13021
1.57545,4.07899
1.82439,4.04057
2.27333,3.9702
2.81201,3.89984
3.55571,3.82309
4.73316,3.73989
5.68539,3.67594
6.98111,3.60559
8.4474,3.54163
10.5261,3.47127
13.4081,3.3945
16.9553,3.33048
20.9742,3.27286
25.5675,3.21526
32.3315,3.15124
42.7255,3.08079
55.6378,3.01037
65.3829,2.97193
80.8833,2.92068
105.334,2.86299
136.172,2.80531
182.635,2.76031
241.373,2.70897
312.048,2.65766
424.714,2.61265
599.664,2.56122
752.875,2.52906
904.538,2.50969
987.787,2.49046
