Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Temperature (Study 01 - Particles) [K],Min:Temperature (Study 01 - Particles) [K]
0,323.15,323.15,323.15
0.02,323.124,323.15,323.106
0.04,323.114,323.15,323.065
0.06,323.11,323.15,323.037
0.08,323.108,323.15,323.018
0.1,323.107,323.15,323.009
0.12,323.105,323.15,323.006
0.14,323.104,323.15,323.004
0.16,323.102,323.15,323.001
0.18,323.101,323.15,322.985
0.2,323.099,323.15,322.961
0.22,323.097,323.15,322.935
0.24,323.095,323.15,322.907
0.26,323.092,323.15,322.877
0.28,323.09,323.15,322.842
0.3,323.087,323.15,322.805
0.32,323.084,323.15,322.766
0.34,323.081,323.15,322.726
0.36,323.077,323.15,322.684
0.38,323.074,323.15,322.641
0.4,323.07,323.15,322.596
0.42,323.066,323.15,322.549
0.44,323.062,323.15,322.501
0.46,323.057,323.15,322.451
0.48,323.053,323.15,322.4
0.5,323.048,323.15,322.347
0.52,323.043,323.15,322.293
0.54,323.038,323.15,322.237
0.56,323.033,323.15,322.18
0.58,323.027,323.15,322.122
0.6,323.021,323.15,322.063
0.62,323.015,323.15,322.002
0.64,323.009,323.15,321.94
0.66,323.003,323.15,321.877
0.68,322.996,323.15,321.813
0.7,322.99,323.15,321.747
0.72,322.983,323.15,321.68
0.74,322.976,323.15,321.613
0.76,322.968,323.15,321.544
0.78,322.961,323.15,321.474
0.8,322.953,323.15,321.403
0.82,322.945,323.15,321.331
0.84,322.937,323.15,321.257
0.86,322.929,323.149,321.183
0.88,322.92,323.149,321.108
0.9,322.911,323.149,321.032
0.92,322.902,323.149,320.955
0.94,322.893,323.149,320.877
0.96,322.884,323.149,320.799
0.98,322.874,323.149,320.719
1,322.865,323.149,320.639
1.02,322.855,323.149,320.558
1.04,322.845,323.149,320.476
1.06,322.834,323.149,320.393
1.08,322.824,323.142,320.309
1.1,322.813,323.125,320.224
1.12,322.802,323.124,320.138
1.14,322.791,323.124,320.052
1.16,322.78,323.124,319.965
1.18,322.769,323.123,319.876
1.2,322.757,323.123,319.786
1.22,322.746,323.123,319.694
1.24,322.734,323.123,319.599
