date [s],Average:Translational X-Velocity (Study 01 - Cube <01>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <02>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <03>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <04>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <05>) [m/s]
0,-2.95828e-08,-3.51527e-08,-2.75046e-08,1.2328e-07,4.17602e-08
0.01,-1.55753e-05,-4.40596e-05,3.90975e-05,7.85808e-05,1.49656e-05
0.02,-6.53902e-06,-6.74162e-06,-2.36533e-06,4.70943e-06,5.90936e-06
0.03,3.59682e-06,5.50309e-06,1.8953e-06,-1.54422e-06,-1.07865e-06
0.04,-2.99109e-06,-2.85196e-06,7.44587e-07,1.51959e-06,1.21312e-06
0.05,2.70424e-07,1.23062e-07,-5.8912e-07,-1.38072e-06,-1.17663e-06
0.06,1.78331e-06,2.8229e-06,1.33596e-07,-1.21755e-06,-1.17225e-06
0.07,1.13768e-07,-5.40809e-07,-7.33987e-07,7.52201e-07,-2.35747e-07
0.08,8.70334e-07,1.2299e-06,-4.56758e-07,-1.58302e-06,-1.8376e-06
0.09,-1.2519e-06,-1.32272e-06,-5.94066e-07,3.31817e-07,6.93644e-07
0.1,5.73466e-07,8.11646e-07,1.73467e-07,-8.99861e-07,-1.15364e-06
0.11,-1.47293e-07,3.64775e-08,-5.98632e-07,1.95149e-07,3.24204e-07
0.12,-5.85073e-09,-7.37353e-07,-5.43401e-08,7.98633e-07,4.29166e-07
0.13,3.55949e-07,7.39737e-07,-1.77599e-08,-9.82427e-07,-9.49724e-08
0.14,-4.78483e-07,-1.09159e-06,-1.98401e-07,1.56282e-06,7.2588e-07
0.15,5.33559e-07,1.00071e-06,5.88746e-07,-5.51535e-07,-5.65374e-07
0.16,-2.3755e-07,-4.87969e-07,-1.85731e-08,5.32008e-07,5.29699e-07
0.17,-6.83598e-07,-5.43235e-07,4.45827e-07,9.24496e-07,3.22635e-07
0.18,1.99244e-07,4.76691e-07,1.56324e-07,-4.00878e-07,-2.74033e-07
0.19,-2.17165e-08,-7.63894e-07,2.52372e-07,1.64915e-06,5.82429e-07
0.2,1.66546e-07,7.22396e-07,-7.78745e-08,-5.09803e-07,-3.67675e-07
0.21,-9.60981e-08,-5.13819e-07,1.44446e-07,4.95604e-07,3.35976e-07
