time [s], average translational x-velocity cube 1 [m/s], average translational x-velocity cube 2 [m/s], average translational x-velocity cube 3 [m/s], average translational x-velocity  cube 4 [m/s], average translational x-velocity  cube 5 [m/s], average translational z-velocity  cube 1 [m/s], average translational z-velocity  cube 2 [m/s], average translational z-velocity  cube 3 [m/s], average translational z-velocity  cube 4 [m/s], average translational z-velocity  cube 5 [m/s]
0,-2.95828e-08,-3.51527e-08,-2.75046e-08,1.2328e-07,4.17602e-08,-4.39254e-08,1.73523e-07,-3.862e-08,1.05956e-09,6.56506e-08
0.01,-1.63383e-05,-4.58167e-05,3.94352e-05,7.97825e-05,1.3656e-05,-6.12272e-05,-0.000378947,-0.000547468,-0.000336736,-1.59971e-05
0.02,-6.53859e-06,-6.38546e-06,-2.46095e-06,5.522e-06,5.91863e-06,-4.14158e-06,-2.05982e-05,-2.51081e-05,-1.9354e-05,-6.12091e-06
0.03,3.70697e-06,5.5082e-06,2.18595e-06,-2.56467e-06,-1.02371e-06,3.71513e-06,3.68477e-06,2.43709e-06,7.83719e-06,3.54412e-06
0.04,-2.56593e-06,-2.91241e-06,1.24038e-07,1.5505e-06,1.28033e-06,-3.01026e-07,-3.69375e-07,-6.18142e-06,-3.09542e-06,-1.12137e-06
0.05,6.36329e-07,5.31218e-07,-2.41231e-07,-9.81635e-07,-1.26643e-06,2.59029e-06,2.70504e-06,4.0354e-06,4.30143e-06,3.06496e-06
0.06,1.23821e-06,2.53599e-06,1.38881e-07,-1.32151e-06,-1.31269e-06,1.02669e-06,7.73399e-07,-7.12089e-07,1.64057e-06,2.14774e-06
0.07,-3.26216e-07,-1.8866e-06,-6.61051e-07,1.445e-06,2.90744e-07,-1.92475e-07,-3.27735e-06,-4.31581e-06,-1.8296e-06,-5.9658e-08
0.08,6.46927e-07,1.02611e-06,-5.68992e-07,-1.92929e-06,-1.39732e-06,1.17097e-06,2.95436e-06,2.47124e-06,2.11055e-06,1.44595e-06
0.09,1.37498e-07,-4.06581e-07,-3.08157e-07,1.1119e-06,5.5659e-07,2.82945e-07,1.82334e-07,-2.97341e-07,5.95446e-08,1.2475e-06
0.1,1.1448e-06,2.13875e-07,8.80719e-07,-1.69128e-07,-9.04532e-07,-4.28061e-07,-1.94657e-06,-2.48705e-06,-1.24589e-06,-5.99049e-07
0.11,-5.55314e-08,-1.38597e-07,-1.52264e-07,-1.13057e-07,-4.02917e-07,2.63117e-07,1.28366e-06,1.6832e-06,1.53486e-06,1.47598e-07
0.12,-4.62983e-07,-1.20688e-06,-3.77601e-07,6.99389e-07,3.02116e-07,3.95156e-07,8.04124e-07,1.12875e-06,1.31328e-06,6.62158e-07
0.13,1.46183e-07,7.3673e-07,3.40568e-07,-1.00695e-06,-1.236e-07,-6.57587e-07,-3.28698e-07,-5.23782e-07,-9.16482e-07,-1.63072e-06
0.14,-6.31012e-07,-9.79655e-07,3.08486e-07,1.08685e-06,4.43275e-07,6.64734e-08,-4.77874e-07,1.46846e-06,6.34548e-07,-1.01224e-07
0.15,1.85425e-07,4.08813e-07,7.05706e-08,-6.80369e-07,-2.53509e-07,-1.17551e-07,4.44037e-07,1.54675e-06,4.17702e-07,-6.24938e-07
0.16,-5.86704e-08,-4.03391e-07,-2.82819e-07,5.8812e-07,4.06749e-07,-2.13047e-07,-5.3433e-07,-2.95196e-07,-7.07019e-07,3.7181e-07
0.17,-2.76494e-07,-3.29032e-07,4.55065e-08,3.07239e-07,3.88969e-07,-3.01775e-09,2.75015e-07,-2.34615e-08,-7.08802e-08,-2.75629e-07
0.18,1.78187e-07,2.93679e-07,5.66356e-08,-1.04456e-07,-5.71324e-08,-1.02994e-07,1.51737e-07,2.95314e-07,1.3659e-07,5.20505e-08
