date [s]	Average:Temperature (Study 01 - Particles) [K]
0	323,15
0,05	323,127
0,1	323,118
0,15	323,108
0,2	323,096
0,25	323,083
0,3	323,068
0,35	323,052
0,4	323,034
0,45	323,015
0,5	322,995
0,525	322,995
0,55	322,98
0,575	322,968
0,6	322,956
0,625	322,943
0,65	322,931
0,675	322,918
0,7	322,905
0,725	322,892
0,75	322,878
0,775	322,864
0,8	322,85
0,825	322,836
0,85	322,821
0,875	322,806
0,9	322,79
0,925	322,775
0,95	322,759
0,975	322,743
1	322,727
1,025	322,71
1,05	322,694
1,075	322,679
1,1	322,664
1,125	322,65
1,15	322,636
1,175	322,623
1,2	322,609
1,225	322,595
1,25	322,58
1,275	322,563
1,3	322,546
1,325	322,529
1,35	322,51
1,375	322,49
1,4	322,47
1,425	322,452
1,45	322,434
1,475	322,418
1,5	322,403
1,525	322,389
1,55	322,376
1,575	322,362
1,6	322,349
1,625	322,335
1,65	322,32
1,675	322,304
1,7	322,286
1,725	322,268
1,75	322,249
1,775	322,229
1,8	322,209
1,825	322,187
1,85	322,166
1,875	322,143
1,9	322,121
1,925	322,1
1,95	322,08
1,975	322,062
2	322,044
2,025	322,027
2,05	322,011
2,075	321,995
2,1	321,979
2,125	321,963
2,15	321,947
2,175	321,93
2,2	321,914
2,225	321,896
2,25	321,877
2,275	321,857
2,3	321,837
2,325	321,816
2,35	321,794
2,375	321,77
2,4	321,746
2,425	321,723
2,45	321,702
2,475	321,683
2,5	321,666
2,525	321,649
2,55	321,632
2,575	321,616
2,6	321,599
2,625	321,581
2,65	321,564
2,675	321,545
2,7	321,524
2,725	321,501
2,75	321,478
2,775	321,456
2,8	321,436
2,825	321,42
2,85	321,406
2,875	321,392
2,9	321,378
2,925	321,364
2,95	321,349
2,975	321,333
3	321,315
3,025	321,296
3,05	321,276
3,075	321,255
3,1	321,234
3,125	321,211
3,15	321,189
3,175	321,167
3,2	321,144
3,225	321,121
3,25	321,098
3,275	321,076
3,3	321,054
3,325	321,033
3,35	321,013
3,375	320,995
3,4	320,979
3,425	320,963
3,45	320,949
3,475	320,935
3,5	320,922
3,525	320,908
3,55	320,895
3,575	320,88
3,6	320,865
3,625	320,849
3,65	320,831
3,675	320,811
3,7	320,79
3,725	320,766
3,75	320,742
3,775	320,72
3,8	320,701
3,825	320,684
3,85	320,668
3,875	320,653
3,9	320,639
3,925	320,624
3,95	320,609
3,975	320,592
4	320,574
4,025	320,554
4,05	320,532
4,075	320,509
4,1	320,485
4,125	320,463
4,15	320,443
4,175	320,426
4,2	320,411
4,225	320,396
4,25	320,381
4,275	320,365
4,3	320,349
4,325	320,331
4,35	320,313
4,375	320,293
4,4	320,272
4,425	320,252
4,45	320,235
4,475	320,218
4,5	320,203
4,525	320,189
4,55	320,175
4,575	320,161
4,6	320,146
4,625	320,131
4,65	320,114
4,675	320,095
4,7	320,075
4,725	320,054
4,75	320,032
4,775	320,012
4,8	319,994
4,825	319,979
4,85	319,964
4,875	319,95
4,9	319,936
4,925	319,922
4,95	319,906
4,975	319,89
5	319,872
5,025	319,853
5,05	319,832
5,075	319,811
5,1	319,791
5,125	319,774
5,15	319,758
5,175	319,742
5,2	319,727
5,225	319,712
5,25	319,696
5,275	319,68
5,3	319,664
5,325	319,647
5,35	319,629
5,375	319,61
5,4	319,59
5,425	319,571
5,45	319,553
5,475	319,536
5,5	319,521
5,525	319,507
5,55	319,493
5,575	319,478
5,6	319,462
5,625	319,446
5,65	319,428
5,675	319,41
5,7	319,391
