date [s];Average:Temperature (Study 01 - Particles) [K]
0;323.15
0.05;323.127
0.1;323.118
0.15;323.108
0.2;323.096
0.25;323.083
0.3;323.068
0.35;323.052
0.4;323.034
0.45;323.015
0.5;322.995
0.5;322.995
0.525;322.98
0.55;322.968
0.575;322.956
0.6;322.943
0.625;322.931
0.65;322.918
0.675;322.905
0.7;322.892
0.725;322.878
0.75;322.864
0.775;322.85
0.8;322.836
0.825;322.821
0.85;322.806
0.875;322.79
0.9;322.775
0.925;322.759
0.95;322.743
0.975;322.727
1;322.71
1.025;322.694
1.05;322.679
1.075;322.664
1.1;322.65
1.125;322.636
1.15;322.623
1.175;322.609
1.2;322.595
1.225;322.58
1.25;322.563
1.275;322.546
1.3;322.529
1.325;322.51
1.35;322.49
1.375;322.47
1.4;322.452
1.425;322.434
1.45;322.418
1.475;322.403
1.5;322.389
1.525;322.376
1.55;322.362
1.575;322.349
1.6;322.335
1.625;322.32
1.65;322.304
1.675;322.286
1.7;322.268
1.725;322.249
1.75;322.229
1.775;322.209
1.8;322.187
1.825;322.166
1.85;322.143
1.875;322.121
1.9;322.1
1.925;322.08
1.95;322.062
1.975;322.044
2;322.027
2.025;322.011
2.05;321.995
2.075;321.979
2.1;321.963
2.125;321.947
2.15;321.93
2.175;321.914
2.2;321.896
2.225;321.877
2.25;321.857
2.275;321.837
2.3;321.816
2.325;321.794
2.35;321.77
2.375;321.746
2.4;321.723
2.425;321.702
2.45;321.683
2.475;321.666
2.5;321.649
2.525;321.632
2.55;321.616
2.575;321.599
2.6;321.581
2.625;321.564
2.65;321.545
2.675;321.524
2.7;321.501
2.725;321.478
2.75;321.456
2.775;321.436
2.8;321.42
2.825;321.406
2.85;321.392
2.875;321.378
2.9;321.364
2.925;321.349
2.95;321.333
2.975;321.315
3;321.296
3.025;321.276
3.05;321.255
3.075;321.234
3.1;321.211
3.125;321.189
3.15;321.167
3.175;321.144
3.2;321.121
3.225;321.098
3.25;321.076
3.275;321.054
3.3;321.033
3.325;321.013
3.35;320.995
3.375;320.979
3.4;320.963
3.425;320.949
3.45;320.935
3.475;320.922
3.5;320.908
3.525;320.895
3.55;320.88
3.575;320.865
3.6;320.849
3.625;320.831
3.65;320.811
3.675;320.79
3.7;320.766
3.725;320.742
3.75;320.72
3.775;320.701
3.8;320.684
3.825;320.668
3.85;320.653
3.875;320.639
3.9;320.624
3.925;320.609
3.95;320.592
3.975;320.574
4;320.554
4.025;320.532
4.05;320.509
4.075;320.485
4.1;320.463
4.125;320.443
4.15;320.426
4.175;320.411
4.2;320.396
4.225;320.381
4.25;320.365
4.275;320.349
4.3;320.331
4.325;320.313
4.35;320.293
4.375;320.272
4.4;320.252
4.425;320.235
4.45;320.218
4.475;320.203
4.5;320.189
4.525;320.175
4.55;320.161
4.575;320.146
4.6;320.131
4.625;320.114
4.65;320.095
4.675;320.075
4.7;320.054
4.725;320.032
4.75;320.012
4.775;319.994
4.8;319.979
4.825;319.964
4.85;319.95
4.875;319.936
4.9;319.922
4.925;319.906
4.95;319.89
4.975;319.872
5;319.853
5.025;319.832
5.05;319.811
5.075;319.791
5.1;319.774
5.125;319.758
5.15;319.742
5.175;319.727
5.2;319.712
5.225;319.696
5.25;319.68
5.275;319.664
5.3;319.647
5.325;319.629
5.35;319.61
5.375;319.59
5.4;319.571
5.425;319.553
5.45;319.536
5.475;319.521
5.5;319.507
5.525;319.493
5.55;319.478
5.575;319.462
5.6;319.446
5.625;319.428
5.65;319.41
5.675;319.391
5.7;319.371
5.725;319.35
5.75;319.33
5.775;319.31
5.8;319.29
5.825;319.272
5.85;319.256
5.875;319.239
5.9;319.224
5.925;319.208
5.95;319.192
5.975;319.175
6;319.157
6.025;319.138
6.05;319.12
6.075;319.101
6.1;319.081
6.125;319.061
6.15;319.04
6.175;319.019
6.2;318.998
6.225;318.977
6.25;318.958
6.275;318.941
6.3;318.925
6.325;318.911
6.35;318.897
6.375;318.884
6.4;318.87
6.425;318.856
6.45;318.842
6.475;318.827
6.5;318.81
6.525;318.792
6.55;318.773
6.575;318.753
6.6;318.733
6.625;318.711
6.65;318.691
6.675;318.674
6.7;318.657
6.725;318.642
6.75;318.629
6.775;318.616
6.8;318.602
6.825;318.587
6.85;318.572
6.875;318.555
6.9;318.538
6.925;318.518
6.95;318.497
6.975;318.477
7;318.456
7.025;318.434
7.05;318.413
7.075;318.394
7.1;318.377
7.125;318.362
7.15;318.348
7.175;318.333
7.2;318.319
7.225;318.305
7.25;318.29
7.275;318.275
7.3;318.258
7.325;318.24
7.35;318.221
7.375;318.202
7.4;318.184
7.425;318.168
7.45;318.154
7.475;318.139
7.5;318.124
7.525;318.11
7.55;318.094
7.575;318.078
7.6;318.06
7.625;318.042
7.65;318.023
7.675;318.003
7.7;317.983
7.725;317.962
7.75;317.943
7.775;317.925
7.8;317.908
7.825;317.893
7.85;317.879
7.875;317.865
7.9;317.851
7.925;317.836
7.95;317.821
7.975;317.805
8;317.789
8.025;317.773
8.05;317.755
8.075;317.738
8.1;317.721
8.125;317.705
8.15;317.69
8.175;317.677
8.2;317.663
8.225;317.649
8.25;317.635
8.275;317.619
8.3;317.602
8.325;317.584
8.35;317.565
8.375;317.546
8.4;317.526
8.425;317.508
8.45;317.488
8.475;317.469
8.5;317.45
8.525;317.431
8.55;317.413
8.575;317.397
8.6;317.382
8.625;317.368
8.65;317.354
8.675;317.34
8.7;317.326
8.725;317.312
8.75;317.297
8.775;317.283
8.8;317.267
8.825;317.25
8.85;317.232
8.875;317.215
8.9;317.198
8.925;317.183
8.95;317.169
8.975;317.156
9;317.143
9.025;317.13
9.05;317.116
9.075;317.102
9.1;317.086
9.125;317.069
9.15;317.051
9.175;317.032
9.2;317.016
9.225;317
9.25;316.986
9.275;316.972
9.3;316.958
9.325;316.945
9.35;316.93
9.375;316.915
9.4;316.899
9.425;316.882
9.45;316.863
9.475;316.844
9.5;316.826
9.525;316.809
9.55;316.793
9.575;316.779
9.6;316.765
9.625;316.753
9.65;316.739
9.675;316.724
9.7;316.709
9.725;316.694
9.75;316.678
9.775;316.661
9.8;316.643
9.825;316.625
9.85;316.606
9.875;316.588
9.9;316.57
9.925;316.554
9.95;316.54
9.975;316.527
10;316.514
