Date [s],Std. Deviation:Temperature (Study 01 - Particles) [K]
0,5.10852e-10
0.02,0.00153922
0.04,0.00395883
0.06,0.00572395
0.08,0.00725764
0.1,0.008974
0.12,0.0110895
0.14,0.0137054
0.16,0.0168621
0.18,0.020575
0.2,0.0248256
0.22,0.0295582
0.24,0.0347142
0.26,0.0402537
0.28,0.0461581
0.3,0.0524178
0.32,0.0590299
0.34,0.0659894
0.36,0.0732876
0.38,0.0809212
0.4,0.0888856
0.42,0.097173
0.44,0.105779
0.46,0.114701
0.48,0.123932
0.5,0.133468
0.52,0.143305
0.54,0.153441
0.56,0.163867
0.58,0.174581
0.6,0.185582
0.62,0.196865
0.64,0.208428
0.66,0.220269
0.68,0.232383
0.7,0.244766
0.72,0.257419
0.74,0.270334
0.76,0.283511
0.78,0.296946
0.8,0.310638
0.82,0.324581
0.84,0.338774
0.86,0.353216
0.88,0.3679
0.9,0.382826
0.92,0.397993
0.94,0.413393
0.96,0.429028
0.98,0.444894
1,0.460991
1.02,0.477306
1.04,0.493787
1.06,0.510368
1.08,0.526981
1.1,0.5436
1.12,0.560195
1.14,0.576707
1.16,0.593418
1.18,0.610575
1.2,0.628289
1.22,0.646593
1.24,0.665332
1.26,0.6843
1.28,0.703178
1.3,0.721912
1.32,0.740383
1.34,0.758608
1.36,0.776748
1.38,0.794884
1.4,0.813186
1.42,0.831806
1.44,0.850867
1.46,0.870547
1.48,0.890914
1.5,0.911929
1.52,0.933379
1.54,0.954659
1.56,0.975101
1.58,0.994498
1.6,1.0131
1.62,1.03144
1.64,1.04996
1.66,1.06887
1.68,1.08828
1.7,1.10861
1.72,1.13005
1.74,1.15253
1.76,1.1754
1.78,1.19755
1.8,1.21806
1.82,1.23682
1.84,1.25449
1.86,1.27113
1.88,1.28637
1.9,1.30014
1.92,1.31237
1.94,1.32304
1.96,1.33241
1.98,1.34115
2,1.34995
2.02,1.35923
2.04,1.3692
2.06,1.37989
2.08,1.39117
2.1,1.4028
2.12,1.41477
2.14,1.42725
2.16,1.44031
2.18,1.4538
2.2,1.4676
2.22,1.48136
2.24,1.49449
2.26,1.50557
2.28,1.51386
2.3,1.51988
2.32,1.52406
2.34,1.52669
2.36,1.52802
2.38,1.52817
2.4,1.52756
2.42,1.5266
2.44,1.52562
2.46,1.52487
2.48,1.52456
2.5,1.52471
2.52,1.52537
2.54,1.52587
2.56,1.52554
2.58,1.52414
2.6,1.52198
2.62,1.5194
2.64,1.51667
2.66,1.51408
2.68,1.5118
2.7,1.50983
2.72,1.50826
2.74,1.50729
2.76,1.50687
2.78,1.50671
2.8,1.50648
2.82,1.50602
2.84,1.50538
2.86,1.5046
2.88,1.50364
2.9,1.50236
2.92,1.50074
2.94,1.49881
2.96,1.49678
2.98,1.4946
3,1.49196
3.02,1.48876
3.04,1.48517
3.06,1.48143
3.08,1.47762
3.1,1.47385
3.12,1.47018
3.14,1.46671
3.16,1.46352
3.18,1.46062
3.2,1.45806
3.22,1.45587
3.24,1.45407
3.26,1.45279
3.28,1.45207
3.3,1.45172
3.32,1.45152
3.34,1.45135
3.36,1.45099
3.38,1.45023
3.4,1.44933
3.42,1.44858
3.44,1.44825
3.46,1.44843
3.48,1.44903
3.5,1.44987
3.52,1.45067
3.54,1.4512
3.56,1.45149
3.58,1.45154
3.6,1.45137
3.62,1.45089
3.64,1.45016
3.66,1.44933
3.68,1.44842
3.7,1.4474
3.72,1.44625
3.74,1.44505
3.76,1.44391
3.78,1.44296
3.8,1.44236
3.82,1.44203
3.84,1.44185
3.86,1.44178
3.88,1.44173
3.9,1.44164
3.92,1.44152
3.94,1.44139
3.96,1.44109
3.98,1.44039
4,1.43914
4.02,1.4374
4.04,1.43546
4.06,1.4335
4.08,1.43156
4.1,1.42956
4.12,1.42744
4.14,1.42516
4.16,1.42274
4.18,1.42013
4.2,1.4174
4.22,1.41471
4.24,1.4122
4.26,1.40992
4.28,1.40781
4.3,1.40573
4.32,1.40352
4.34,1.40127
4.36,1.3992
4.38,1.39739
4.4,1.39576
4.42,1.39418
4.44,1.39248
4.46,1.39045
4.48,1.38808
4.5,1.3855
4.52,1.3828
4.54,1.37999
4.56,1.37698
4.58,1.37383
4.6,1.37063
4.62,1.36751
4.64,1.36458
4.66,1.36199
4.68,1.35973
4.7,1.35768
4.72,1.35575
4.74,1.35382
4.76,1.35193
4.78,1.35016
4.8,1.34858
4.82,1.34722
4.84,1.34612
4.86,1.34531
4.88,1.3448
4.9,1.34454
4.92,1.34444
4.94,1.34445
4.96,1.34459
4.98,1.34489
5,1.3454
5.02,1.34623
5.04,1.34743
5.06,1.3489
5.08,1.35038
5.1,1.35156
5.12,1.35245
5.14,1.35336
