Date [s],Std. Deviation:Temperature (Study 01 - Particles) [K]
0,5.10852e-10
0.02,0.00171608
0.04,0.00429765
0.06,0.00609515
0.08,0.00766949
0.1,0.00946327
0.12,0.0116944
0.14,0.0144642
0.16,0.0178143
0.18,0.0217621
0.2,0.0262892
0.22,0.0313366
0.24,0.0368424
0.26,0.042766
0.28,0.0490889
0.3,0.0558028
0.32,0.0629057
0.34,0.0703936
0.36,0.0782582
0.38,0.086497
0.4,0.0951059
0.42,0.104078
0.44,0.113408
0.46,0.123096
0.48,0.133133
0.5,0.143517
0.52,0.154244
0.54,0.165311
0.56,0.176711
0.58,0.188441
0.6,0.200501
0.62,0.212887
0.64,0.225596
0.66,0.238627
0.68,0.251975
0.7,0.265638
0.72,0.279615
0.74,0.293899
0.76,0.30849
0.78,0.323385
0.8,0.338582
0.82,0.354076
0.84,0.369865
0.86,0.38595
0.88,0.402323
0.9,0.418983
0.92,0.435931
0.94,0.453157
0.96,0.470665
0.98,0.48845
1,0.506512
1.02,0.524836
1.04,0.543352
1.06,0.561969
1.08,0.580597
1.1,0.599181
1.12,0.617677
1.14,0.635991
1.16,0.654495
1.18,0.673523
1.2,0.693201
1.22,0.713612
1.24,0.734548
1.26,0.755779
1.28,0.776948
1.3,0.798003
1.32,0.818781
1.34,0.839232
1.36,0.859492
1.38,0.879677
1.4,0.899978
1.42,0.920643
1.44,0.941859
1.46,0.963842
1.48,0.986736
1.5,1.01047
1.52,1.03473
1.54,1.05884
1.56,1.08183
1.58,1.10345
1.6,1.12399
1.62,1.14417
1.64,1.16455
1.66,1.18541
1.68,1.2069
1.7,1.22955
1.72,1.25362
1.74,1.27908
1.76,1.30492
1.78,1.32987
1.8,1.35286
1.82,1.37372
1.84,1.39353
1.86,1.41227
1.88,1.42937
1.9,1.4448
1.92,1.45864
1.94,1.47086
1.96,1.4818
1.98,1.49212
2,1.50268
2.02,1.51393
2.04,1.52606
2.06,1.53902
2.08,1.55245
2.1,1.56614
2.12,1.57996
2.14,1.59424
2.16,1.60905
2.18,1.62435
2.2,1.63992
2.22,1.65536
2.24,1.66967
2.26,1.68104
2.28,1.68955
2.3,1.69588
2.32,1.70036
2.34,1.70324
2.36,1.70476
2.38,1.70527
2.4,1.70517
2.42,1.70496
2.44,1.7049
2.46,1.70508
2.48,1.70571
2.5,1.70674
2.52,1.70819
2.54,1.70971
2.56,1.71036
2.58,1.70974
2.6,1.70777
2.62,1.70502
2.64,1.70193
2.66,1.69887
2.68,1.69611
2.7,1.69375
2.72,1.69206
2.74,1.6912
2.76,1.69109
2.78,1.69152
2.8,1.69214
2.82,1.69265
2.84,1.69284
2.86,1.69239
2.88,1.69089
2.9,1.68816
2.92,1.68457
2.94,1.68053
2.96,1.67645
2.98,1.67268
3,1.66927
3.02,1.66614
3.04,1.66344
3.06,1.66134
3.08,1.65993
3.1,1.65895
3.12,1.65819
3.14,1.65766
3.16,1.65739
3.18,1.65743
3.2,1.65758
3.22,1.65732
3.24,1.65679
3.26,1.65633
3.28,1.6561
3.3,1.65622
3.32,1.65698
3.34,1.65854
3.36,1.6608
3.38,1.66328
3.4,1.66541
3.42,1.66691
3.44,1.66777
3.46,1.66778
3.48,1.66688
3.5,1.6654
3.52,1.66359
3.54,1.66155
3.56,1.65943
3.58,1.65726
3.6,1.65503
3.62,1.65289
3.64,1.65101
3.66,1.64944
3.68,1.64814
3.7,1.64708
3.72,1.64623
3.74,1.64557
3.76,1.64506
3.78,1.64445
3.8,1.64335
3.82,1.64171
3.84,1.6397
3.86,1.6376
3.88,1.63563
3.9,1.63384
3.92,1.6323
3.94,1.63115
3.96,1.6304
3.98,1.62997
4,1.62968
4.02,1.62947
4.04,1.62918
4.06,1.62841
4.08,1.62713
4.1,1.62541
4.12,1.6232
4.14,1.62047
4.16,1.61722
4.18,1.61344
4.2,1.60921
4.22,1.60481
4.24,1.60047
4.26,1.59633
4.28,1.59244
4.3,1.58879
4.32,1.58545
4.34,1.58243
4.36,1.57976
4.38,1.57744
4.4,1.57544
4.42,1.57379
4.44,1.57244
4.46,1.57118
4.48,1.56986
4.5,1.56852
4.52,1.56722
4.54,1.5659
4.56,1.56432
4.58,1.56237
