Thermodynamic Temperature [K],Temperature (Fraction) (Study 01 - Particles) [%]
"[310.070338 , 310.193482]",0.00107587
"[310.193482 , 310.316626]",0
"[310.316626 , 310.439770]",0
"[310.439770 , 310.562915]",0
"[310.562915 , 310.686059]",0
"[310.686059 , 310.809203]",0.00107587
"[310.809203 , 310.932347]",0.00107587
"[310.932347 , 311.055492]",0
"[311.055492 , 311.178636]",0.00215174
"[311.178636 , 311.301780]",0
"[311.301780 , 311.424924]",0
"[311.424924 , 311.548069]",0
"[311.548069 , 311.671213]",0.00107587
"[311.671213 , 311.794357]",0
"[311.794357 , 311.917502]",0.00322761
"[311.917502 , 312.040646]",0
"[312.040646 , 312.163790]",0.00107587
"[312.163790 , 312.286934]",0.00215174
"[312.286934 , 312.410079]",0.00107587
"[312.410079 , 312.533223]",0.00430348
"[312.533223 , 312.656367]",0.00322761
"[312.656367 , 312.779511]",0.00215174
"[312.779511 , 312.902656]",0.00430348
"[312.902656 , 313.025800]",0.00537935
"[313.025800 , 313.148944]",0.00430348
"[313.148944 , 313.272088]",0.00215174
"[313.272088 , 313.395233]",0.00968283
"[313.395233 , 313.518377]",0.00860696
"[313.518377 , 313.641521]",0.00322761
"[313.641521 , 313.764666]",0.00860696
"[313.764666 , 313.887810]",0.0107587
"[313.887810 , 314.010954]",0.0107587
"[314.010954 , 314.134098]",0.0172139
"[314.134098 , 314.257243]",0.0129104
"[314.257243 , 314.380387]",0.0225933
"[314.380387 , 314.503531]",0.0387313
"[314.503531 , 314.626675]",0.0376555
"[314.626675 , 314.749820]",0.058097
"[314.749820 , 314.872964]",0.0537935
"[314.872964 , 314.996108]",0.0677798
"[314.996108 , 315.119252]",0.0839179
"[315.119252 , 315.242397]",0.0903731
"[315.242397 , 315.365541]",0.129104
"[315.365541 , 315.488685]",0.142015
"[315.488685 , 315.611830]",0.151698
"[315.611830 , 315.734974]",0.156001
"[315.734974 , 315.858118]",0.164608
"[315.858118 , 315.981262]",0.180746
"[315.981262 , 316.104407]",0.200112
"[316.104407 , 316.227551]",0.227009
"[316.227551 , 316.350695]",0.217326
"[316.350695 , 316.473839]",0.272195
"[316.473839 , 316.596984]",0.288333
"[316.596984 , 316.720128]",0.321685
"[316.720128 , 316.843272]",0.335672
"[316.843272 , 316.966416]",0.350734
"[316.966416 , 317.089561]",0.374403
"[317.089561 , 317.212705]",0.430348
"[317.212705 , 317.335849]",0.417438
"[317.335849 , 317.458994]",0.499204
"[317.458994 , 317.582138]",0.522873
"[317.582138 , 317.705282]",0.578818
"[317.705282 , 317.828426]",0.586349
"[317.828426 , 317.951571]",0.645522
"[317.951571 , 318.074715]",0.703619
"[318.074715 , 318.197859]",0.838103
"[318.197859 , 318.321003]",0.904807
"[318.321003 , 318.444148]",0.977966
"[318.444148 , 318.567292]",1.06942
"[318.567292 , 318.690436]",1.1684
"[318.690436 , 318.813580]",1.25124
"[318.813580 , 318.936725]",1.52881
"[318.936725 , 319.059869]",1.51913
"[319.059869 , 319.183013]",1.78379
"[319.183013 , 319.306158]",1.93011
"[319.306158 , 319.429302]",2.15066
"[319.429302 , 319.552446]",2.46159
"[319.552446 , 319.675590]",2.55412
"[319.675590 , 319.798735]",2.94681
"[319.798735 , 319.921879]",2.99845
"[319.921879 , 320.045023]",3.18996
"[320.045023 , 320.168167]",3.52132
"[320.168167 , 320.291312]",3.74618
"[320.291312 , 320.414456]",4.07217
"[320.414456 , 320.537600]",4.31639
"[320.537600 , 320.660744]",4.64346
"[320.660744 , 320.783889]",4.9092
"[320.783889 , 320.907033]",5.00602
"[320.907033 , 321.030177]",5.20076
"[321.030177 , 321.153322]",5.12007
"[321.153322 , 321.276466]",5.00387
"[321.276466 , 321.399610]",4.43581
"[321.399610 , 321.522754]",3.88712
"[321.522754 , 321.645899]",3.16521
"[321.645899 , 321.769043]",2.43685
"[321.769043 , 321.892187]",1.64823
"[321.892187 , 322.015331]",0.837027
"[322.015331 , 322.138476]",0.26574
"[322.138476 , 322.261620]",0.0344279
"[322.261620 , 322.384764]",0.00645522
