Thermodynamic Temperature [K],Temperature (Fraction) (Study 01 - Particles) [%]
"[307.373658 , 307.523669]",0.00107587
"[307.523669 , 307.673680]",0
"[307.673680 , 307.823691]",0
"[307.823691 , 307.973703]",0
"[307.973703 , 308.123714]",0
"[308.123714 , 308.273725]",0
"[308.273725 , 308.423737]",0
"[308.423737 , 308.573748]",0
"[308.573748 , 308.723759]",0
"[308.723759 , 308.873771]",0.00107587
"[308.873771 , 309.023782]",0
"[309.023782 , 309.173793]",0
"[309.173793 , 309.323805]",0
"[309.323805 , 309.473816]",0
"[309.473816 , 309.623827]",0.00107587
"[309.623827 , 309.773838]",0.00107587
"[309.773838 , 309.923850]",0
"[309.923850 , 310.073861]",0
"[310.073861 , 310.223872]",0
"[310.223872 , 310.373884]",0
"[310.373884 , 310.523895]",0.00215174
"[310.523895 , 310.673906]",0.00107587
"[310.673906 , 310.823918]",0.00215174
"[310.823918 , 310.973929]",0.00430348
"[310.973929 , 311.123940]",0.00215174
"[311.123940 , 311.273952]",0.00322761
"[311.273952 , 311.423963]",0.00645522
"[311.423963 , 311.573974]",0.00537935
"[311.573974 , 311.723985]",0.00430348
"[311.723985 , 311.873997]",0.00753109
"[311.873997 , 312.024008]",0.00753109
"[312.024008 , 312.174019]",0.00753109
"[312.174019 , 312.324031]",0.00753109
"[312.324031 , 312.474042]",0.00753109
"[312.474042 , 312.624053]",0.00645522
"[312.624053 , 312.774065]",0.00968283
"[312.774065 , 312.924076]",0.00860696
"[312.924076 , 313.074087]",0.0150622
"[313.074087 , 313.224099]",0.0172139
"[313.224099 , 313.374110]",0.0236691
"[313.374110 , 313.524121]",0.0258209
"[313.524121 , 313.674132]",0.0398072
"[313.674132 , 313.824144]",0.0484142
"[313.824144 , 313.974155]",0.0451866
"[313.974155 , 314.124166]",0.0570211
"[314.124166 , 314.274178]",0.0602487
"[314.274178 , 314.424189]",0.082842
"[314.424189 , 314.574200]",0.0720833
"[314.574200 , 314.724212]",0.105435
"[314.724212 , 314.874223]",0.108663
"[314.874223 , 315.024234]",0.120497
"[315.024234 , 315.174246]",0.136636
"[315.174246 , 315.324257]",0.151698
"[315.324257 , 315.474268]",0.186126
"[315.474268 , 315.624280]",0.178594
"[315.624280 , 315.774291]",0.221629
"[315.774291 , 315.924302]",0.230236
"[315.924302 , 316.074313]",0.293713
"[316.074313 , 316.224325]",0.26574
"[316.224325 , 316.374336]",0.320609
"[316.374336 , 316.524347]",0.352885
"[316.524347 , 316.674359]",0.402376
"[316.674359 , 316.824370]",0.473383
"[316.824370 , 316.974381]",0.505659
"[316.974381 , 317.124393]",0.589577
"[317.124393 , 317.274404]",0.620777
"[317.274404 , 317.424415]",0.663812
"[317.424415 , 317.574427]",0.759564
"[317.574427 , 317.724438]",0.813358
"[317.724438 , 317.874449]",0.868227
"[317.874449 , 318.024460]",0.887593
"[318.024460 , 318.174472]",1.0834
"[318.174472 , 318.324483]",1.15548
"[318.324483 , 318.474494]",1.30826
"[318.474494 , 318.624506]",1.43521
"[318.624506 , 318.774517]",1.53527
"[318.774517 , 318.924528]",1.69772
"[318.924528 , 319.074540]",1.95701
"[319.074540 , 319.224551]",2.12807
"[319.224551 , 319.374562]",2.38628
"[319.374562 , 319.524574]",2.65955
"[319.524574 , 319.674585]",2.92314
"[319.674585 , 319.824596]",3.19534
"[319.824596 , 319.974607]",3.63214
"[319.974607 , 320.124619]",3.90111
"[320.124619 , 320.274630]",4.17976
"[320.274630 , 320.424641]",4.53157
"[320.424641 , 320.574653]",4.949
"[320.574653 , 320.724664]",5.24379
"[320.724664 , 320.874675]",5.39764
"[320.874675 , 321.024687]",5.57839
"[321.024687 , 321.174698]",5.53858
"[321.174698 , 321.324709]",5.45036
"[321.324709 , 321.474721]",5.25778
"[321.474721 , 321.624732]",4.69833
"[321.624732 , 321.774743]",3.73219
"[321.774743 , 321.924754]",2.70474
"[321.924754 , 322.074766]",1.26845
"[322.074766 , 322.224777]",0.527176
"[322.224777 , 322.374788]",0.102208
