Date [s],Average:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.127
0.04,323.121
0.06,323.119
0.08,323.118
0.1,323.117
0.12,323.116
0.14,323.115
0.16,323.114
0.18,323.113
0.2,323.111
0.22,323.11
0.24,323.108
0.26,323.106
0.28,323.104
0.3,323.101
0.32,323.099
0.34,323.096
0.36,323.093
0.38,323.091
0.4,323.087
0.42,323.084
0.44,323.081
0.46,323.077
0.48,323.074
0.5,323.07
0.52,323.066
0.54,323.062
0.56,323.057
0.58,323.053
0.6,323.048
0.62,323.044
0.64,323.039
0.66,323.034
0.68,323.029
0.7,323.023
0.72,323.018
0.74,323.012
0.76,323.006
0.78,323
0.8,322.994
0.82,322.988
0.84,322.981
0.86,322.975
0.88,322.968
0.9,322.961
0.92,322.954
0.94,322.947
0.96,322.939
0.98,322.932
1,322.924
1.02,322.916
1.04,322.908
1.06,322.9
1.08,322.892
1.1,322.884
1.12,322.875
1.14,322.867
1.16,322.858
1.18,322.849
1.2,322.84
1.22,322.83
1.24,322.82
1.26,322.81
1.28,322.799
1.3,322.789
1.32,322.779
1.34,322.769
1.36,322.758
1.38,322.748
1.4,322.738
1.42,322.727
1.44,322.716
1.46,322.704
1.48,322.692
1.5,322.68
1.52,322.668
1.54,322.655
1.56,322.642
1.58,322.63
1.6,322.619
1.62,322.607
1.64,322.595
1.66,322.582
1.68,322.57
1.7,322.557
1.72,322.543
1.74,322.529
1.76,322.514
1.78,322.5
1.8,322.486
1.82,322.471
1.84,322.457
1.86,322.442
1.88,322.428
1.9,322.415
1.92,322.402
1.94,322.388
1.96,322.375
1.98,322.361
2,322.346
2.02,322.331
2.04,322.315
2.06,322.299
2.08,322.283
2.1,322.267
2.12,322.251
2.14,322.236
2.16,322.221
2.18,322.206
2.2,322.192
2.22,322.177
2.24,322.161
2.26,322.144
2.28,322.128
2.3,322.112
2.32,322.097
2.34,322.083
2.36,322.069
2.38,322.056
2.4,322.041
2.42,322.027
2.44,322.011
2.46,321.995
2.48,321.978
2.5,321.96
2.52,321.943
2.54,321.927
2.56,321.913
2.58,321.9
2.6,321.887
2.62,321.874
2.64,321.861
2.66,321.847
2.68,321.833
2.7,321.818
2.72,321.801
2.74,321.785
2.76,321.768
2.78,321.752
2.8,321.736
2.82,321.721
2.84,321.706
2.86,321.692
2.88,321.678
2.9,321.664
2.92,321.65
2.94,321.634
2.96,321.619
2.98,321.603
3,321.588
3.02,321.572
3.04,321.557
3.06,321.542
3.08,321.528
3.1,321.514
3.12,321.499
3.14,321.484
3.16,321.469
3.18,321.455
3.2,321.44
3.22,321.425
3.24,321.41
3.26,321.394
3.28,321.379
3.3,321.364
3.32,321.349
3.34,321.335
3.36,321.32
3.38,321.306
3.4,321.292
3.42,321.277
3.44,321.262
3.46,321.246
3.48,321.231
3.5,321.215
3.52,321.199
3.54,321.184
3.56,321.169
3.58,321.155
3.6,321.141
3.62,321.126
3.64,321.112
3.66,321.097
3.68,321.082
3.7,321.067
3.72,321.052
3.74,321.036
3.76,321.021
3.78,321.005
3.8,320.99
3.82,320.976
3.84,320.961
3.86,320.946
3.88,320.932
3.9,320.917
3.92,320.902
3.94,320.887
3.96,320.873
3.98,320.858
4,320.843
4.02,320.828
4.04,320.813
4.06,320.798
4.08,320.784
4.1,320.769
4.12,320.754
4.14,320.74
4.16,320.725
4.18,320.711
4.2,320.696
4.22,320.681
4.24,320.666
4.26,320.652
4.28,320.637
4.3,320.622
4.32,320.608
4.34,320.594
4.36,320.579
4.38,320.565
4.4,320.55
4.42,320.535
4.44,320.519
4.46,320.504
4.48,320.49
4.5,320.475
4.52,320.461
4.54,320.447
4.56,320.433
4.58,320.418
4.6,320.404
4.62,320.389
4.64,320.375
4.66,320.36
4.68,320.345
4.7,320.331
4.72,320.316
4.74,320.302
4.76,320.287
4.78,320.272
4.8,320.257
4.82,320.243
4.84,320.228
4.86,320.213
4.88,320.198
4.9,320.183
4.92,320.169
4.94,320.154
4.96,320.14
4.98,320.126
5,320.111
5.02,320.097
5.04,320.082
5.06,320.066
5.08,320.051
5.1,320.036
5.12,320.021
5.14,320.007
