Date [s],Min:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.121
0.04,323.103
0.06,323.083
0.08,323.068
0.1,323.054
0.12,323.042
0.14,323.034
0.16,323.027
0.18,323.01
0.2,322.99
0.22,322.967
0.24,322.943
0.26,322.918
0.28,322.891
0.3,322.861
0.32,322.828
0.34,322.793
0.36,322.758
0.38,322.72
0.4,322.682
0.42,322.641
0.44,322.6
0.46,322.557
0.48,322.513
0.5,322.467
0.52,322.42
0.54,322.372
0.56,322.323
0.58,322.272
0.6,322.221
0.62,322.168
0.64,322.114
0.66,322.059
0.68,322.003
0.7,321.945
0.72,321.887
0.74,321.828
0.76,321.767
0.78,321.706
0.8,321.644
0.82,321.58
0.84,321.516
0.86,321.451
0.88,321.384
0.9,321.317
0.92,321.25
0.94,321.181
0.96,321.111
0.98,321.041
1,320.97
1.02,320.898
1.04,320.825
1.06,320.751
1.08,320.676
1.1,320.601
1.12,320.524
1.14,320.444
1.16,320.363
1.18,320.278
1.2,320.192
1.22,320.105
1.24,320.019
1.26,319.934
1.28,319.849
1.3,319.764
1.32,319.679
1.34,319.593
1.36,319.505
1.38,319.418
1.4,319.329
1.42,319.24
1.44,319.148
1.46,319.056
1.48,318.961
1.5,318.866
1.52,318.773
1.54,318.68
1.56,318.589
1.58,318.5
1.6,318.413
1.62,318.326
1.64,318.237
1.66,318.147
1.68,318.056
1.7,317.963
1.72,317.865
1.74,317.768
1.76,317.672
1.78,317.583
1.8,317.497
1.82,317.412
1.84,317.327
1.86,317.246
1.88,317.168
1.9,317.092
1.92,317.017
1.94,316.94
1.96,316.862
1.98,316.777
2,316.686
2.02,316.591
2.04,316.494
2.06,316.405
2.08,316.319
2.1,316.244
2.12,316.173
2.14,316.1
2.16,316.022
2.18,315.94
2.2,315.854
2.22,315.766
2.24,315.69
2.26,315.62
2.28,315.57
2.3,315.528
2.32,315.506
2.34,315.495
2.36,315.491
2.38,315.458
2.4,315.4
2.42,315.308
2.44,315.218
2.46,315.131
2.48,315.048
2.5,314.97
2.52,314.899
2.54,314.823
2.56,314.742
2.58,314.659
2.6,314.579
2.62,314.498
2.64,314.413
2.66,314.326
2.68,314.241
2.7,314.157
2.72,314.074
2.74,313.994
2.76,313.915
2.78,313.84
2.8,313.769
2.82,313.698
2.84,313.623
2.86,313.553
2.88,313.498
2.9,313.455
2.92,313.413
2.94,313.379
2.96,313.367
2.98,313.359
3,313.358
3.02,313.367
3.04,313.38
3.06,313.397
3.08,313.332
3.1,313.257
3.12,313.204
3.14,313.157
3.16,313.111
3.18,313.08
3.2,313.065
3.22,313.052
3.24,313.006
3.26,312.937
3.28,312.87
3.3,312.803
3.32,312.734
3.34,312.662
3.36,312.587
3.38,312.529
3.4,312.497
3.42,312.463
3.44,312.425
3.46,312.398
3.48,312.38
3.5,312.351
3.52,312.287
3.54,312.225
3.56,312.166
3.58,312.106
3.6,312.044
3.62,311.98
3.64,311.915
3.66,311.871
3.68,311.814
3.7,311.753
3.72,311.69
3.74,311.626
3.76,311.561
3.78,311.497
3.8,311.432
3.82,311.371
3.84,311.312
3.86,311.255
3.88,311.198
3.9,311.141
3.92,311.082
3.94,311.023
3.96,310.962
3.98,310.9
4,310.837
4.02,310.775
4.04,310.715
4.06,310.655
4.08,310.597
4.1,310.539
4.12,310.478
4.14,310.416
4.16,310.353
4.18,310.293
4.2,310.236
4.22,310.18
4.24,310.124
4.26,310.066
4.28,310.009
4.3,309.955
4.32,309.917
4.34,309.879
4.36,309.84
4.38,309.802
4.4,309.765
4.42,309.731
4.44,309.698
4.46,309.68
4.48,309.667
4.5,309.651
4.52,309.642
4.54,309.639
4.56,309.64
4.58,309.654
4.6,309.673
4.62,309.695
4.64,309.719
4.66,309.745
4.68,309.769
4.7,309.797
4.72,309.824
4.74,309.853
4.76,309.882
4.78,309.909
4.8,309.936
4.82,309.961
4.84,309.986
4.86,310.011
4.88,310.034
4.9,310.052
4.92,310.059
4.94,310.07
4.96,310.071
4.98,310.071
5,310.07
5.02,310.06
5.04,310.042
5.06,310.015
5.08,309.978
5.1,309.947
5.12,309.933
5.14,309.932
