Date [s],Min:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.121
0.04,323.103
0.06,323.083
0.08,323.068
0.1,323.054
0.12,323.042
0.14,323.034
0.16,323.027
0.18,323.01
0.2,322.99
0.22,322.967
0.24,322.943
0.26,322.918
0.28,322.891
0.3,322.861
0.32,322.828
0.34,322.793
0.36,322.758
0.38,322.72
0.4,322.682
0.42,322.641
0.44,322.6
0.46,322.557
0.48,322.513
0.5,322.467
0.52,322.42
0.54,322.372
0.56,322.323
0.58,322.272
0.6,322.221
0.62,322.168
0.64,322.114
0.66,322.059
0.68,322.003
0.7,321.945
0.72,321.887
0.74,321.828
0.76,321.767
0.78,321.706
0.8,321.644
0.82,321.58
0.84,321.516
0.86,321.451
0.88,321.384
0.9,321.317
0.92,321.25
0.94,321.181
0.96,321.111
0.98,321.041
1,320.97
1.02,320.898
1.04,320.825
1.06,320.751
1.08,320.676
1.1,320.601
1.12,320.524
1.14,320.444
1.16,320.363
1.18,320.278
1.2,320.192
1.22,320.105
1.24,320.019
1.26,319.933
1.28,319.848
1.3,319.762
1.32,319.676
1.34,319.591
1.36,319.505
1.38,319.417
1.4,319.33
1.42,319.239
1.44,319.147
1.46,319.054
1.48,318.96
1.5,318.864
1.52,318.768
1.54,318.673
1.56,318.58
1.58,318.488
1.6,318.398
1.62,318.329
1.64,318.252
1.66,318.174
1.68,318.097
1.7,318.019
1.72,317.939
1.74,317.847
1.76,317.756
1.78,317.666
1.8,317.58
1.82,317.495
1.84,317.409
1.86,317.327
1.88,317.248
1.9,317.174
1.92,317.1
1.94,317.024
1.96,316.944
1.98,316.859
2,316.768
2.02,316.674
2.04,316.58
2.06,316.487
2.08,316.409
2.1,316.356
2.12,316.294
2.14,316.222
2.16,316.149
2.18,316.072
2.2,315.992
2.22,315.911
2.24,315.825
2.26,315.742
2.28,315.669
2.3,315.605
2.32,315.541
2.34,315.49
2.36,315.443
2.38,315.379
2.4,315.31
2.42,315.218
2.44,315.13
2.46,315.042
2.48,314.957
2.5,314.878
2.52,314.806
2.54,314.736
2.56,314.661
2.58,314.581
2.6,314.502
2.62,314.422
2.64,314.339
2.66,314.254
2.68,314.167
2.7,314.083
2.72,314.001
2.74,313.92
2.76,313.841
2.78,313.764
2.8,313.688
2.82,313.618
2.84,313.547
2.86,313.473
2.88,313.393
2.9,313.314
2.92,313.233
2.94,313.153
2.96,313.107
2.98,313.068
3,313.027
3.02,312.992
3.04,312.971
3.06,312.944
3.08,312.936
3.1,312.928
3.12,312.908
3.14,312.905
3.16,312.908
3.18,312.911
3.2,312.915
3.22,312.906
3.24,312.839
3.26,312.797
3.28,312.754
3.3,312.717
3.32,312.676
3.34,312.612
3.36,312.549
3.38,312.509
3.4,312.473
3.42,312.438
3.44,312.402
3.46,312.361
3.48,312.317
3.5,312.269
3.52,312.217
3.54,312.166
3.56,312.124
3.58,312.064
3.6,312.003
3.62,311.939
3.64,311.873
3.66,311.808
3.68,311.748
3.7,311.688
3.72,311.628
3.74,311.57
3.76,311.512
3.78,311.453
3.8,311.393
3.82,311.333
3.84,311.27
3.86,311.207
3.88,311.144
3.9,311.082
3.92,311.019
3.94,310.956
3.96,310.893
3.98,310.83
4,310.769
4.02,310.71
4.04,310.651
4.06,310.594
4.08,310.541
4.1,310.487
4.12,310.432
4.14,310.375
4.16,310.315
4.18,310.253
4.2,310.192
4.22,310.133
4.24,310.076
4.26,310.018
4.28,309.96
4.3,309.901
4.32,309.841
4.34,309.788
4.36,309.745
4.38,309.7
4.4,309.656
4.42,309.614
4.44,309.571
4.46,309.527
4.48,309.484
4.5,309.442
4.52,309.402
4.54,309.375
4.56,309.361
4.58,309.353
4.6,309.357
4.62,309.371
4.64,309.391
4.66,309.417
4.68,309.45
4.7,309.481
4.72,309.512
4.74,309.54
4.76,309.564
4.78,309.587
4.8,309.609
4.82,309.633
4.84,309.665
4.86,309.699
4.88,309.703
4.9,309.645
4.92,309.587
4.94,309.528
4.96,309.47
4.98,309.414
5,309.36
5.02,309.307
5.04,309.252
5.06,309.195
5.08,309.139
5.1,309.081
5.12,309.024
5.14,308.976
5.16,308.936
5.18,308.896
5.2,308.855
5.22,308.818
5.24,308.803
5.26,308.793
5.28,308.783
5.3,308.786
5.32,308.789
5.34,308.801
5.36,308.817
5.38,308.835
5.4,308.854
5.42,308.871
5.44,308.887
5.46,308.895
5.48,308.905
5.5,308.917
5.52,308.932
5.54,308.95
5.56,308.974
5.58,309.003
5.6,309.035
5.62,309.068
5.64,309.099
5.66,309.126
5.68,309.15
5.7,309.173
5.72,309.192
5.74,309.215
5.76,309.247
5.78,309.285
5.8,309.321
5.82,309.354
5.84,309.385
5.86,309.415
5.88,309.443
5.9,309.471
5.92,309.501
5.94,309.535
5.96,309.572
5.98,309.611
6,309.651
6.02,309.69
6.04,309.728
6.06,309.765
6.08,309.802
6.1,309.84
6.12,309.876
6.14,309.909
