Date [s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-1.65059e-08,-2.23675e-08,-7.13467e-08,-3.73264e-07,1.37128e-07
0.02,1.33604e-06,3.08257e-06,4.53621e-06,2.19026e-06,-1.82737e-06
0.04,3.80335e-07,4.97344e-06,6.95766e-06,4.81903e-06,1.96537e-06
0.06,2.2884e-06,3.09505e-06,4.52603e-06,2.97865e-06,8.23345e-07
0.08,1.24613e-06,1.59971e-06,3.02633e-06,1.77787e-06,4.8313e-07
0.1,1.02492e-08,1.91017e-06,1.73712e-06,1.4759e-06,1.15711e-06
0.12,3.85925e-07,1.51741e-06,5.95176e-07,7.44099e-07,-2.74939e-07
0.14,3.41857e-07,5.65337e-07,-2.70359e-07,-3.10196e-07,1.63409e-07
0.16,1.47476e-08,-2.15821e-07,-6.48514e-07,-9.19214e-07,-3.14741e-07
0.18,5.70618e-07,-2.42339e-07,-1.32216e-06,-3.96315e-07,-1.65656e-07
0.2,4.46849e-07,3.92741e-07,-7.4729e-07,-2.5171e-07,-4.06838e-07
0.22,2.60012e-07,2.05263e-07,-2.69978e-07,1.12018e-07,-1.4575e-07
0.24,1.04939e-07,1.96827e-07,6.23226e-08,1.1993e-07,-9.07105e-08
0.26,-6.13611e-08,9.29439e-08,6.71143e-08,2.09527e-07,5.54905e-08
0.28,-2.44357e-08,2.0143e-07,8.66938e-08,2.37286e-07,7.4547e-08
0.3,2.14862e-07,2.87905e-08,2.89966e-08,1.81975e-07,1.25846e-07
0.32,8.30464e-08,-7.92256e-08,4.94185e-08,-1.18016e-08,1.85981e-07
0.34,4.44302e-07,1.08702e-07,3.20585e-08,1.13161e-07,3.95146e-08
0.36,3.24995e-07,9.35297e-08,1.08645e-07,2.35064e-07,1.32136e-07
0.38,2.72574e-07,5.81337e-08,1.41054e-07,2.8434e-07,2.52904e-07
0.4,8.92817e-08,2.15367e-07,2.78422e-07,2.9024e-07,1.9842e-07
0.42,-1.64082e-07,3.20736e-07,5.2569e-07,-1.96113e-07,2.33444e-07
0.44,1.0745e-07,2.31576e-07,2.55033e-07,3.22563e-07,4.00256e-07
0.46,4.43592e-07,4.6233e-07,4.61781e-07,6.91525e-08,1.78138e-07
0.48,4.89922e-07,3.56605e-07,4.93212e-07,4.18108e-07,6.17352e-07
0.5,5.2151e-07,4.66157e-07,5.53599e-07,6.68316e-07,1.78759e-07
