date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-6.9631e-08,-5.68665e-08,-2.09753e-08,1.74088e-07,5.57837e-08
0.01,-2.14939e-05,-5.43522e-05,3.74482e-05,9.34884e-05,1.61846e-05
0.02,-8.75511e-06,-8.67517e-06,-3.17237e-06,5.84886e-06,6.3812e-06
0.03,4.72612e-06,5.96618e-06,2.21604e-06,-2.38832e-06,-9.35969e-07
0.04,-3.64422e-06,-2.82588e-06,6.91241e-07,2.17877e-06,1.18437e-06
0.05,5.01229e-07,2.30768e-07,-8.86558e-07,-1.65643e-06,-1.14277e-06
0.06,1.8004e-06,2.84075e-06,-1.05608e-07,-1.9029e-06,-1.30882e-06
0.07,7.76009e-10,-4.90548e-07,-2.3171e-08,1.94529e-06,1.95953e-07
0.08,1.50428e-06,1.1371e-06,-5.09995e-07,-2.08757e-06,-1.69039e-06
0.09,-9.45461e-07,-7.81438e-07,-6.15416e-07,4.39621e-07,7.34736e-07
0.1,7.51588e-07,2.54664e-07,1.7784e-07,-8.40008e-07,-1.09639e-06
0.11,-3.18618e-08,2.25052e-07,-2.85701e-07,1.28247e-07,-1.02978e-07
0.12,3.75381e-09,-9.03927e-07,4.94875e-08,7.24394e-07,3.44784e-07
0.13,2.98319e-07,8.68564e-07,-2.18877e-07,-1.08254e-06,-2.30557e-07
0.14,-3.73098e-07,-1.0848e-06,5.21424e-07,1.0901e-06,-1.55181e-08
0.15,2.47638e-07,6.75343e-07,-4.43737e-07,-6.36566e-07,-3.5758e-08
0.16,-3.60398e-07,-3.8465e-07,5.02735e-08,2.53209e-07,4.10368e-07
0.17,-4.16561e-07,5.80284e-09,1.88333e-07,4.47895e-07,2.40507e-07
0.18,3.3641e-08,2.77608e-07,7.43603e-08,1.14371e-07,2.55757e-07
0.19,-1.82063e-07,1.17894e-08,-9.77875e-08,2.27701e-07,3.42446e-07
0.2,-4.96156e-09,1.67973e-08,-1.37225e-08,-1.70828e-07,-1.03218e-07
0.21,-9.17343e-08,-8.74811e-08,-1.01582e-09,6.97794e-08,2.53577e-08
0.22,4.54095e-08,7.05154e-08,2.16623e-08,-1.41039e-08,-5.32957e-08
0.23,-5.25511e-09,-1.31178e-08,9.79223e-09,2.39893e-08,-3.55535e-08
0.24,3.64335e-08,5.42804e-08,7.5946e-09,-2.19672e-08,-6.65927e-08
0.25,1.18741e-08,-3.7461e-08,-1.02379e-08,4.38171e-08,-2.5413e-08
0.26,-7.27189e-10,-8.24226e-09,6.98124e-08,1.04639e-07,-3.2861e-08
0.27,-1.36232e-08,-4.22668e-08,6.06131e-08,1.03574e-08,-6.81543e-08
0.28,-2.96371e-08,-6.95493e-08,4.51202e-08,6.13558e-08,-4.96397e-08
0.29,1.72115e-08,-4.29038e-08,4.78321e-08,3.32993e-08,-8.45963e-08
0.3,-9.34979e-09,-7.71324e-08,2.16834e-08,4.96641e-08,-2.54103e-08
0.31,-1.72661e-08,-6.70916e-09,5.26307e-08,4.80078e-08,-1.4396e-08
0.32,2.36202e-08,-1.46907e-08,2.77655e-08,3.37243e-08,-2.91995e-08
0.33,2.27092e-08,-6.24186e-08,-3.11503e-08,-2.50361e-09,-7.54455e-09
0.34,6.45887e-09,8.59198e-08,1.14005e-09,-6.54032e-08,-2.90191e-08
0.35,7.95201e-08,1.64501e-07,6.55652e-08,-6.45156e-08,-2.59359e-08
0.36,-5.98561e-08,7.93202e-08,9.82369e-08,3.31975e-08,-2.0931e-08
0.37,4.52364e-08,2.34841e-07,7.85576e-08,-1.42279e-07,-3.09786e-08
0.38,5.10464e-08,2.90623e-07,7.16932e-09,-1.43349e-07,-4.19275e-08
0.39,6.92987e-08,2.07266e-07,8.43198e-09,-1.03238e-07,-1.89668e-08
0.4,5.04806e-08,2.44014e-07,-5.04166e-09,-1.27563e-07,-5.64855e-08
0.41,7.8074e-08,1.93906e-07,-2.93077e-08,-9.59862e-08,-5.50621e-08
0.42,2.12266e-07,2.95693e-07,-3.13806e-08,-1.34112e-07,-1.16903e-07
0.43,8.21978e-08,1.94948e-07,-7.94475e-08,-5.53291e-08,-9.13568e-08
0.44,1.23922e-07,1.89288e-07,-3.12925e-08,-1.58784e-07,-6.62176e-08
0.45,-8.89995e-08,4.97366e-07,1.70799e-07,-3.23039e-07,-1.25115e-07
0.46,1.74329e-07,4.31098e-07,-1.25622e-07,-2.23052e-07,-7.0303e-08
0.47,2.18252e-07,5.56054e-07,9.86175e-08,-1.86093e-07,-1.33876e-07
0.48,3.39886e-07,6.46043e-07,4.69921e-09,-2.68192e-07,-1.78953e-07
0.49,2.07228e-07,7.42336e-07,1.65412e-07,-3.31598e-07,-2.39527e-07
0.5,3.46837e-07,9.33577e-07,-2.50057e-08,-5.02601e-07,-1.68802e-07
0.51,1.8809e-07,7.0644e-07,2.34742e-07,-2.8074e-07,-1.32188e-07
0.52,-5.29249e-06,1.05671e-06,2.79377e-07,-3.47984e-07,-2.89697e-07
0.53,2.50498e-07,1.03906e-06,2.85047e-07,-2.66016e-07,-2.11095e-07
0.54,1.98633e-07,8.67522e-07,2.81675e-07,-2.95852e-07,-2.09469e-07
0.55,3.21267e-07,1.11196e-06,2.52024e-07,-3.65798e-07,-2.73704e-07
