date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-7.19935e-09,1.60783e-07,-5.40391e-08,-1.1352e-08,9.48944e-08
0.01,-6.62872e-05,-0.000406082,-0.000573351,-0.000344946,-1.42396e-05
0.02,-6.9674e-06,-2.61729e-05,-3.30842e-05,-2.64195e-05,-8.05492e-06
0.03,4.23211e-06,4.87102e-06,3.58091e-06,1.01255e-05,4.05497e-06
0.04,-1.43292e-08,-1.07335e-06,-7.09673e-06,-3.61466e-06,-1.23891e-06
0.05,2.95512e-06,3.23849e-06,4.39405e-06,5.43424e-06,3.70878e-06
0.06,1.61935e-06,2.10159e-06,5.41162e-07,2.62783e-06,2.80489e-06
0.07,-8.03287e-07,-3.22215e-06,-4.96316e-06,-7.95818e-08,2.69886e-08
0.08,2.10104e-06,3.22622e-06,2.54305e-06,3.08094e-06,2.03365e-06
0.09,7.51942e-07,1.6793e-06,9.51379e-07,1.39874e-06,1.58779e-06
0.1,-3.67859e-07,-2.08729e-06,-2.70949e-06,-1.09795e-06,-4.05574e-07
0.11,4.73616e-07,8.9316e-07,1.77689e-06,1.08627e-06,4.38068e-07
0.12,1.22291e-06,1.73866e-06,2.06059e-06,2.28014e-06,1.34464e-06
0.13,-5.84109e-07,-3.68968e-07,-7.50412e-07,5.02619e-07,-3.3564e-07
0.14,5.53835e-07,2.48811e-07,7.11367e-07,-3.8033e-07,3.97469e-07
0.15,5.10532e-07,1.23234e-06,1.6833e-06,1.23879e-06,-6.26298e-07
0.16,1.03865e-07,4.53536e-08,6.33363e-07,-2.20616e-08,3.32014e-07
0.17,4.50711e-07,6.47732e-07,6.03491e-07,7.91476e-07,1.93e-07
0.18,1.80661e-07,2.89009e-07,6.87341e-07,5.81518e-07,2.69205e-07
0.19,3.04101e-07,5.08145e-07,7.19749e-07,5.58278e-07,2.59577e-07
0.2,4.18782e-07,4.50363e-07,4.21638e-07,6.55783e-07,4.65988e-07
0.21,3.45395e-07,4.09523e-07,4.70694e-07,7.01168e-07,4.29892e-07
0.22,4.82421e-07,4.60984e-07,6.26474e-07,6.47533e-07,4.36499e-07
0.23,6.23203e-07,5.45949e-07,5.0636e-07,6.84474e-07,5.22335e-07
0.24,6.04773e-07,6.42393e-07,5.84207e-07,6.42992e-07,5.28689e-07
0.25,6.52619e-07,6.07808e-07,5.88824e-07,6.34921e-07,5.51508e-07
0.26,6.29982e-07,4.90703e-07,4.44818e-07,5.62745e-07,6.46331e-07
0.27,7.32213e-07,7.0882e-07,7.54243e-07,7.70851e-07,7.44944e-07
0.28,7.43079e-07,6.17236e-07,5.6347e-07,6.13545e-07,7.30964e-07
0.29,9.59837e-07,9.11899e-07,9.16663e-07,8.09082e-07,8.9556e-07
0.3,1.08666e-06,1.1191e-06,9.98086e-07,9.64037e-07,9.89224e-07
0.31,9.87841e-07,9.05316e-07,1.04052e-06,7.89768e-07,9.38487e-07
0.32,9.6464e-07,9.35905e-07,1.21243e-06,1.01515e-06,1.02304e-06
0.33,1.18136e-06,1.26621e-06,1.62855e-06,1.0365e-06,9.3184e-07
0.34,1.09964e-06,1.3488e-06,1.79391e-06,1.48896e-06,1.2293e-06
0.35,1.27726e-06,2.04698e-06,2.83993e-06,1.96528e-06,1.08564e-06
0.36,8.85426e-07,9.03297e-07,1.43711e-06,1.28524e-06,1.08268e-06
0.37,1.18548e-06,2.23005e-06,2.67612e-06,1.75493e-06,8.35028e-07
0.38,1.00102e-06,1.9252e-06,2.47347e-06,1.71528e-06,7.82916e-07
0.39,1.00961e-06,1.69995e-06,2.2699e-06,1.73315e-06,7.56455e-07
0.4,1.22292e-06,2.04861e-06,2.2382e-06,1.88124e-06,8.08411e-07
0.41,1.41421e-06,2.33196e-06,2.20356e-06,1.95149e-06,1.02528e-06
0.42,7.65148e-07,3.12691e-06,3.09766e-06,2.89477e-06,1.63099e-06
0.43,1.56184e-06,3.249e-06,3.4939e-06,3.00009e-06,1.82804e-06
0.44,1.85757e-06,3.35202e-06,4.51861e-06,5.21524e-06,2.54517e-06
0.45,2.05418e-06,3.84108e-06,4.61299e-06,4.32419e-06,2.44282e-06
0.46,3.07073e-06,4.65117e-06,5.53195e-06,6.45522e-06,4.13858e-06
0.47,2.98999e-06,4.85897e-06,5.96345e-06,6.00235e-06,3.14159e-06
0.48,4.14093e-06,6.28521e-06,6.84294e-06,7.19349e-06,3.80219e-06
0.49,5.35342e-06,8.43062e-06,8.66741e-06,8.13282e-06,4.82185e-06
0.5,5.1343e-06,9.79614e-06,7.71196e-06,8.26688e-06,4.41705e-06
0.51,4.11629e-06,7.087e-06,7.00231e-06,9.07197e-06,5.47932e-06
0.52,1.25713e-05,1.0659e-05,1.12537e-05,1.21317e-05,7.04268e-06
0.53,5.71115e-06,9.46655e-06,9.76959e-06,1.03984e-05,6.23835e-06
0.54,5.34643e-06,9.02072e-06,1.01685e-05,1.07241e-05,6.51888e-06
0.55,7.9307e-06,1.32191e-05,1.10057e-05,1.08121e-05,7.00432e-06
0.56,7.11749e-06,1.30245e-05,1.52204e-05,1.76117e-05,1.03828e-05
0.57,8.80423e-06,1.40519e-05,1.52625e-05,1.60363e-05,8.58141e-06
0.58,8.42696e-06,1.52067e-05,1.97375e-05,1.86805e-05,1.08208e-05
0.59,9.41714e-06,1.68838e-05,1.77438e-05,1.49783e-05,8.98805e-06
0.6,8.25269e-06,1.45931e-05,1.66053e-05,1.77213e-05,1.19013e-05
0.61,8.79466e-06,1.52362e-05,1.76994e-05,1.80049e-05,1.06619e-05
0.62,8.36564e-06,1.43574e-05,1.77478e-05,1.92178e-05,1.51881e-05
0.63,1.0243e-05,1.8404e-05,2.02355e-05,2.07327e-05,1.32842e-05
0.64,1.25318e-05,2.16013e-05,2.20758e-05,1.84667e-05,1.42714e-05
0.65,1.35691e-05,2.50278e-05,2.75228e-05,2.48284e-05,1.56363e-05
0.66,1.36685e-05,2.33605e-05,2.45975e-05,2.30945e-05,1.29527e-05
0.67,1.51343e-05,2.59484e-05,2.77804e-05,2.70837e-05,1.726e-05
0.68,1.49982e-05,2.72869e-05,3.15374e-05,2.87619e-05,2.05885e-05
0.69,1.81447e-05,3.39734e-05,3.62238e-05,3.49297e-05,2.39611e-05
0.7,2.0365e-05,3.30658e-05,3.82518e-05,3.8566e-05,2.67704e-05
0.71,1.96535e-05,3.22841e-05,3.71885e-05,3.61717e-05,2.53478e-05
0.72,2.35886e-05,3.77639e-05,4.55824e-05,3.78926e-05,2.74945e-05
0.73,2.74532e-05,4.0422e-05,4.74633e-05,4.24146e-05,3.00147e-05
0.74,3.02397e-05,4.42495e-05,5.35092e-05,4.804e-05,3.54787e-05
0.75,3.55133e-05,4.80306e-05,5.5525e-05,4.84072e-05,3.68085e-05
0.76,3.83012e-05,5.26394e-05,6.58701e-05,5.95832e-05,4.36684e-05
0.77,3.87086e-05,5.06307e-05,6.18479e-05,5.53575e-05,4.2163e-05
0.78,4.86294e-05,6.64806e-05,8.2514e-05,7.54589e-05,5.90078e-05
0.79,7.00787e-05,9.37419e-05,0.000117441,0.000111784,7.90844e-05
0.8,0.000109566,0.000142028,0.000158283,0.000196923,0.000117498
0.81,0.000216061,0.000270468,0.000240581,0.00029618,0.000184519
0.82,0.00037702,0.00027698,0.000378289,0.000394441,0.000292478
0.83,0.000369214,0.000309864,0.000418096,0.000537339,0.000390343
0.84,0.000335746,0.000418862,0.000486918,0.00070585,0.000385262
0.85,0.000488307,0.000835935,0.000820207,0.000837328,0.000640161
0.86,0.00168192,0.00208137,0.00237946,0.00238852,0.00184001
0.87,0.0033311,0.0046261,0.00506455,0.00489417,0.00389743
0.88,0.0056175,0.00772147,0.00926774,0.00839762,0.00647611
0.89,0.00848405,0.0118373,0.0131352,0.0126865,0.00967177
0.9,0.0120103,0.0164586,0.0184005,0.0181657,0.0139493
0.91,0.0159352,0.0217974,0.0232133,0.0233669,0.0176235
0.92,0.020317,0.0268811,0.0293438,0.0293427,0.0224144
0.93,0.0247334,0.0312474,0.0349269,0.0348172,0.0273339
0.94,0.0300683,0.0377255,0.0413446,0.0400147,0.032755
0.95,0.0347244,0.0440618,0.045817,0.0469212,0.037811
0.96,0.0407688,0.0504435,0.0522537,0.0540648,0.0437669
0.97,0.0463304,0.0546878,0.0580173,0.0592376,0.0493136
0.98,0.0519957,0.0588745,0.0627561,0.0644696,0.054616
0.99,0.0575041,0.0636663,0.0678062,0.0710512,0.059834
1,0.0635225,0.0711273,0.0747434,0.0793294,0.0664435
1.01,0.0698322,0.0785371,0.0807636,0.0855356,0.0748665
1.02,0.0811225,0.0892247,0.0908503,0.0961028,0.0844617
1.03,0.0911808,0.10004,0.101113,0.10593,0.0922903
1.04,0.0985402,0.109313,0.111575,0.116902,0.0993615
1.05,0.103779,0.115161,0.119814,0.122522,0.10253
1.06,0.106551,0.116809,0.121646,0.123948,0.108622
1.07,0.10345,0.114289,0.11635,0.119408,0.107722
1.08,0.0950661,0.105341,0.105493,0.108409,0.0981969
1.09,0.0808857,0.0936533,0.090533,0.0924474,0.0859003
1.1,0.0662502,0.073783,0.0700997,0.0749361,0.0683982
1.11,0.0454062,0.0515823,0.0470362,0.0518906,0.0450002
1.12,0.0169705,0.0222727,0.0124261,0.0251357,0.0158072
1.13,-0.0267472,-0.0293674,-0.0382921,-0.0174407,-0.0319602
1.14,-0.0850388,-0.0805217,-0.0926382,-0.0714302,-0.0805796
1.15,-0.131208,-0.131784,-0.150886,-0.135731,-0.136122
1.16,-0.171379,-0.161271,-0.170981,-0.177532,-0.140165
1.17,-0.149374,-0.150843,-0.156248,-0.160927,-0.14128
1.18,-0.106503,-0.124824,-0.121615,-0.129653,-0.113559
1.19,-0.0844867,-0.103213,-0.101158,-0.0858904,-0.107266
1.2,-0.0701819,-0.0816244,-0.0624348,-0.0759198,-0.100041
1.21,-0.0514804,-0.0379946,-0.0250471,-0.039652,-0.0668546
1.22,-0.0155995,0.0136141,0.00375372,-0.00495668,-0.0272131
1.23,0.00996141,0.0426395,0.0394684,0.0285003,0.0106269
1.24,0.026933,0.0617494,0.0831077,0.059172,0.0215067
1.25,0.0458334,0.0975115,0.113724,0.0841364,0.0529977
1.26,0.0574012,0.111179,0.135078,0.106451,0.054446
1.27,0.0651595,0.125422,0.151125,0.121816,0.060772
1.28,0.0844649,0.145234,0.17273,0.141601,0.0807023
1.29,0.0907306,0.157129,0.183829,0.151903,0.085045
1.3,0.0922045,0.161572,0.185519,0.163996,0.0956135
1.31,0.0890842,0.164769,0.193588,0.169604,0.0893735
1.32,0.0978121,0.172378,0.194449,0.173254,0.0989846
1.33,0.0978005,0.169353,0.193498,0.166426,0.0960479
1.34,0.0903527,0.164078,0.191544,0.164685,0.0946787
1.35,0.0708603,0.144227,0.182437,0.147936,0.0738962
1.36,0.0610924,0.125673,0.157688,0.137382,0.0679406
1.37,0.0535272,0.112935,0.149189,0.124927,0.0603773
1.38,0.0412612,0.0933609,0.105139,0.106567,0.0532121
1.39,0.00588702,0.0433198,0.0501653,0.0543065,0.022402
1.4,-0.0326781,-0.0223615,-0.0351794,0.00207886,-0.0179377
1.41,-0.0808232,-0.100124,-0.120844,-0.0761652,-0.0681988
1.42,-0.12777,-0.164822,-0.19237,-0.139788,-0.122743
1.43,-0.168191,-0.198768,-0.259507,-0.184261,-0.160504
