Date [s],Average:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.124
0.04,323.114
0.06,323.11
0.08,323.108
0.1,323.107
0.12,323.105
0.14,323.104
0.16,323.102
0.18,323.101
0.2,323.099
0.22,323.097
0.24,323.095
0.26,323.092
0.28,323.09
0.3,323.087
0.32,323.084
0.34,323.081
0.36,323.077
0.38,323.074
0.4,323.07
0.42,323.066
0.44,323.062
0.46,323.057
0.48,323.053
0.5,323.048
0.52,323.043
0.54,323.038
0.56,323.033
0.58,323.027
0.6,323.021
0.62,323.015
0.64,323.009
0.66,323.003
0.68,322.996
0.7,322.99
0.72,322.983
0.74,322.976
0.76,322.968
0.78,322.961
0.8,322.953
0.82,322.945
0.84,322.937
0.86,322.929
0.88,322.92
0.9,322.911
0.92,322.902
0.94,322.893
0.96,322.884
0.98,322.874
1,322.865
1.02,322.855
1.04,322.845
1.06,322.834
1.08,322.824
1.1,322.813
1.12,322.802
1.14,322.791
1.16,322.78
1.18,322.769
1.2,322.757
1.22,322.746
1.24,322.734
1.26,322.721
1.28,322.708
1.3,322.694
1.32,322.68
1.34,322.666
1.36,322.651
1.38,322.637
1.4,322.623
1.42,322.609
1.44,322.594
1.46,322.58
1.48,322.565
1.5,322.55
1.52,322.534
1.54,322.518
1.56,322.501
1.58,322.484
1.6,322.466
1.62,322.449
1.64,322.431
1.66,322.414
1.68,322.398
1.7,322.381
1.72,322.364
1.74,322.347
1.76,322.329
1.78,322.31
1.8,322.291
1.82,322.271
1.84,322.25
1.86,322.231
1.88,322.211
1.9,322.192
1.92,322.173
1.94,322.154
1.96,322.134
1.98,322.115
2,322.096
2.02,322.077
2.04,322.058
2.06,322.039
2.08,322.02
2.1,322.001
2.12,321.98
2.14,321.959
2.16,321.937
2.18,321.915
2.2,321.893
2.22,321.872
2.24,321.851
2.26,321.831
2.28,321.811
2.3,321.791
2.32,321.771
2.34,321.75
2.36,321.729
2.38,321.709
2.4,321.689
2.42,321.669
2.44,321.65
2.46,321.632
2.48,321.613
2.5,321.594
2.52,321.575
2.54,321.555
2.56,321.535
2.58,321.513
2.6,321.492
2.62,321.47
2.64,321.45
2.66,321.431
2.68,321.413
2.7,321.395
2.72,321.377
2.74,321.359
2.76,321.34
2.78,321.321
2.8,321.301
2.82,321.28
2.84,321.259
2.86,321.238
2.88,321.219
2.9,321.2
2.92,321.182
2.94,321.163
2.96,321.144
2.98,321.124
3,321.105
3.02,321.086
3.04,321.067
3.06,321.047
3.08,321.028
3.1,321.009
3.12,320.989
3.14,320.969
3.16,320.95
3.18,320.93
3.2,320.91
3.22,320.89
3.24,320.871
3.26,320.852
3.28,320.834
3.3,320.815
3.32,320.796
3.34,320.776
3.36,320.756
3.38,320.736
3.4,320.716
3.42,320.696
3.44,320.675
3.46,320.656
3.48,320.636
3.5,320.616
3.52,320.597
3.54,320.577
3.56,320.557
3.58,320.536
3.6,320.516
3.62,320.496
3.64,320.476
3.66,320.457
3.68,320.438
3.7,320.419
3.72,320.4
3.74,320.38
3.76,320.361
3.78,320.341
3.8,320.32
3.82,320.3
3.84,320.279
3.86,320.26
3.88,320.241
3.9,320.222
3.92,320.204
3.94,320.185
3.96,320.166
3.98,320.147
4,320.128
4.02,320.109
4.04,320.089
4.06,320.069
4.08,320.05
4.1,320.03
4.12,320.011
4.14,319.992
4.16,319.973
4.18,319.954
4.2,319.935
4.22,319.915
4.24,319.895
4.26,319.874
4.28,319.854
4.3,319.834
4.32,319.815
4.34,319.796
4.36,319.778
4.38,319.759
4.4,319.74
4.42,319.721
4.44,319.702
4.46,319.683
4.48,319.663
4.5,319.643
4.52,319.623
4.54,319.604
4.56,319.585
4.58,319.566
4.6,319.547
4.62,319.528
4.64,319.509
4.66,319.489
4.68,319.47
4.7,319.45
4.72,319.431
4.74,319.412
4.76,319.394
4.78,319.375
4.8,319.356
4.82,319.338
4.84,319.319
4.86,319.3
4.88,319.281
4.9,319.262
4.92,319.242
4.94,319.223
4.96,319.204
4.98,319.185
5,319.167
5.02,319.149
5.04,319.131
5.06,319.113
5.08,319.095
5.1,319.076
5.12,319.057
5.14,319.038
5.16,319.018
5.18,318.998
5.2,318.978
5.22,318.959
5.24,318.94
5.26,318.921
5.28,318.903
5.3,318.885
5.32,318.866
5.34,318.848
5.36,318.829
5.38,318.81
5.4,318.79
5.42,318.771
5.44,318.751
5.46,318.732
5.48,318.714
5.5,318.696
5.52,318.678
5.54,318.66
5.56,318.642
5.58,318.623
5.6,318.603
5.62,318.584
5.64,318.567
5.66,318.55
5.68,318.533
5.7,318.516
5.72,318.499
5.74,318.482
5.76,318.463
5.78,318.444
5.8,318.424
5.82,318.404
5.84,318.384
5.86,318.364
5.88,318.345
5.9,318.326
5.92,318.308
5.94,318.289
5.96,318.271
5.98,318.252
6,318.234
6.02,318.215
6.04,318.196
6.06,318.178
6.08,318.159
6.1,318.141
6.12,318.123
6.14,318.105
6.16,318.086
6.18,318.067
6.2,318.047
6.22,318.028
6.24,318.009
6.26,317.991
6.28,317.974
6.3,317.956
6.32,317.939
6.34,317.922
6.36,317.905
6.38,317.887
6.4,317.868
6.42,317.849
6.44,317.829
6.46,317.81
6.48,317.791
6.5,317.772
6.52,317.755
6.54,317.737
6.56,317.72
6.58,317.702
6.6,317.684
6.62,317.666
6.64,317.648
6.66,317.63
6.68,317.612
6.7,317.594
6.72,317.575
6.74,317.557
6.76,317.539
6.78,317.521
6.8,317.503
6.82,317.485
6.84,317.468
6.86,317.45
6.88,317.431
6.9,317.413
6.92,317.394
6.94,317.376
6.96,317.357
6.98,317.339
7,317.322
7.02,317.304
7.04,317.287
7.06,317.27
7.08,317.253
7.1,317.236
7.12,317.218
7.14,317.199
7.16,317.181
7.18,317.163
7.2,317.145
7.22,317.127
7.24,317.11
7.26,317.092
7.28,317.074
7.3,317.057
7.32,317.039
7.34,317.022
7.36,317.004
7.38,316.986
7.4,316.968
7.42,316.95
7.44,316.932
7.46,316.914
7.48,316.897
7.5,316.88
7.52,316.863
7.54,316.846
7.56,316.829
7.58,316.812
7.6,316.795
7.62,316.776
7.64,316.758
7.66,316.74
7.68,316.722
7.7,316.705
7.72,316.687
7.74,316.67
7.76,316.653
7.78,316.635
7.8,316.617
7.82,316.599
7.84,316.58
7.86,316.562
7.88,316.545
7.9,316.528
7.92,316.511
7.94,316.493
7.96,316.476
7.98,316.458
8,316.441
8.02,316.424
8.04,316.406
8.06,316.389
8.08,316.372
8.1,316.354
8.12,316.337
8.14,316.32
8.16,316.303
8.18,316.286
8.2,316.269
8.22,316.252
8.24,316.235
8.26,316.218
8.28,316.201
8.3,316.185
8.32,316.169
8.34,316.152
8.36,316.135
8.38,316.118
8.4,316.101
8.42,316.084
8.44,316.067
