Date [s],Average:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.126
0.04,323.121
0.06,323.119
0.08,323.118
0.1,323.117
0.12,323.116
0.14,323.115
0.16,323.114
0.18,323.113
0.2,323.111
0.22,323.109
0.24,323.107
0.26,323.105
0.28,323.103
0.3,323.101
0.32,323.098
0.34,323.096
0.36,323.093
0.38,323.09
0.4,323.087
0.42,323.083
0.44,323.08
0.46,323.076
0.48,323.073
0.5,323.069
0.52,323.065
0.54,323.06
0.56,323.056
0.58,323.052
0.6,323.047
0.62,323.042
0.64,323.037
0.66,323.032
0.68,323.026
0.7,323.021
0.72,323.015
0.74,323.01
0.76,323.004
0.78,322.997
0.8,322.991
0.82,322.985
0.84,322.978
0.86,322.971
0.88,322.964
0.9,322.957
0.92,322.95
0.94,322.943
0.96,322.935
0.98,322.928
1,322.92
1.02,322.912
1.04,322.904
1.06,322.895
1.08,322.887
1.1,322.879
1.12,322.87
1.14,322.862
1.16,322.853
1.18,322.844
1.2,322.834
1.22,322.824
1.24,322.814
1.26,322.803
1.28,322.793
1.3,322.782
1.32,322.772
1.34,322.762
1.36,322.751
1.38,322.741
1.4,322.73
1.42,322.72
1.44,322.708
1.46,322.697
1.48,322.685
1.5,322.672
1.52,322.659
1.54,322.646
1.56,322.634
1.58,322.622
1.6,322.61
1.62,322.598
1.64,322.586
1.66,322.574
1.68,322.561
1.7,322.548
1.72,322.534
1.74,322.519
1.76,322.504
1.78,322.489
1.8,322.475
1.82,322.46
1.84,322.445
1.86,322.431
1.88,322.417
1.9,322.404
1.92,322.39
1.94,322.376
1.96,322.362
1.98,322.348
2,322.333
2.02,322.317
2.04,322.301
2.06,322.284
2.08,322.268
2.1,322.251
2.12,322.235
2.14,322.22
2.16,322.205
2.18,322.19
2.2,322.175
2.22,322.159
2.24,322.143
2.26,322.126
2.28,322.11
2.3,322.095
2.32,322.08
2.34,322.067
2.36,322.053
2.38,322.039
2.4,322.024
2.42,322.009
2.44,321.993
2.46,321.977
2.48,321.959
2.5,321.941
2.52,321.924
2.54,321.909
2.56,321.894
2.58,321.881
2.6,321.868
2.62,321.855
2.64,321.842
2.66,321.828
2.68,321.813
2.7,321.798
2.72,321.781
2.74,321.764
2.76,321.747
2.78,321.73
2.8,321.715
2.82,321.699
2.84,321.684
2.86,321.67
2.88,321.656
2.9,321.643
2.92,321.628
2.94,321.614
2.96,321.598
2.98,321.581
3,321.565
3.02,321.548
3.04,321.532
3.06,321.518
3.08,321.504
3.1,321.49
3.12,321.477
3.14,321.463
3.16,321.449
3.18,321.434
3.2,321.419
3.22,321.402
3.24,321.386
3.26,321.37
3.28,321.354
3.3,321.339
3.32,321.324
3.34,321.31
3.36,321.296
3.38,321.282
3.4,321.267
3.42,321.252
3.44,321.237
3.46,321.221
3.48,321.205
3.5,321.189
3.52,321.174
3.54,321.158
3.56,321.144
3.58,321.13
3.6,321.116
3.62,321.103
3.64,321.089
3.66,321.075
3.68,321.061
3.7,321.046
3.72,321.03
3.74,321.014
3.76,320.997
3.78,320.981
3.8,320.964
3.82,320.949
3.84,320.934
3.86,320.919
3.88,320.905
3.9,320.89
3.92,320.875
3.94,320.861
3.96,320.846
3.98,320.832
4,320.817
4.02,320.801
4.04,320.786
4.06,320.769
4.08,320.753
4.1,320.737
4.12,320.722
4.14,320.707
4.16,320.693
4.18,320.679
4.2,320.665
4.22,320.651
4.24,320.637
4.26,320.622
4.28,320.607
4.3,320.592
4.32,320.576
4.34,320.56
4.36,320.544
4.38,320.529
4.4,320.514
4.42,320.5
4.44,320.486
4.46,320.472
4.48,320.458
4.5,320.444
4.52,320.43
4.54,320.414
4.56,320.399
4.58,320.383
4.6,320.368
4.62,320.353
4.64,320.338
4.66,320.324
4.68,320.31
4.7,320.295
4.72,320.281
4.74,320.267
4.76,320.253
4.78,320.239
4.8,320.226
4.82,320.212
4.84,320.198
4.86,320.183
4.88,320.168
4.9,320.152
4.92,320.136
4.94,320.12
4.96,320.105
4.98,320.09
5,320.075
5.02,320.062
5.04,320.048
5.06,320.034
5.08,320.02
5.1,320.006
5.12,319.992
5.14,319.977
5.16,319.962
5.18,319.948
5.2,319.933
5.22,319.918
5.24,319.902
5.26,319.886
5.28,319.871
5.3,319.856
5.32,319.842
5.34,319.828
5.36,319.814
5.38,319.801
5.4,319.788
5.42,319.774
5.44,319.761
5.46,319.746
5.48,319.732
5.5,319.716
5.52,319.701
5.54,319.685
5.56,319.67
5.58,319.656
5.6,319.641
5.62,319.627
5.64,319.613
5.66,319.599
5.68,319.584
5.7,319.569
5.72,319.553
5.74,319.538
5.76,319.524
5.78,319.51
5.8,319.497
5.82,319.484
5.84,319.47
5.86,319.457
5.88,319.442
5.9,319.427
5.92,319.411
5.94,319.395
5.96,319.379
5.98,319.364
6,319.35
6.02,319.337
6.04,319.324
6.06,319.311
6.08,319.298
6.1,319.285
6.12,319.271
6.14,319.256
6.16,319.241
6.18,319.226
6.2,319.211
6.22,319.197
6.24,319.182
6.26,319.169
6.28,319.155
6.3,319.141
6.32,319.127
