Date [s],Average:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.126
0.04,323.121
0.06,323.119
0.08,323.118
0.1,323.117
0.12,323.116
0.14,323.115
0.16,323.114
0.18,323.113
0.2,323.111
0.22,323.109
0.24,323.107
0.26,323.105
0.28,323.103
0.3,323.101
0.32,323.098
0.34,323.096
0.36,323.093
0.38,323.09
0.4,323.087
0.42,323.083
0.44,323.08
0.46,323.076
0.48,323.073
0.5,323.069
0.52,323.065
0.54,323.06
0.56,323.056
0.58,323.052
0.6,323.047
0.62,323.042
0.64,323.037
0.66,323.032
0.68,323.026
0.7,323.021
0.72,323.015
0.74,323.01
0.76,323.004
0.78,322.997
0.8,322.991
0.82,322.985
0.84,322.978
0.86,322.971
0.88,322.964
0.9,322.957
0.92,322.95
0.94,322.943
0.96,322.935
0.98,322.928
1,322.92
1.02,322.912
1.04,322.904
1.06,322.895
1.08,322.887
1.1,322.879
1.12,322.87
1.14,322.862
1.16,322.853
1.18,322.844
1.2,322.834
1.22,322.824
1.24,322.814
1.26,322.803
1.28,322.793
1.3,322.782
1.32,322.772
1.34,322.762
1.36,322.751
1.38,322.741
1.4,322.73
1.42,322.72
1.44,322.708
1.46,322.697
1.48,322.685
1.5,322.672
1.52,322.659
1.54,322.646
1.56,322.634
1.58,322.622
1.6,322.61
1.62,322.598
1.64,322.586
1.66,322.574
1.68,322.561
1.7,322.548
1.72,322.534
1.74,322.519
1.76,322.504
1.78,322.489
1.8,322.474
1.82,322.46
1.84,322.445
1.86,322.431
1.88,322.417
1.9,322.404
1.92,322.39
1.94,322.377
1.96,322.363
1.98,322.348
2,322.334
2.02,322.318
2.04,322.302
2.06,322.285
2.08,322.268
2.1,322.252
2.12,322.236
2.14,322.22
2.16,322.205
2.18,322.19
2.2,322.175
2.22,322.159
2.24,322.143
2.26,322.126
2.28,322.11
2.3,322.094
2.32,322.08
2.34,322.066
2.36,322.052
2.38,322.038
2.4,322.024
2.42,322.009
2.44,321.993
2.46,321.977
2.48,321.959
2.5,321.942
2.52,321.924
2.54,321.908
2.56,321.893
2.58,321.88
2.6,321.867
2.62,321.854
2.64,321.841
2.66,321.827
2.68,321.813
2.7,321.797
2.72,321.781
2.74,321.764
2.76,321.747
2.78,321.731
2.8,321.714
2.82,321.699
2.84,321.683
2.86,321.668
2.88,321.654
2.9,321.639
2.92,321.625
2.94,321.61
2.96,321.596
2.98,321.581
3,321.565
3.02,321.549
3.04,321.533
3.06,321.516
3.08,321.499
3.1,321.483
3.12,321.468
3.14,321.454
3.16,321.44
3.18,321.426
3.2,321.411
3.22,321.396
3.24,321.382
3.26,321.367
3.28,321.352
3.3,321.337
3.32,321.321
3.34,321.305
3.36,321.289
3.38,321.272
3.4,321.257
3.42,321.242
3.44,321.227
3.46,321.212
3.48,321.197
3.5,321.183
3.52,321.169
3.54,321.154
3.56,321.14
3.58,321.125
3.6,321.109
3.62,321.093
3.64,321.077
3.66,321.061
3.68,321.045
3.7,321.03
3.72,321.015
3.74,321.001
3.76,320.986
3.78,320.972
3.8,320.958
3.82,320.943
3.84,320.928
3.86,320.913
3.88,320.897
3.9,320.882
3.92,320.866
3.94,320.851
3.96,320.836
3.98,320.821
4,320.807
4.02,320.793
4.04,320.778
4.06,320.763
4.08,320.748
4.1,320.732
4.12,320.717
4.14,320.702
4.16,320.687
4.18,320.673
4.2,320.658
4.22,320.643
4.24,320.628
4.26,320.613
4.28,320.598
4.3,320.583
4.32,320.568
4.34,320.554
4.36,320.539
4.38,320.525
4.4,320.511
4.42,320.496
4.44,320.481
4.46,320.466
4.48,320.451
4.5,320.436
4.52,320.421
4.54,320.406
4.56,320.391
4.58,320.376
4.6,320.361
4.62,320.347
4.64,320.332
4.66,320.318
4.68,320.303
4.7,320.289
4.72,320.275
4.74,320.26
4.76,320.245
4.78,320.23
4.8,320.214
4.82,320.199
4.84,320.183
4.86,320.169
4.88,320.155
4.9,320.141
4.92,320.128
4.94,320.114
4.96,320.1
4.98,320.086
5,320.071
5.02,320.056
5.04,320.041
5.06,320.025
5.08,320.009
5.1,319.994
5.12,319.98
5.14,319.966
5.16,319.952
5.18,319.938
5.2,319.924
5.22,319.91
5.24,319.895
5.26,319.881
5.28,319.866
5.3,319.85
5.32,319.835
5.34,319.821
5.36,319.807
5.38,319.793
5.4,319.78
5.42,319.766
5.44,319.753
5.46,319.739
5.48,319.724
5.5,319.709
5.52,319.694
5.54,319.678
5.56,319.662
5.58,319.647
5.6,319.632
5.62,319.618
5.64,319.604
5.66,319.591
5.68,319.577
5.7,319.563
5.72,319.548
5.74,319.533
5.76,319.518
5.78,319.503
5.8,319.489
5.82,319.476
5.84,319.462
5.86,319.449
5.88,319.435
5.9,319.421
5.92,319.407
5.94,319.392
5.96,319.377
5.98,319.362
6,319.346
6.02,319.331
6.04,319.317
6.06,319.302
6.08,319.288
6.1,319.275
6.12,319.261
6.14,319.247
6.16,319.233
6.18,319.219
6.2,319.205
6.22,319.19
6.24,319.175
6.26,319.16
6.28,319.146
6.3,319.132
6.32,319.118
6.34,319.105
6.36,319.091
6.38,319.077
6.4,319.062
6.42,319.047
6.44,319.032
6.46,319.016
6.48,319.001
6.5,318.986
6.52,318.972
6.54,318.959
6.56,318.946
6.58,318.933
6.6,318.92
6.62,318.907
6.64,318.893
6.66,318.879
6.68,318.864
6.7,318.848
6.72,318.832
