Date [s],Max:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.15
0.04,323.15
0.06,323.15
0.08,323.15
0.1,323.15
0.12,323.15
0.14,323.15
0.16,323.15
0.18,323.15
0.2,323.15
0.22,323.15
0.24,323.15
0.26,323.15
0.28,323.15
0.3,323.15
0.32,323.15
0.34,323.15
0.36,323.15
0.38,323.15
0.4,323.15
0.42,323.15
0.44,323.15
0.46,323.15
0.48,323.15
0.5,323.15
0.52,323.15
0.54,323.15
0.56,323.15
0.58,323.15
0.6,323.15
0.62,323.15
0.64,323.15
0.66,323.15
0.68,323.15
0.7,323.15
0.72,323.15
0.74,323.15
0.76,323.15
0.78,323.15
0.8,323.15
0.82,323.15
0.84,323.15
0.86,323.15
0.88,323.15
0.9,323.15
0.92,323.15
0.94,323.15
0.96,323.15
0.98,323.15
1,323.15
1.02,323.149
1.04,323.146
1.06,323.142
1.08,323.139
1.1,323.135
1.12,323.134
1.14,323.134
1.16,323.134
1.18,323.134
1.2,323.134
1.22,323.134
1.24,323.134
1.26,323.134
1.28,323.134
1.3,323.133
1.32,323.133
1.34,323.133
1.36,323.133
1.38,323.133
1.4,323.133
1.42,323.132
1.44,323.132
1.46,323.132
1.48,323.132
1.5,323.132
1.52,323.132
1.54,323.132
1.56,323.132
1.58,323.132
1.6,323.132
1.62,323.132
1.64,323.132
1.66,323.131
1.68,323.131
1.7,323.131
1.72,323.131
1.74,323.131
1.76,323.131
1.78,323.131
1.8,323.131
1.82,323.131
1.84,323.131
1.86,323.131
1.88,323.131
1.9,323.13
1.92,323.13
1.94,323.13
1.96,323.129
1.98,323.129
2,323.128
2.02,323.127
2.04,323.126
2.06,323.125
2.08,323.125
2.1,323.124
2.12,323.124
2.14,323.124
2.16,323.123
2.18,323.123
2.2,323.123
2.22,323.123
2.24,323.123
2.26,323.123
2.28,323.122
2.3,323.121
2.32,323.119
2.34,323.117
2.36,323.114
2.38,323.108
2.4,323.107
2.42,323.105
2.44,323.104
2.46,323.101
2.48,323.097
2.5,323.093
2.52,323.092
2.54,323.09
2.56,323.088
2.58,323.084
2.6,323.083
2.62,323.081
2.64,323.079
2.66,323.077
2.68,323.075
2.7,323.073
2.72,323.071
2.74,323.069
2.76,323.068
2.78,323.068
2.8,323.067
2.82,323.064
2.84,323.061
2.86,323.056
2.88,323.049
2.9,323.042
2.92,323.04
2.94,323.039
2.96,323.037
2.98,323.034
3,323.032
3.02,323.03
3.04,323.029
3.06,323.026
3.08,323.021
3.1,323.015
3.12,323.009
3.14,323.005
3.16,322.999
3.18,322.994
3.2,322.988
3.22,322.98
3.24,322.975
3.26,322.97
3.28,322.967
3.3,322.964
3.32,322.961
3.34,322.958
3.36,322.955
3.38,322.952
3.4,322.947
3.42,322.942
3.44,322.938
3.46,322.932
3.48,322.927
3.5,322.921
3.52,322.916
3.54,322.91
3.56,322.902
3.58,322.892
3.6,322.883
3.62,322.876
3.64,322.87
3.66,322.866
3.68,322.86
3.7,322.854
3.72,322.847
3.74,322.839
3.76,322.835
3.78,322.83
3.8,322.825
3.82,322.82
3.84,322.815
3.86,322.809
3.88,322.804
3.9,322.799
3.92,322.794
3.94,322.789
3.96,322.786
3.98,322.78
4,322.775
4.02,322.768
4.04,322.761
4.06,322.753
4.08,322.749
4.1,322.744
4.12,322.739
4.14,322.731
4.16,322.726
4.18,322.718
4.2,322.709
4.22,322.702
4.24,322.691
4.26,322.679
4.28,322.668
4.3,322.658
4.32,322.648
4.34,322.637
4.36,322.628
4.38,322.621
4.4,322.617
4.42,322.613
4.44,322.606
4.46,322.598
4.48,322.589
4.5,322.583
4.52,322.578
4.54,322.574
4.56,322.567
4.58,322.558
4.6,322.548
4.62,322.537
4.64,322.526
4.66,322.516
4.68,322.505
4.7,322.498
4.72,322.492
4.74,322.485
4.76,322.475
4.78,322.468
4.8,322.461
4.82,322.453
4.84,322.445
4.86,322.44
4.88,322.432
4.9,322.426
4.92,322.418
4.94,322.407
4.96,322.395
4.98,322.385
5,322.375
5.02,322.367
5.04,322.361
5.06,322.354
5.08,322.348
5.1,322.342
5.12,322.334
5.14,322.325
5.16,322.312
5.18,322.299
5.2,322.28
5.22,322.256
5.24,322.222
5.26,322.218
5.28,322.215
5.3,322.212
5.32,322.209
5.34,322.204
5.36,322.2
5.38,322.195
5.4,322.189
5.42,322.18
5.44,322.171
5.46,322.161
5.48,322.149
5.5,322.138
5.52,322.128
5.54,322.119
5.56,322.11
5.58,322.101
5.6,322.092
5.62,322.085
5.64,322.078
5.66,322.071
5.68,322.064
5.7,322.057
5.72,322.048
5.74,322.037
5.76,322.023
5.78,322.009
5.8,321.99
5.82,321.969
5.84,321.951
5.86,321.939
5.88,321.925
5.9,321.911
5.92,321.897
5.94,321.887
5.96,321.875
5.98,321.863
6,321.852
6.02,321.841
6.04,321.832
6.06,321.824
6.08,321.818
6.1,321.814
6.12,321.81
6.14,321.806
6.16,321.801
6.18,321.794
6.2,321.786
6.22,321.776
6.24,321.762
6.26,321.747
6.28,321.732
6.3,321.718
6.32,321.704
6.34,321.69
6.36,321.672
6.38,321.643
6.4,321.614
6.42,321.607
6.44,321.6
6.46,321.591
6.48,321.58
6.5,321.571
6.52,321.563
6.54,321.555
6.56,321.545
6.58,321.531
6.6,321.515
6.62,321.498
6.64,321.481
6.66,321.46
6.68,321.435
6.7,321.405
6.72,321.369
6.74,321.361
6.76,321.352
6.78,321.338
6.8,321.325
6.82,321.314
6.84,321.303
6.86,321.291
6.88,321.279
6.9,321.267
6.92,321.256
6.94,321.245
6.96,321.236
6.98,321.226
7,321.216
7.02,321.207
7.04,321.199
7.06,321.19
7.08,321.179
7.1,321.167
7.12,321.158
7.14,321.151
7.16,321.143
7.18,321.134
7.2,321.122
7.22,321.113
7.24,321.103
7.26,321.09
7.28,321.075
7.3,321.061
7.32,321.054
7.34,321.047
7.36,321.036
7.38,321.024
7.4,321.012
7.42,321
7.44,320.99
7.46,320.98
7.48,320.969
7.5,320.954
7.52,320.935
7.54,320.911
7.56,320.889
7.58,320.873
7.6,320.854
7.62,320.829
7.64,320.801
7.66,320.782
7.68,320.769
7.7,320.755
7.72,320.741
7.74,320.728
7.76,320.716
7.78,320.705
7.8,320.695
7.82,320.689
7.84,320.684
7.86,320.68
7.88,320.677
7.9,320.673
7.92,320.669
7.94,320.664
7.96,320.66
7.98,320.655
8,320.649
8.02,320.643
8.04,320.634
8.06,320.626
8.08,320.623
8.1,320.619
8.12,320.615
8.14,320.61
8.16,320.603
8.18,320.595
8.2,320.584
8.22,320.573
8.24,320.562
8.26,320.553
8.28,320.543
8.3,320.532
8.32,320.52
8.34,320.505
8.36,320.493
8.38,320.48
8.4,320.468
8.42,320.458
8.44,320.448
8.46,320.438
8.48,320.428
8.5,320.415
8.52,320.403
8.54,320.392
8.56,320.383
8.58,320.374
8.6,320.363
8.62,320.349
8.64,320.326
8.66,320.303
8.68,320.28
8.7,320.248
8.72,320.218
8.74,320.207
8.76,320.193
8.78,320.172
8.8,320.144
8.82,320.119
8.84,320.104
8.86,320.099
8.88,320.093
8.9,320.087
8.92,320.078
8.94,320.068
8.96,320.058
8.98,320.049
9,320.04
9.02,320.03
9.04,320.021
9.06,320.011
9.08,320.002
9.1,319.995
9.12,319.991
9.14,319.986
9.16,319.982
9.18,319.976
9.2,319.971
9.22,319.964
9.24,319.956
9.26,319.946
9.28,319.936
9.3,319.926
9.32,319.916
9.34,319.903
9.36,319.889
9.38,319.875
9.4,319.861
9.42,319.848
9.44,319.834
9.46,319.822
9.48,319.809
9.5,319.794
9.52,319.775
9.54,319.745
9.56,319.711
9.58,319.694
9.6,319.683
9.62,319.674
9.64,319.665
9.66,319.657
9.68,319.648
9.7,319.64
9.72,319.633
9.74,319.626
9.76,319.618
9.78,319.609
9.8,319.602
9.82,319.596
9.84,319.589
9.86,319.58
9.88,319.57
9.9,319.559
9.92,319.549
9.94,319.539
9.96,319.528
9.98,319.518
10,319.509
