Date [s],Min:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.119
0.04,323.101
0.06,323.08
0.08,323.065
0.1,323.051
0.12,323.038
0.14,323.029
0.16,323.023
0.18,323.004
0.2,322.982
0.22,322.959
0.24,322.933
0.26,322.905
0.28,322.872
0.3,322.838
0.32,322.802
0.34,322.764
0.36,322.724
0.38,322.682
0.4,322.639
0.42,322.594
0.44,322.547
0.46,322.499
0.48,322.449
0.5,322.398
0.52,322.345
0.54,322.29
0.56,322.234
0.58,322.176
0.6,322.117
0.62,322.056
0.64,321.994
0.66,321.931
0.68,321.867
0.7,321.801
0.72,321.733
0.74,321.664
0.76,321.594
0.78,321.523
0.8,321.451
0.82,321.377
0.84,321.302
0.86,321.225
0.88,321.148
0.9,321.069
0.92,320.99
0.94,320.909
0.96,320.827
0.98,320.745
1,320.66
1.02,320.575
1.04,320.489
1.06,320.401
1.08,320.313
1.1,320.223
1.12,320.131
1.14,320.036
1.16,319.938
1.18,319.835
1.2,319.731
1.22,319.626
1.24,319.522
1.26,319.421
1.28,319.318
1.3,319.215
1.32,319.11
1.34,319.006
1.36,318.902
1.38,318.797
1.4,318.69
1.42,318.581
1.44,318.469
1.46,318.355
1.48,318.241
1.5,318.126
1.52,318.011
1.54,317.899
1.56,317.791
1.58,317.687
1.6,317.583
1.62,317.478
1.64,317.372
1.66,317.266
1.68,317.161
1.7,317.051
1.72,316.934
1.74,316.818
1.76,316.705
1.78,316.602
1.8,316.502
1.82,316.404
1.84,316.308
1.86,316.214
1.88,316.125
1.9,316.039
1.92,315.953
1.94,315.867
1.96,315.781
1.98,315.69
2,315.589
2.02,315.485
2.04,315.377
2.06,315.271
2.08,315.172
2.1,315.085
2.12,315.006
2.14,314.95
2.16,314.893
2.18,314.824
2.2,314.74
2.22,314.658
2.24,314.572
2.26,314.491
2.28,314.415
2.3,314.377
2.32,314.343
2.34,314.329
2.36,314.247
2.38,314.144
2.4,314.039
2.42,313.932
2.44,313.829
2.46,313.728
2.48,313.637
2.5,313.557
2.52,313.48
2.54,313.405
2.56,313.322
2.58,313.226
2.6,313.131
2.62,313.037
2.64,312.941
2.66,312.844
2.68,312.75
2.7,312.656
2.72,312.561
2.74,312.472
2.76,312.387
2.78,312.303
2.8,312.222
2.82,312.167
2.84,312.106
2.86,312.047
2.88,312.006
2.9,311.962
2.92,311.883
2.94,311.806
2.96,311.729
2.98,311.653
3,311.582
3.02,311.514
3.04,311.445
3.06,311.376
3.08,311.301
3.1,311.216
3.12,311.133
3.14,311.054
3.16,310.978
3.18,310.899
3.2,310.818
3.22,310.735
3.24,310.653
3.26,310.571
3.28,310.5
3.3,310.46
3.32,310.418
3.34,310.391
3.36,310.396
3.38,310.415
3.4,310.444
3.42,310.472
3.44,310.5
3.46,310.529
3.48,310.559
3.5,310.587
3.52,310.545
3.54,310.478
3.56,310.413
3.58,310.344
3.6,310.276
3.62,310.208
3.64,310.139
3.66,310.069
3.68,310.002
3.7,309.936
3.72,309.873
3.74,309.812
3.76,309.75
3.78,309.691
3.8,309.632
3.82,309.572
3.84,309.509
3.86,309.443
3.88,309.371
3.9,309.297
3.92,309.229
3.94,309.163
3.96,309.095
3.98,309.027
4,308.962
4.02,308.902
4.04,308.858
4.06,308.829
4.08,308.797
4.1,308.763
4.12,308.726
4.14,308.682
4.16,308.634
4.18,308.605
4.2,308.594
4.22,308.6
4.24,308.61
4.26,308.626
4.28,308.65
4.3,308.68
4.32,308.714
4.34,308.746
4.36,308.779
4.38,308.814
4.4,308.818
4.42,308.756
4.44,308.691
4.46,308.626
4.48,308.563
4.5,308.502
4.52,308.442
4.54,308.383
4.56,308.325
4.58,308.267
4.6,308.21
4.62,308.152
4.64,308.094
4.66,308.034
4.68,307.972
4.7,307.909
4.72,307.849
4.74,307.792
4.76,307.737
4.78,307.682
4.8,307.628
4.82,307.575
4.84,307.522
4.86,307.469
4.88,307.416
4.9,307.362
4.92,307.308
4.94,307.255
4.96,307.2
4.98,307.144
5,307.088
5.02,307.032
5.04,306.977
5.06,306.922
5.08,306.865
5.1,306.807
5.12,306.751
5.14,306.697
5.16,306.646
5.18,306.592
5.2,306.536
5.22,306.483
5.24,306.431
5.26,306.38
5.28,306.325
5.3,306.269
5.32,306.214
5.34,306.162
5.36,306.111
5.38,306.058
5.4,306.005
5.42,305.954
5.44,305.904
5.46,305.857
5.48,305.811
5.5,305.764
5.52,305.719
5.54,305.672
5.56,305.626
5.58,305.578
5.6,305.53
5.62,305.48
5.64,305.428
5.66,305.375
5.68,305.322
5.7,305.27
5.72,305.219
5.74,305.173
5.76,305.127
5.78,305.08
5.8,305.031
5.82,304.982
5.84,304.93
5.86,304.879
5.88,304.828
5.9,304.776
5.92,304.724
5.94,304.674
5.96,304.625
5.98,304.578
6,304.525
6.02,304.471
6.04,304.419
6.06,304.367
6.08,304.318
6.1,304.27
6.12,304.218
6.14,304.165
6.16,304.113
6.18,304.062
6.2,304.059
6.22,304.068
6.24,304.094
6.26,304.138
6.28,304.184
6.3,304.238
6.32,304.304
