Date [s],Min:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.106
0.04,323.065
0.06,323.037
0.08,323.018
0.1,323.009
0.12,323.006
0.14,323.004
0.16,323.001
0.18,322.985
0.2,322.961
0.22,322.935
0.24,322.907
0.26,322.877
0.28,322.842
0.3,322.805
0.32,322.766
0.34,322.726
0.36,322.684
0.38,322.641
0.4,322.596
0.42,322.549
0.44,322.501
0.46,322.451
0.48,322.4
0.5,322.347
0.52,322.293
0.54,322.237
0.56,322.18
0.58,322.122
0.6,322.063
0.62,322.002
0.64,321.94
0.66,321.877
0.68,321.813
0.7,321.747
0.72,321.68
0.74,321.613
0.76,321.544
0.78,321.474
0.8,321.403
0.82,321.331
0.84,321.257
0.86,321.183
0.88,321.108
0.9,321.032
0.92,320.955
0.94,320.877
0.96,320.799
0.98,320.719
1,320.639
1.02,320.558
1.04,320.476
1.06,320.393
1.08,320.309
1.1,320.224
1.12,320.138
1.14,320.052
1.16,319.965
1.18,319.876
1.2,319.786
1.22,319.694
1.24,319.599
1.26,319.501
1.28,319.403
1.3,319.305
1.32,319.208
1.34,319.114
1.36,319.021
1.38,318.927
1.4,318.833
1.42,318.739
1.44,318.643
1.46,318.546
1.48,318.449
1.5,318.352
1.52,318.253
1.54,318.154
1.56,318.053
1.58,317.951
1.6,317.846
1.62,317.74
1.64,317.638
1.66,317.539
1.68,317.442
1.7,317.371
1.72,317.3
1.74,317.229
1.76,317.154
1.78,317.077
1.8,316.995
1.82,316.908
1.84,316.818
1.86,316.728
1.88,316.641
1.9,316.559
1.92,316.478
1.94,316.398
1.96,316.322
1.98,316.251
2,316.179
2.02,316.107
2.04,316.031
2.06,315.952
2.08,315.87
2.1,315.782
2.12,315.697
2.14,315.624
2.16,315.561
2.18,315.497
2.2,315.435
2.22,315.372
2.24,315.291
2.26,315.232
2.28,315.191
2.3,315.171
2.32,315.106
2.34,315.051
2.36,315.006
2.38,314.979
2.4,314.917
2.42,314.849
2.44,314.779
2.46,314.704
2.48,314.62
2.5,314.534
2.52,314.448
2.54,314.369
2.56,314.3
2.58,314.241
2.6,314.179
2.62,314.13
2.64,314.074
2.66,314.012
2.68,313.968
2.7,313.895
2.72,313.83
2.74,313.774
2.76,313.721
2.78,313.674
2.8,313.627
2.82,313.578
2.84,313.527
2.86,313.473
2.88,313.42
2.9,313.38
2.92,313.345
2.94,313.311
2.96,313.279
2.98,313.238
3,313.188
3.02,313.111
3.04,313.038
3.06,312.969
3.08,312.912
3.1,312.868
3.12,312.822
3.14,312.756
3.16,312.685
3.18,312.615
3.2,312.55
3.22,312.486
3.24,312.423
3.26,312.357
3.28,312.287
